	Source	Target	Weight	Type
0	#juan	#rosa	3	Undirected
2	#juan	#andr	3	Undirected
1	#juan	#isid	3	Undirected
23	#isid	#andr	3	Undirected
12	#rosa	#isid	3	Undirected
13	#rosa	#andr	3	Undirected
15	#rosa	#paco	2	Undirected
51	#tonu	#igna	2	Undirected
37	#andr	#igna	2	Undirected
34	#andr	#paco	2	Undirected
28	#isid	#igna	2	Undirected
26	#isid	#tonu	2	Undirected
25	#isid	#paco	2	Undirected
18	#rosa	#igna	2	Undirected
16	#rosa	#tonu	2	Undirected
35	#andr	#tonu	2	Undirected
4	#juan	#paco	2	Undirected
5	#juan	#tonu	2	Undirected
7	#juan	#igna	2	Undirected
14	#rosa	#cano	1	Undirected
57	#tabe	#peri	1	Undirected
47	#paco	#beb1	1	Undirected
48	#paco	#beb2	1	Undirected
49	#paco	#muj1	1	Undirected
50	#tonu	#tabe	1	Undirected
3	#juan	#cano	1	Undirected
52	#tonu	#peri	1	Undirected
53	#tonu	#beb1	1	Undirected
54	#tonu	#beb2	1	Undirected
55	#tonu	#muj1	1	Undirected
56	#tabe	#igna	1	Undirected
58	#tabe	#beb1	1	Undirected
45	#paco	#igna	1	Undirected
59	#tabe	#beb2	1	Undirected
60	#tabe	#muj1	1	Undirected
61	#igna	#peri	1	Undirected
62	#igna	#beb1	1	Undirected
63	#igna	#beb2	1	Undirected
64	#igna	#muj1	1	Undirected
65	#peri	#beb1	1	Undirected
66	#peri	#beb2	1	Undirected
67	#peri	#muj1	1	Undirected
68	#beb1	#beb2	1	Undirected
69	#beb1	#muj1	1	Undirected
46	#paco	#peri	1	Undirected
43	#paco	#tonu	1	Undirected
44	#paco	#tabe	1	Undirected
29	#isid	#peri	1	Undirected
11	#juan	#muj1	1	Undirected
19	#rosa	#peri	1	Undirected
20	#rosa	#beb1	1	Undirected
21	#rosa	#beb2	1	Undirected
22	#rosa	#muj1	1	Undirected
10	#juan	#beb2	1	Undirected
24	#isid	#cano	1	Undirected
9	#juan	#beb1	1	Undirected
8	#juan	#peri	1	Undirected
27	#isid	#tabe	1	Undirected
30	#isid	#beb1	1	Undirected
17	#rosa	#tabe	1	Undirected
31	#isid	#beb2	1	Undirected
32	#isid	#muj1	1	Undirected
33	#andr	#cano	1	Undirected
6	#juan	#tabe	1	Undirected
36	#andr	#tabe	1	Undirected
38	#andr	#peri	1	Undirected
39	#andr	#beb1	1	Undirected
40	#andr	#beb2	1	Undirected
41	#andr	#muj1	1	Undirected
42	#cano	#paco	1	Undirected
70	#beb2	#muj1	1	Undirected
