	Source	Target	Weight	Type
0	#mati	#just	4	Undirected
9	#just	#fern	4	Undirected
22	#fern	#lore	4	Undirected
19	#conc	#lore	4	Undirected
18	#conc	#fern	4	Undirected
15	#enri	#lore	4	Undirected
14	#enri	#fern	4	Undirected
1	#mati	#enri	4	Undirected
10	#just	#lore	4	Undirected
13	#enri	#conc	4	Undirected
8	#just	#conc	4	Undirected
3	#mati	#fern	4	Undirected
2	#mati	#conc	4	Undirected
4	#mati	#lore	4	Undirected
7	#just	#enri	4	Undirected
5	#mati	#juli	2	Undirected
16	#enri	#juli	2	Undirected
11	#just	#juli	2	Undirected
20	#conc	#juli	2	Undirected
23	#fern	#juli	2	Undirected
25	#lore	#juli	2	Undirected
6	#mati	#dolo	1	Undirected
17	#enri	#dolo	1	Undirected
21	#conc	#dolo	1	Undirected
12	#just	#dolo	1	Undirected
24	#fern	#dolo	1	Undirected
26	#lore	#dolo	1	Undirected
