	Source	Target	Weight	Type
38	#blan	#javi	4	Undirected
2	#plac	#blan	4	Undirected
3	#plac	#clau	4	Undirected
5	#plac	#javi	4	Undirected
47	#clau	#javi	4	Undirected
36	#blan	#clau	4	Undirected
16	#marq	#toma	3	Undirected
55	#toma	#javi	3	Undirected
46	#clau	#toma	3	Undirected
1	#plac	#jose	3	Undirected
37	#blan	#toma	3	Undirected
28	#jose	#javi	3	Undirected
27	#jose	#toma	3	Undirected
26	#jose	#clau	3	Undirected
25	#jose	#blan	3	Undirected
17	#marq	#javi	3	Undirected
0	#plac	#marq	3	Undirected
15	#marq	#clau	3	Undirected
14	#marq	#blan	3	Undirected
4	#plac	#toma	3	Undirected
13	#marq	#jose	3	Undirected
41	#blan	#lesm	2	Undirected
8	#plac	#lesm	2	Undirected
65	#javi	#lesm	2	Undirected
50	#clau	#lesm	2	Undirected
70	#romu	#anse	1	Undirected
71	#romu	#pad1	1	Undirected
51	#clau	#anse	1	Undirected
52	#clau	#deme	1	Undirected
53	#clau	#pad1	1	Undirected
54	#clau	#pad2	1	Undirected
75	#anse	#pad2	1	Undirected
56	#toma	#romu	1	Undirected
74	#anse	#pad1	1	Undirected
57	#toma	#basi	1	Undirected
58	#toma	#lesm	1	Undirected
73	#basi	#lesm	1	Undirected
59	#toma	#anse	1	Undirected
60	#toma	#deme	1	Undirected
61	#toma	#pad1	1	Undirected
62	#toma	#pad2	1	Undirected
49	#clau	#basi	1	Undirected
64	#javi	#basi	1	Undirected
72	#romu	#pad2	1	Undirected
66	#javi	#anse	1	Undirected
67	#javi	#deme	1	Undirected
68	#javi	#pad1	1	Undirected
69	#javi	#pad2	1	Undirected
63	#javi	#romu	1	Undirected
6	#plac	#romu	1	Undirected
48	#clau	#romu	1	Undirected
32	#jose	#anse	1	Undirected
19	#marq	#basi	1	Undirected
20	#marq	#lesm	1	Undirected
21	#marq	#anse	1	Undirected
22	#marq	#deme	1	Undirected
23	#marq	#pad1	1	Undirected
24	#marq	#pad2	1	Undirected
12	#plac	#pad2	1	Undirected
11	#plac	#pad1	1	Undirected
29	#jose	#romu	1	Undirected
30	#jose	#basi	1	Undirected
31	#jose	#lesm	1	Undirected
33	#jose	#deme	1	Undirected
18	#marq	#romu	1	Undirected
34	#jose	#pad1	1	Undirected
35	#jose	#pad2	1	Undirected
10	#plac	#deme	1	Undirected
9	#plac	#anse	1	Undirected
39	#blan	#romu	1	Undirected
40	#blan	#basi	1	Undirected
42	#blan	#anse	1	Undirected
43	#blan	#deme	1	Undirected
44	#blan	#pad1	1	Undirected
45	#blan	#pad2	1	Undirected
7	#plac	#basi	1	Undirected
76	#pad1	#pad2	1	Undirected
