	Source	Target	Weight	Type
0	#pepe	#perf	4	Undirected
2	#pepe	#reme	4	Undirected
16	#perf	#reme	4	Undirected
56	#juan	#jaci	3	Undirected
38	#reme	#juan	3	Undirected
40	#reme	#jaci	3	Undirected
20	#perf	#jaci	3	Undirected
18	#perf	#juan	3	Undirected
1	#pepe	#rosa	3	Undirected
15	#perf	#rosa	3	Undirected
29	#rosa	#reme	3	Undirected
6	#pepe	#jaci	3	Undirected
4	#pepe	#juan	3	Undirected
42	#reme	#cris	2	Undirected
31	#rosa	#juan	2	Undirected
32	#rosa	#caye	2	Undirected
33	#rosa	#jaci	2	Undirected
37	#reme	#inoc	2	Undirected
83	#cris	#licu	2	Undirected
39	#reme	#caye	2	Undirected
58	#juan	#cris	2	Undirected
59	#juan	#licu	2	Undirected
43	#reme	#licu	2	Undirected
70	#jaci	#cris	2	Undirected
65	#caye	#jaci	2	Undirected
30	#rosa	#inoc	2	Undirected
50	#inoc	#caye	2	Undirected
51	#inoc	#jaci	2	Undirected
55	#juan	#caye	2	Undirected
71	#jaci	#licu	2	Undirected
49	#inoc	#juan	2	Undirected
17	#perf	#inoc	2	Undirected
23	#perf	#licu	2	Undirected
19	#perf	#caye	2	Undirected
22	#perf	#cris	2	Undirected
9	#pepe	#licu	2	Undirected
5	#pepe	#caye	2	Undirected
8	#pepe	#cris	2	Undirected
3	#pepe	#inoc	2	Undirected
72	#jaci	#pinz	1	Undirected
73	#jaci	#paso	1	Undirected
74	#jaci	#libr	1	Undirected
7	#pepe	#varg	1	Undirected
82	#varg	#cabo	1	Undirected
75	#jaci	#este	1	Undirected
76	#jaci	#cabo	1	Undirected
77	#varg	#cris	1	Undirected
78	#varg	#licu	1	Undirected
79	#varg	#pinz	1	Undirected
80	#varg	#paso	1	Undirected
81	#varg	#este	1	Undirected
28	#perf	#cabo	1	Undirected
68	#caye	#libr	1	Undirected
84	#cris	#pinz	1	Undirected
85	#cris	#paso	1	Undirected
86	#cris	#este	1	Undirected
87	#cris	#cabo	1	Undirected
88	#licu	#pinz	1	Undirected
89	#licu	#paso	1	Undirected
90	#licu	#este	1	Undirected
91	#licu	#cabo	1	Undirected
92	#pinz	#paso	1	Undirected
93	#pinz	#este	1	Undirected
94	#pinz	#cabo	1	Undirected
95	#paso	#este	1	Undirected
96	#paso	#cabo	1	Undirected
69	#jaci	#varg	1	Undirected
64	#juan	#cabo	1	Undirected
67	#caye	#licu	1	Undirected
66	#caye	#cris	1	Undirected
26	#perf	#libr	1	Undirected
34	#rosa	#cris	1	Undirected
35	#rosa	#licu	1	Undirected
36	#rosa	#libr	1	Undirected
25	#perf	#paso	1	Undirected
24	#perf	#pinz	1	Undirected
41	#reme	#varg	1	Undirected
21	#perf	#varg	1	Undirected
44	#reme	#pinz	1	Undirected
45	#reme	#paso	1	Undirected
46	#reme	#libr	1	Undirected
47	#reme	#este	1	Undirected
48	#reme	#cabo	1	Undirected
14	#pepe	#cabo	1	Undirected
13	#pepe	#este	1	Undirected
52	#inoc	#cris	1	Undirected
53	#inoc	#licu	1	Undirected
54	#inoc	#libr	1	Undirected
12	#pepe	#libr	1	Undirected
11	#pepe	#paso	1	Undirected
57	#juan	#varg	1	Undirected
10	#pepe	#pinz	1	Undirected
60	#juan	#pinz	1	Undirected
61	#juan	#paso	1	Undirected
62	#juan	#libr	1	Undirected
63	#juan	#este	1	Undirected
27	#perf	#este	1	Undirected
97	#este	#cabo	1	Undirected
