	Source	Target	Weight	Type
24	#casa	#rosa	3	Undirected
23	#casa	#clem	3	Undirected
36	#clem	#rosa	3	Undirected
37	#clem	#alfo	3	Undirected
48	#rosa	#alfo	3	Undirected
25	#casa	#alfo	3	Undirected
41	#clem	#mart	2	Undirected
26	#casa	#zeno	2	Undirected
27	#casa	#insu	2	Undirected
29	#casa	#mart	2	Undirected
30	#casa	#cebr	2	Undirected
38	#clem	#zeno	2	Undirected
39	#clem	#insu	2	Undirected
0	#isma	#juan	2	Undirected
42	#clem	#cebr	2	Undirected
49	#rosa	#zeno	2	Undirected
50	#rosa	#insu	2	Undirected
72	#zeno	#cebr	2	Undirected
52	#rosa	#mart	2	Undirected
53	#rosa	#cebr	2	Undirected
71	#zeno	#mart	2	Undirected
59	#alfo	#zeno	2	Undirected
60	#alfo	#insu	2	Undirected
62	#alfo	#mart	2	Undirected
1	#isma	#casa	2	Undirected
63	#alfo	#cebr	2	Undirected
9	#isma	#cebr	2	Undirected
13	#juan	#clem	2	Undirected
2	#isma	#clem	2	Undirected
20	#juan	#cebr	2	Undirected
19	#juan	#mart	2	Undirected
8	#isma	#mart	2	Undirected
3	#isma	#rosa	2	Undirected
4	#isma	#alfo	2	Undirected
12	#juan	#casa	2	Undirected
85	#mart	#cebr	2	Undirected
16	#juan	#zeno	2	Undirected
15	#juan	#alfo	2	Undirected
5	#isma	#zeno	2	Undirected
14	#juan	#rosa	2	Undirected
90	#mari	#beat	1	Undirected
91	#mari	#inst	1	Undirected
84	#roge	#pepa	1	Undirected
89	#cebr	#seve	1	Undirected
69	#zeno	#insu	1	Undirected
68	#alfo	#inst	1	Undirected
67	#alfo	#seve	1	Undirected
66	#alfo	#beat	1	Undirected
70	#zeno	#roge	1	Undirected
74	#zeno	#seve	1	Undirected
88	#cebr	#pepa	1	Undirected
73	#zeno	#pepa	1	Undirected
75	#insu	#roge	1	Undirected
76	#insu	#mart	1	Undirected
77	#insu	#cebr	1	Undirected
87	#mart	#seve	1	Undirected
86	#mart	#pepa	1	Undirected
78	#insu	#pepa	1	Undirected
79	#insu	#mari	1	Undirected
80	#insu	#beat	1	Undirected
65	#alfo	#mari	1	Undirected
82	#roge	#mart	1	Undirected
83	#roge	#cebr	1	Undirected
81	#insu	#inst	1	Undirected
46	#clem	#seve	1	Undirected
64	#alfo	#pepa	1	Undirected
61	#alfo	#roge	1	Undirected
6	#isma	#insu	1	Undirected
7	#isma	#roge	1	Undirected
10	#isma	#pepa	1	Undirected
11	#isma	#seve	1	Undirected
17	#juan	#insu	1	Undirected
18	#juan	#roge	1	Undirected
21	#juan	#pepa	1	Undirected
22	#juan	#seve	1	Undirected
28	#casa	#roge	1	Undirected
31	#casa	#pepa	1	Undirected
32	#casa	#mari	1	Undirected
33	#casa	#beat	1	Undirected
34	#casa	#seve	1	Undirected
35	#casa	#inst	1	Undirected
40	#clem	#roge	1	Undirected
43	#clem	#pepa	1	Undirected
44	#clem	#mari	1	Undirected
45	#clem	#beat	1	Undirected
47	#clem	#inst	1	Undirected
51	#rosa	#roge	1	Undirected
54	#rosa	#pepa	1	Undirected
55	#rosa	#mari	1	Undirected
56	#rosa	#beat	1	Undirected
57	#rosa	#seve	1	Undirected
58	#rosa	#inst	1	Undirected
92	#beat	#inst	1	Undirected
