	Source	Target	Weight	Type
0	#elec	#maxi	5	Undirected
14	#maxi	#pant	5	Undirected
27	#pant	#marq	5	Undirected
1	#elec	#pant	5	Undirected
15	#maxi	#marq	5	Undirected
2	#elec	#marq	5	Undirected
50	#evar	#urba	4	Undirected
4	#elec	#urba	4	Undirected
29	#pant	#urba	4	Undirected
28	#pant	#evar	4	Undirected
3	#elec	#evar	4	Undirected
39	#marq	#evar	4	Undirected
17	#maxi	#urba	4	Undirected
16	#maxi	#evar	4	Undirected
40	#marq	#urba	4	Undirected
31	#pant	#patr	3	Undirected
42	#marq	#patr	3	Undirected
6	#elec	#patr	3	Undirected
19	#maxi	#patr	3	Undirected
58	#urba	#patr	3	Undirected
52	#evar	#patr	3	Undirected
41	#marq	#cues	2	Undirected
57	#urba	#cues	2	Undirected
44	#marq	#jose	2	Undirected
60	#urba	#jose	2	Undirected
34	#pant	#balb	2	Undirected
33	#pant	#jose	2	Undirected
45	#marq	#balb	2	Undirected
55	#evar	#balb	2	Undirected
54	#evar	#jose	2	Undirected
61	#urba	#balb	2	Undirected
51	#evar	#cues	2	Undirected
30	#pant	#cues	2	Undirected
64	#cues	#jose	2	Undirected
5	#elec	#cues	2	Undirected
22	#maxi	#balb	2	Undirected
21	#maxi	#jose	2	Undirected
66	#patr	#jose	2	Undirected
18	#maxi	#cues	2	Undirected
67	#patr	#balb	2	Undirected
63	#cues	#patr	2	Undirected
8	#elec	#jose	2	Undirected
9	#elec	#balb	2	Undirected
56	#evar	#eleu	1	Undirected
53	#evar	#doro	1	Undirected
71	#mari	#oper	1	Undirected
68	#doro	#eleu	1	Undirected
70	#mari	#gil_	1	Undirected
69	#jose	#balb	1	Undirected
59	#urba	#doro	1	Undirected
65	#cues	#balb	1	Undirected
62	#urba	#eleu	1	Undirected
36	#pant	#gil_	1	Undirected
49	#marq	#eleu	1	Undirected
48	#marq	#oper	1	Undirected
7	#elec	#doro	1	Undirected
10	#elec	#mari	1	Undirected
11	#elec	#gil_	1	Undirected
12	#elec	#oper	1	Undirected
13	#elec	#eleu	1	Undirected
20	#maxi	#doro	1	Undirected
23	#maxi	#mari	1	Undirected
24	#maxi	#gil_	1	Undirected
25	#maxi	#oper	1	Undirected
26	#maxi	#eleu	1	Undirected
32	#pant	#doro	1	Undirected
35	#pant	#mari	1	Undirected
37	#pant	#oper	1	Undirected
38	#pant	#eleu	1	Undirected
43	#marq	#doro	1	Undirected
46	#marq	#mari	1	Undirected
47	#marq	#gil_	1	Undirected
72	#gil_	#oper	1	Undirected
