	Source	Target	Weight	Type
0	#tia	#ama	3	Undirected
1	#tia	#rosi	3	Undirected
16	#ama	#rosi	3	Undirected
15	#tia	#voz	2	Undirected
20	#ama	#sol3	2	Undirected
34	#rosi	#sol3	2	Undirected
44	#rosi	#voz	2	Undirected
17	#ama	#tio	2	Undirected
55	#tio	#voz	2	Undirected
5	#tia	#sol3	2	Undirected
31	#rosi	#tio	2	Undirected
30	#ama	#voz	2	Undirected
2	#tia	#tio	2	Undirected
62	#mart	#sol3	1	Undirected
65	#sol3	#ayo2	1	Undirected
64	#sol3	#ayo1	1	Undirected
63	#mart	#much	1	Undirected
66	#sol3	#sol1	1	Undirected
61	#madr	#voz	1	Undirected
68	#sol3	#sol2	1	Undirected
60	#madr	#sol2	1	Undirected
59	#madr	#sol1	1	Undirected
58	#madr	#ayo2	1	Undirected
57	#madr	#ayo1	1	Undirected
56	#madr	#sol3	1	Undirected
54	#tio	#man3	1	Undirected
53	#tio	#man2	1	Undirected
67	#sol3	#much	1	Undirected
71	#ayo1	#sol1	1	Undirected
69	#sol3	#voz	1	Undirected
80	#man1	#man2	1	Undirected
88	#man2	#voz	1	Undirected
87	#man2	#man3	1	Undirected
86	#sol2	#voz	1	Undirected
85	#sobr	#voz	1	Undirected
84	#sobr	#man3	1	Undirected
83	#sobr	#man2	1	Undirected
82	#man1	#voz	1	Undirected
81	#man1	#man3	1	Undirected
79	#man1	#sobr	1	Undirected
70	#ayo1	#ayo2	1	Undirected
78	#sol1	#voz	1	Undirected
77	#sol1	#sol2	1	Undirected
76	#ayo2	#voz	1	Undirected
75	#ayo2	#sol2	1	Undirected
74	#ayo2	#sol1	1	Undirected
73	#ayo1	#voz	1	Undirected
72	#ayo1	#sol2	1	Undirected
51	#tio	#sobr	1	Undirected
52	#tio	#sol2	1	Undirected
45	#tio	#madr	1	Undirected
50	#tio	#man1	1	Undirected
12	#tia	#sol2	1	Undirected
23	#ama	#sol1	1	Undirected
22	#ama	#ayo2	1	Undirected
21	#ama	#ayo1	1	Undirected
19	#ama	#mart	1	Undirected
18	#ama	#madr	1	Undirected
14	#tia	#man3	1	Undirected
13	#tia	#man2	1	Undirected
11	#tia	#sobr	1	Undirected
25	#ama	#man1	1	Undirected
10	#tia	#man1	1	Undirected
9	#tia	#much	1	Undirected
8	#tia	#sol1	1	Undirected
7	#tia	#ayo2	1	Undirected
6	#tia	#ayo1	1	Undirected
4	#tia	#mart	1	Undirected
3	#tia	#madr	1	Undirected
24	#ama	#much	1	Undirected
26	#ama	#sobr	1	Undirected
49	#tio	#sol1	1	Undirected
39	#rosi	#man1	1	Undirected
48	#tio	#ayo2	1	Undirected
47	#tio	#ayo1	1	Undirected
46	#tio	#sol3	1	Undirected
43	#rosi	#man3	1	Undirected
42	#rosi	#man2	1	Undirected
41	#rosi	#sol2	1	Undirected
40	#rosi	#sobr	1	Undirected
38	#rosi	#much	1	Undirected
27	#ama	#sol2	1	Undirected
37	#rosi	#sol1	1	Undirected
36	#rosi	#ayo2	1	Undirected
35	#rosi	#ayo1	1	Undirected
33	#rosi	#mart	1	Undirected
32	#rosi	#madr	1	Undirected
29	#ama	#man3	1	Undirected
28	#ama	#man2	1	Undirected
89	#man3	#voz	1	Undirected
