	id	label	sex	role	nature	importance	position	act_1	act_2	act_3	first act	middle act	last act
#rosi	#rosi	Rosita	F	protagonist	person	primary	1	34	50	36	34	50.0	36
#ama	#ama	Ama	F	other	person	minor	2	38	48	56	38	48.0	56
#tia	#tia	Tía	F	other	person	minor	3	42	81	81	42	81.0	81
#man1	#man1	Manola 1ª	F	other	person	minor	4	13	0	0	13	0.0	0
#man2	#man2	Manola 2ª	F	other	person	minor	5	10	0	0	10	0.0	0
#man3	#man3	Manola 3ª	F	other	person	minor	6	8	0	0	8	0.0	0
#sol1	#sol1	Soltera 1ª	F	other	person	minor	7	0	14	0	0	14.0	0
#sol2	#sol2	Soltera 2ª	F	other	person	minor	8	0	10	0	0	10.0	0
#sol3	#sol3	Soltera 3ª	F	other	person	minor	9	0	19	6	0	19.0	6
#madr	#madr	Madre de las Solteras	F	other	person	minor	10	0	30	0	0	30.0	0
#ayo1	#ayo1	Ayola 1ª	F	other	person	minor	11	0	22	0	0	22.0	0
#ayo2	#ayo2	Ayola 2ª	F	other	person	minor	12	0	16	0	0	16.0	0
#tio	#tio	Tío	M	other	person	minor	13	16	35	0	16	35.0	0
#cate	#cate	Catedrático de economía	M	other	person	minor	14	0	0	0	0	0.0	0
#mart	#mart	Don Martín	M	other	person	minor	15	0	0	26	0	0.0	26
#much	#much	Muchacho	M	other	person	minor	16	0	0	14	0	0.0	14
#voz	#voz	Una voz	M	other	person	minor	18	2	1	0	2	1.0	0
#sobr	#sobr	Sobrino	M	other	person	primary	0	11	0	0	11	0.0	0
