	Source	Target	Weight	Type
1	#yerm	#juan	3	Undirected
2	#yerm	#mari	3	Undirected
31	#mari	#much	3	Undirected
5	#yerm	#much	3	Undirected
21	#juan	#much	3	Undirected
18	#juan	#mari	3	Undirected
48	#víct	#much	2	Undirected
26	#juan	#cuna	2	Undirected
20	#juan	#víct	2	Undirected
19	#juan	#viej	2	Undirected
36	#mari	#cuna	2	Undirected
29	#mari	#viej	2	Undirected
54	#much	#cuna	2	Undirected
40	#viej	#much	2	Undirected
10	#yerm	#cuna	2	Undirected
4	#yerm	#víct	2	Undirected
3	#yerm	#viej	2	Undirected
30	#mari	#víct	2	Undirected
53	#much	#mach	1	Undirected
55	#much	#hemb	1	Undirected
56	#much	#nin	1	Undirected
52	#much	#muje	1	Undirected
51	#much	#homb	1	Undirected
50	#much	#dolo	1	Undirected
49	#víct	#cuna	1	Undirected
57	#dolo	#homb	1	Undirected
58	#dolo	#muje	1	Undirected
59	#dolo	#mach	1	Undirected
0	#yerm	#lava	1	Undirected
60	#dolo	#cuna	1	Undirected
61	#dolo	#hemb	1	Undirected
76	#cuna	#nin	1	Undirected
75	#cuna	#hemb	1	Undirected
74	#mach	#nin	1	Undirected
73	#mach	#hemb	1	Undirected
72	#mach	#cuna	1	Undirected
71	#muje	#nin	1	Undirected
70	#muje	#hemb	1	Undirected
69	#muje	#cuna	1	Undirected
68	#muje	#mach	1	Undirected
67	#homb	#nin	1	Undirected
66	#homb	#hemb	1	Undirected
65	#homb	#cuna	1	Undirected
47	#viej	#nin	1	Undirected
63	#homb	#muje	1	Undirected
62	#dolo	#nin	1	Undirected
64	#homb	#mach	1	Undirected
39	#viej	#víct	1	Undirected
46	#viej	#hemb	1	Undirected
45	#viej	#cuna	1	Undirected
6	#yerm	#dolo	1	Undirected
7	#yerm	#homb	1	Undirected
8	#yerm	#muje	1	Undirected
9	#yerm	#mach	1	Undirected
11	#yerm	#hemb	1	Undirected
12	#yerm	#nin	1	Undirected
13	#lava	#juan	1	Undirected
14	#lava	#mari	1	Undirected
15	#lava	#víct	1	Undirected
16	#lava	#much	1	Undirected
17	#lava	#cuna	1	Undirected
22	#juan	#dolo	1	Undirected
23	#juan	#homb	1	Undirected
24	#juan	#muje	1	Undirected
25	#juan	#mach	1	Undirected
27	#juan	#hemb	1	Undirected
28	#juan	#nin	1	Undirected
32	#mari	#dolo	1	Undirected
33	#mari	#homb	1	Undirected
34	#mari	#muje	1	Undirected
35	#mari	#mach	1	Undirected
37	#mari	#hemb	1	Undirected
38	#mari	#nin	1	Undirected
41	#viej	#dolo	1	Undirected
42	#viej	#homb	1	Undirected
43	#viej	#muje	1	Undirected
44	#viej	#mach	1	Undirected
77	#hemb	#nin	1	Undirected
