	id	label	sex	role	nature	importance	position	act_1	act_2	act_3	first act	middle act	last act
#juan	#juan	Juan	M	lover	person	primary	2	25	28	35	25	28.0	35
#yerm	#yerm	Yerma	F	protagonist	person	primary	3	120	63	61	120	63.0	61
#mari	#mari	María	F	other	person	minor	4	30	15	7	30	15.0	7
#víct	#víct	Víctor	M	other	person	secondary	5	24	21	0	24	21.0	0
#viej	#viej	Vieja	F	other	person	secondary	6	23	0	24	23	0.0	24
#much	#much	Muchacha	F	other	person	minor	7	17	7	5	17	7.0	5
#lava	#lava	Lavandera	F	other	person	minor	8	0	95	0	0	95.0	0
#cuna	#cuna	Cuñada	F	other	person	minor	9	0	3	1	0	3.0	1
#dolo	#dolo	Dolores	F	other	person	secondary	10	0	0	22	0	0.0	22
#muje	#muje	Mujer	F	other	person	minor	11	0	0	6	0	0.0	6
#hemb	#hemb	Hembra	F	other	person	minor	13	0	0	4	0	0.0	4
#homb	#homb	Hombre	M	other	person	minor	14	0	0	10	0	0.0	10
#nin	#nin	Niño	M	other	person	minor	15	0	0	4	0	0.0	4
#mach	#mach	Macho	M	other	person	minor	16	0	0	5	0	0.0	5
