	Source	Target	Weight	Type
0	#marg	#pedr	3	Undirected
128	#migu	#viej	3	Undirected
26	#pedr	#luce	3	Undirected
29	#pedr	#migu	3	Undirected
1	#marg	#luce	3	Undirected
43	#pedr	#viej	3	Undirected
18	#marg	#viej	3	Undirected
51	#luce	#tatu	3	Undirected
53	#luce	#migu	3	Undirected
27	#pedr	#tatu	3	Undirected
67	#luce	#viej	3	Undirected
2	#marg	#tatu	3	Undirected
76	#tatu	#migu	3	Undirected
90	#tatu	#viej	3	Undirected
4	#marg	#migu	3	Undirected
64	#luce	#sere	2	Undirected
212	#sere	#viej	2	Undirected
38	#pedr	#idio	2	Undirected
109	#simo	#viej	2	Undirected
75	#tatu	#simo	2	Undirected
106	#simo	#sere	2	Undirected
62	#luce	#idio	2	Undirected
85	#tatu	#idio	2	Undirected
87	#tatu	#sere	2	Undirected
52	#luce	#simo	2	Undirected
28	#pedr	#simo	2	Undirected
199	#idio	#viej	2	Undirected
98	#simo	#migu	2	Undirected
40	#pedr	#sere	2	Undirected
15	#marg	#sere	2	Undirected
3	#marg	#simo	2	Undirected
125	#migu	#sere	2	Undirected
13	#marg	#idio	2	Undirected
123	#migu	#idio	2	Undirected
152	#peda	#chal	1	Undirected
176	#veci	#pere	1	Undirected
171	#veci	#idio	1	Undirected
172	#veci	#sere	1	Undirected
173	#veci	#vend	1	Undirected
145	#cieg	#muje	1	Undirected
174	#veci	#viej	1	Undirected
144	#cieg	#pere	1	Undirected
175	#veci	#sold	1	Undirected
143	#cieg	#sold	1	Undirected
146	#cieg	#vent	1	Undirected
142	#cieg	#viej	1	Undirected
177	#veci	#muje	1	Undirected
178	#veci	#vent	1	Undirected
141	#cieg	#vend	1	Undirected
179	#veci	#rapa	1	Undirected
140	#cieg	#sere	1	Undirected
180	#ludo	#idio	1	Undirected
139	#cieg	#idio	1	Undirected
181	#ludo	#sere	1	Undirected
182	#ludo	#vend	1	Undirected
170	#veci	#ludo	1	Undirected
168	#tras	#vent	1	Undirected
169	#tras	#rapa	1	Undirected
184	#ludo	#sold	1	Undirected
154	#rein	#poca	1	Undirected
155	#rein	#idio	1	Undirected
156	#rein	#viej	1	Undirected
157	#rein	#chal	1	Undirected
158	#rein	#sapo	1	Undirected
159	#tras	#veci	1	Undirected
160	#tras	#ludo	1	Undirected
151	#peda	#viej	1	Undirected
150	#peda	#idio	1	Undirected
161	#tras	#idio	1	Undirected
153	#peda	#sapo	1	Undirected
162	#tras	#sere	1	Undirected
149	#peda	#poca	1	Undirected
148	#peda	#rein	1	Undirected
163	#tras	#vend	1	Undirected
164	#tras	#viej	1	Undirected
165	#tras	#sold	1	Undirected
166	#tras	#pere	1	Undirected
167	#tras	#muje	1	Undirected
147	#cieg	#rapa	1	Undirected
183	#ludo	#viej	1	Undirected
194	#beni	#sere	1	Undirected
185	#ludo	#pere	1	Undirected
186	#ludo	#muje	1	Undirected
217	#sere	#rapa	1	Undirected
218	#milo	#viej	1	Undirected
219	#vend	#viej	1	Undirected
220	#vend	#sold	1	Undirected
221	#vend	#pere	1	Undirected
222	#vend	#muje	1	Undirected
223	#vend	#vent	1	Undirected
224	#vend	#rapa	1	Undirected
225	#viej	#sold	1	Undirected
226	#viej	#pere	1	Undirected
227	#viej	#muje	1	Undirected
228	#viej	#vent	1	Undirected
229	#viej	#rapa	1	Undirected
230	#viej	#chal	1	Undirected
231	#viej	#sapo	1	Undirected
232	#sold	#pere	1	Undirected
233	#sold	#muje	1	Undirected
234	#sold	#vent	1	Undirected
235	#sold	#rapa	1	Undirected
236	#pere	#muje	1	Undirected
237	#pere	#vent	1	Undirected
238	#pere	#rapa	1	Undirected
239	#muje	#vent	1	Undirected
240	#muje	#rapa	1	Undirected
241	#vent	#rapa	1	Undirected
216	#sere	#vent	1	Undirected
215	#sere	#muje	1	Undirected
214	#sere	#pere	1	Undirected
198	#idio	#vend	1	Undirected
187	#ludo	#vent	1	Undirected
188	#ludo	#rapa	1	Undirected
189	#poca	#idio	1	Undirected
190	#poca	#viej	1	Undirected
191	#poca	#chal	1	Undirected
192	#poca	#sapo	1	Undirected
193	#beni	#quin	1	Undirected
137	#cieg	#veci	1	Undirected
195	#beni	#milo	1	Undirected
196	#beni	#viej	1	Undirected
197	#idio	#sere	1	Undirected
200	#idio	#sold	1	Undirected
213	#sere	#sold	1	Undirected
201	#idio	#pere	1	Undirected
202	#idio	#muje	1	Undirected
203	#idio	#vent	1	Undirected
204	#idio	#rapa	1	Undirected
205	#idio	#chal	1	Undirected
206	#idio	#sapo	1	Undirected
207	#quin	#sere	1	Undirected
208	#quin	#milo	1	Undirected
209	#quin	#viej	1	Undirected
210	#sere	#milo	1	Undirected
211	#sere	#vend	1	Undirected
138	#cieg	#ludo	1	Undirected
121	#migu	#poca	1	Undirected
136	#cieg	#tras	1	Undirected
71	#luce	#vent	1	Undirected
39	#pedr	#quin	1	Undirected
41	#pedr	#milo	1	Undirected
42	#pedr	#vend	1	Undirected
44	#pedr	#sold	1	Undirected
45	#pedr	#pere	1	Undirected
46	#pedr	#muje	1	Undirected
47	#pedr	#vent	1	Undirected
48	#pedr	#rapa	1	Undirected
49	#pedr	#chal	1	Undirected
50	#pedr	#sapo	1	Undirected
54	#luce	#cieg	1	Undirected
55	#luce	#peda	1	Undirected
56	#luce	#rein	1	Undirected
57	#luce	#tras	1	Undirected
58	#luce	#veci	1	Undirected
59	#luce	#ludo	1	Undirected
60	#luce	#poca	1	Undirected
61	#luce	#beni	1	Undirected
63	#luce	#quin	1	Undirected
65	#luce	#milo	1	Undirected
66	#luce	#vend	1	Undirected
68	#luce	#sold	1	Undirected
69	#luce	#pere	1	Undirected
37	#pedr	#beni	1	Undirected
36	#pedr	#poca	1	Undirected
35	#pedr	#ludo	1	Undirected
17	#marg	#vend	1	Undirected
5	#marg	#cieg	1	Undirected
6	#marg	#peda	1	Undirected
7	#marg	#rein	1	Undirected
8	#marg	#tras	1	Undirected
9	#marg	#veci	1	Undirected
10	#marg	#ludo	1	Undirected
11	#marg	#poca	1	Undirected
12	#marg	#beni	1	Undirected
14	#marg	#quin	1	Undirected
