	Source	Target	Weight	Type
0	#max	#lati	1	Undirected
940	#poll	#madr	1	Undirected
960	#poll	#peri	1	Undirected
959	#poll	#veja	1	Undirected
958	#poll	#veno	1	Undirected
957	#poll	#guin	1	Undirected
956	#poll	#voz	1	Undirected
955	#poll	#coch	1	Undirected
954	#poll	#llav	1	Undirected
953	#poll	#can	1	Undirected
952	#poll	#chica	1	Undirected
951	#poll	#alba	1	Undirected
950	#poll	#reti	1	Undirected
949	#poll	#tabe	1	Undirected
948	#poll	#jove	1	Undirected
947	#poll	#capi	1	Undirected
946	#poll	#ujie	1	Undirected
945	#poll	#empe	1	Undirected
944	#poll	#veci	1	Undirected
943	#poll	#clar	1	Undirected
942	#poll	#pere	1	Undirected
961	#poll	#gato	1	Undirected
962	#poll	#loro	1	Undirected
963	#poll	#trap	1	Undirected
974	#viej	#veci	1	Undirected
982	#viej	#chica	1	Undirected
981	#viej	#alba	1	Undirected
980	#viej	#reti	1	Undirected
979	#viej	#tabe	1	Undirected
978	#viej	#jove	1	Undirected
977	#viej	#capi	1	Undirected
976	#viej	#ujie	1	Undirected
975	#viej	#empe	1	Undirected
973	#viej	#clar	1	Undirected
964	#poll	#cons	1	Undirected
972	#viej	#pere	1	Undirected
971	#viej	#otro	1	Undirected
970	#viej	#madr	1	Undirected
969	#viej	#guar	1	Undirected
968	#viej	#osep	1	Undirected
967	#viej	#basi	1	Undirected
966	#viej	#rey	1	Undirected
965	#poll	#pelo	1	Undirected
941	#poll	#otro	1	Undirected
939	#poll	#guar	1	Undirected
895	#sepu	#veno	1	Undirected
938	#poll	#osep	1	Undirected
915	#borr	#ujie	1	Undirected
914	#borr	#empe	1	Undirected
913	#borr	#veci	1	Undirected
912	#borr	#clar	1	Undirected
911	#borr	#pere	1	Undirected
910	#borr	#otro	1	Undirected
909	#borr	#madr	1	Undirected
908	#borr	#guar	1	Undirected
907	#borr	#osep	1	Undirected
906	#borr	#basi	1	Undirected
905	#borr	#rey	1	Undirected
904	#borr	#viej	1	Undirected
903	#borr	#poll	1	Undirected
902	#sepu	#pelo	1	Undirected
901	#sepu	#cons	1	Undirected
900	#sepu	#trap	1	Undirected
899	#sepu	#loro	1	Undirected
898	#sepu	#gato	1	Undirected
897	#sepu	#peri	1	Undirected
916	#borr	#capi	1	Undirected
917	#borr	#jove	1	Undirected
918	#borr	#tabe	1	Undirected
929	#borr	#peri	1	Undirected
937	#poll	#basi	1	Undirected
936	#poll	#rey	1	Undirected
935	#poll	#viej	1	Undirected
934	#borr	#pelo	1	Undirected
933	#borr	#cons	1	Undirected
932	#borr	#trap	1	Undirected
931	#borr	#loro	1	Undirected
930	#borr	#gato	1	Undirected
928	#borr	#veja	1	Undirected
919	#borr	#reti	1	Undirected
927	#borr	#veno	1	Undirected
926	#borr	#guin	1	Undirected
925	#borr	#voz	1	Undirected
924	#borr	#coch	1	Undirected
923	#borr	#llav	1	Undirected
922	#borr	#can	1	Undirected
921	#borr	#chica	1	Undirected
920	#borr	#alba	1	Undirected
983	#viej	#can	1	Undirected
984	#viej	#llav	1	Undirected
985	#viej	#coch	1	Undirected
986	#viej	#voz	1	Undirected
1049	#basi	#loro	1	Undirected
1048	#basi	#gato	1	Undirected
1047	#basi	#peri	1	Undirected
1046	#basi	#veja	1	Undirected
1045	#basi	#veno	1	Undirected
1044	#basi	#guin	1	Undirected
1043	#basi	#voz	1	Undirected
1042	#basi	#coch	1	Undirected
1041	#basi	#llav	1	Undirected
1040	#basi	#can	1	Undirected
1039	#basi	#chica	1	Undirected
1038	#basi	#alba	1	Undirected
1037	#basi	#reti	1	Undirected
1036	#basi	#tabe	1	Undirected
1035	#basi	#jove	1	Undirected
1034	#basi	#capi	1	Undirected
1033	#basi	#ujie	1	Undirected
1032	#basi	#empe	1	Undirected
1031	#basi	#veci	1	Undirected
1050	#basi	#trap	1	Undirected
1051	#basi	#cons	1	Undirected
1052	#basi	#pelo	1	Undirected
1063	#osep	#tabe	1	Undirected
1071	#osep	#guin	1	Undirected
1070	#osep	#voz	1	Undirected
1069	#osep	#coch	1	Undirected
1068	#osep	#llav	1	Undirected
1067	#osep	#can	1	Undirected
1066	#osep	#chica	1	Undirected
1065	#osep	#alba	1	Undirected
1064	#osep	#reti	1	Undirected
1062	#osep	#jove	1	Undirected
1053	#osep	#guar	1	Undirected
1061	#osep	#capi	1	Undirected
1060	#osep	#ujie	1	Undirected
1059	#osep	#empe	1	Undirected
1058	#osep	#veci	1	Undirected
1057	#osep	#clar	1	Undirected
1056	#osep	#pere	1	Undirected
1055	#osep	#otro	1	Undirected
1054	#osep	#madr	1	Undirected
1030	#basi	#clar	1	Undirected
1029	#basi	#pere	1	Undirected
1028	#basi	#otro	1	Undirected
996	#rey	#basi	1	Undirected
1004	#rey	#empe	1	Undirected
1003	#rey	#veci	1	Undirected
1002	#rey	#clar	1	Undirected
1001	#rey	#pere	1	Undirected
1000	#rey	#otro	1	Undirected
999	#rey	#madr	1	Undirected
998	#rey	#guar	1	Undirected
997	#rey	#osep	1	Undirected
995	#viej	#pelo	1	Undirected
1006	#rey	#capi	1	Undirected
994	#viej	#cons	1	Undirected
993	#viej	#trap	1	Undirected
992	#viej	#loro	1	Undirected
991	#viej	#gato	1	Undirected
990	#viej	#peri	1	Undirected
989	#viej	#veja	1	Undirected
988	#viej	#veno	1	Undirected
987	#viej	#guin	1	Undirected
1005	#rey	#ujie	1	Undirected
1007	#rey	#jove	1	Undirected
1027	#basi	#madr	1	Undirected
1018	#rey	#veja	1	Undirected
1026	#basi	#guar	1	Undirected
1025	#basi	#osep	1	Undirected
1024	#rey	#pelo	1	Undirected
1023	#rey	#cons	1	Undirected
1022	#rey	#trap	1	Undirected
1021	#rey	#loro	1	Undirected
1020	#rey	#gato	1	Undirected
1019	#rey	#peri	1	Undirected
1017	#rey	#veno	1	Undirected
1008	#rey	#tabe	1	Undirected
1016	#rey	#guin	1	Undirected
1015	#rey	#voz	1	Undirected
1014	#rey	#coch	1	Undirected
1013	#rey	#llav	1	Undirected
1012	#rey	#can	1	Undirected
1011	#rey	#chica	1	Undirected
1010	#rey	#alba	1	Undirected
1009	#rey	#reti	1	Undirected
896	#sepu	#veja	1	Undirected
894	#sepu	#guin	1	Undirected
1073	#osep	#veja	1	Undirected
761	#gay	#loro	1	Undirected
781	#zara	#ujie	1	Undirected
780	#zara	#empe	1	Undirected
779	#zara	#veci	1	Undirected
778	#zara	#clar	1	Undirected
777	#zara	#pere	1	Undirected
776	#zara	#otro	1	Undirected
775	#zara	#madr	1	Undirected
774	#zara	#guar	1	Undirected
773	#zara	#osep	1	Undirected
772	#zara	#basi	1	Undirected
771	#zara	#rey	1	Undirected
770	#zara	#viej	1	Undirected
769	#zara	#poll	1	Undirected
768	#zara	#borr	1	Undirected
767	#zara	#sepu	1	Undirected
766	#zara	#sere	1	Undirected
765	#zara	#port	1	Undirected
764	#gay	#pelo	1	Undirected
763	#gay	#cons	1	Undirected
782	#zara	#capi	1	Undirected
783	#zara	#jove	1	Undirected
784	#zara	#tabe	1	Undirected
795	#zara	#peri	1	Undirected
803	#port	#borr	1	Undirected
802	#port	#sepu	1	Undirected
801	#port	#sere	1	Undirected
800	#zara	#pelo	1	Undirected
799	#zara	#cons	1	Undirected
798	#zara	#trap	1	Undirected
797	#zara	#loro	1	Undirected
796	#zara	#gato	1	Undirected
794	#zara	#veja	1	Undirected
785	#zara	#reti	1	Undirected
793	#zara	#veno	1	Undirected
792	#zara	#guin	1	Undirected
791	#zara	#voz	1	Undirected
790	#zara	#coch	1	Undirected
789	#zara	#llav	1	Undirected
788	#zara	#can	1	Undirected
787	#zara	#chica	1	Undirected
786	#zara	#alba	1	Undirected
762	#gay	#trap	1	Undirected
760	#gay	#gato	1	Undirected
893	#sepu	#voz	1	Undirected
759	#gay	#peri	1	Undirected
736	#gay	#basi	1	Undirected
735	#gay	#rey	1	Undirected
734	#gay	#viej	1	Undirected
733	#gay	#poll	1	Undirected
732	#gay	#borr	1	Undirected
731	#gay	#sepu	1	Undirected
730	#gay	#sere	1	Undirected
729	#gay	#port	1	Undirected
728	#gay	#zara	1	Undirected
727	#dieg	#pelo	1	Undirected
726	#dieg	#cons	1	Undirected
725	#dieg	#trap	1	Undirected
724	#dieg	#loro	1	Undirected
723	#dieg	#gato	1	Undirected
722	#dieg	#peri	1	Undirected
721	#dieg	#veja	1	Undirected
720	#dieg	#veno	1	Undirected
719	#dieg	#guin	1	Undirected
718	#dieg	#voz	1	Undirected
737	#gay	#osep	1	Undirected
738	#gay	#guar	1	Undirected
739	#gay	#madr	1	Undirected
750	#gay	#alba	1	Undirected
758	#gay	#veja	1	Undirected
757	#gay	#veno	1	Undirected
756	#gay	#guin	1	Undirected
755	#gay	#voz	1	Undirected
754	#gay	#coch	1	Undirected
753	#gay	#llav	1	Undirected
752	#gay	#can	1	Undirected
751	#gay	#chica	1	Undirected
749	#gay	#reti	1	Undirected
740	#gay	#otro	1	Undirected
748	#gay	#tabe	1	Undirected
747	#gay	#jove	1	Undirected
746	#gay	#capi	1	Undirected
745	#gay	#ujie	1	Undirected
