	Source	Target	Weight	Type
0	#tere	#fern	1	Undirected
1	#tere	#roqu	1	Undirected
26	#min1	#min3	1	Undirected
25	#min1	#min2	1	Undirected
24	#palm	#min3	1	Undirected
23	#palm	#min2	1	Undirected
22	#palm	#min1	1	Undirected
21	#rita	#min3	1	Undirected
20	#rita	#min2	1	Undirected
19	#rita	#min1	1	Undirected
18	#rita	#palm	1	Undirected
17	#roqu	#min3	1	Undirected
16	#roqu	#min2	1	Undirected
15	#roqu	#min1	1	Undirected
14	#roqu	#palm	1	Undirected
13	#roqu	#rita	1	Undirected
12	#fern	#min3	1	Undirected
11	#fern	#min2	1	Undirected
10	#fern	#min1	1	Undirected
9	#fern	#palm	1	Undirected
8	#fern	#rita	1	Undirected
7	#fern	#roqu	1	Undirected
6	#tere	#min3	1	Undirected
5	#tere	#min2	1	Undirected
4	#tere	#min1	1	Undirected
3	#tere	#palm	1	Undirected
2	#tere	#rita	1	Undirected
27	#min2	#min3	1	Undirected
