	Source	Target	Weight	Type
0	#proc	#ascl	1	Undirected
11	#mari	#eumo	1	Undirected
19	#aten	#sier	1	Undirected
18	#aten	#crem	1	Undirected
17	#eumo	#sier	1	Undirected
16	#eumo	#crem	1	Undirected
15	#eumo	#aten	1	Undirected
14	#mari	#sier	1	Undirected
13	#mari	#crem	1	Undirected
12	#mari	#aten	1	Undirected
10	#ascl	#sier	1	Undirected
1	#proc	#mari	1	Undirected
9	#ascl	#crem	1	Undirected
8	#ascl	#aten	1	Undirected
7	#ascl	#eumo	1	Undirected
6	#ascl	#mari	1	Undirected
5	#proc	#sier	1	Undirected
4	#proc	#crem	1	Undirected
3	#proc	#aten	1	Undirected
2	#proc	#eumo	1	Undirected
20	#crem	#sier	1	Undirected
