	Source	Target	Weight	Type
0	#rive	#padr	3	Undirected
3	#rive	#laur	3	Undirected
13	#padr	#laur	3	Undirected
12	#padr	#cuel	2	Undirected
32	#laur	#fern	2	Undirected
31	#laur	#bria	2	Undirected
25	#cuel	#bria	2	Undirected
15	#padr	#fern	2	Undirected
14	#padr	#bria	2	Undirected
24	#cuel	#laur	2	Undirected
4	#rive	#bria	2	Undirected
2	#rive	#cuel	2	Undirected
5	#rive	#fern	2	Undirected
38	#bria	#fern	1	Undirected
33	#laur	#cipr	1	Undirected
34	#laur	#juan	1	Undirected
35	#laur	#pere	1	Undirected
36	#laur	#garc	1	Undirected
37	#laur	#escu	1	Undirected
10	#rive	#escu	1	Undirected
30	#cuel	#garc	1	Undirected
40	#bria	#juan	1	Undirected
41	#bria	#pere	1	Undirected
42	#bria	#garc	1	Undirected
43	#fern	#pere	1	Undirected
44	#fern	#garc	1	Undirected
45	#fern	#escu	1	Undirected
46	#cipr	#juan	1	Undirected
39	#bria	#cipr	1	Undirected
29	#cuel	#pere	1	Undirected
11	#padr	#iren	1	Undirected
28	#cuel	#juan	1	Undirected
9	#rive	#garc	1	Undirected
8	#rive	#pere	1	Undirected
7	#rive	#juan	1	Undirected
6	#rive	#cipr	1	Undirected
16	#padr	#cipr	1	Undirected
17	#padr	#juan	1	Undirected
18	#padr	#pere	1	Undirected
19	#padr	#garc	1	Undirected
20	#padr	#escu	1	Undirected
21	#iren	#laur	1	Undirected
22	#iren	#fern	1	Undirected
23	#iren	#escu	1	Undirected
1	#rive	#iren	1	Undirected
26	#cuel	#fern	1	Undirected
27	#cuel	#cipr	1	Undirected
47	#pere	#garc	1	Undirected
