	Source	Target	Weight	Type
0	#meli	#nuno	3	Undirected
29	#nuno	#urra	3	Undirected
27	#nuno	#elvi	3	Undirected
26	#nuno	#gonz	3	Undirected
25	#nuno	#miss	3	Undirected
50	#miss	#elvi	3	Undirected
51	#miss	#lain	3	Undirected
52	#miss	#urra	3	Undirected
49	#miss	#gonz	3	Undirected
54	#miss	#bere	3	Undirected
31	#nuno	#bere	3	Undirected
117	#lain	#bere	3	Undirected
115	#lain	#urra	3	Undirected
97	#elvi	#bere	3	Undirected
95	#elvi	#urra	3	Undirected
94	#elvi	#lain	3	Undirected
72	#gonz	#elvi	3	Undirected
73	#gonz	#lain	3	Undirected
74	#gonz	#urra	3	Undirected
136	#urra	#bere	3	Undirected
1	#meli	#miss	3	Undirected
7	#meli	#bere	3	Undirected
76	#gonz	#bere	3	Undirected
5	#meli	#urra	3	Undirected
4	#meli	#lain	3	Undirected
3	#meli	#elvi	3	Undirected
2	#meli	#gonz	3	Undirected
28	#nuno	#lain	3	Undirected
116	#lain	#jaim	2	Undirected
168	#bere	#domi	2	Undirected
53	#miss	#jaim	2	Undirected
103	#elvi	#domi	2	Undirected
60	#miss	#domi	2	Undirected
96	#elvi	#jaim	2	Undirected
75	#gonz	#jaim	2	Undirected
37	#nuno	#domi	2	Undirected
158	#jaim	#domi	2	Undirected
82	#gonz	#domi	2	Undirected
6	#meli	#jaim	2	Undirected
13	#meli	#domi	2	Undirected
123	#lain	#domi	2	Undirected
142	#urra	#domi	2	Undirected
135	#urra	#jaim	2	Undirected
30	#nuno	#jaim	2	Undirected
154	#jaim	#bere	2	Undirected
177	#bere	#reve	1	Undirected
175	#bere	#rina	1	Undirected
146	#urra	#conc	1	Undirected
145	#urra	#rela	1	Undirected
144	#urra	#lito	1	Undirected
173	#bere	#illo	1	Undirected
174	#bere	#mano	1	Undirected
176	#bere	#rita	1	Undirected
178	#bere	#pepi	1	Undirected
181	#rlon	#chic	1	Undirected
143	#urra	#chic	1	Undirected
171	#bere	#rela	1	Undirected
180	#rlon	#rafa	1	Undirected
179	#bere	#emil	1	Undirected
141	#urra	#rafa	1	Undirected
172	#bere	#conc	1	Undirected
156	#jaim	#antu	1	Undirected
170	#bere	#lito	1	Undirected
165	#bere	#antu	1	Undirected
157	#jaim	#bern	1	Undirected
182	#rlon	#lito	1	Undirected
159	#jaim	#conc	1	Undirected
160	#jaim	#reve	1	Undirected
161	#jaim	#pepi	1	Undirected
162	#jaim	#emil	1	Undirected
163	#bere	#rlon	1	Undirected
164	#bere	#cosm	1	Undirected
153	#urra	#emil	1	Undirected
155	#jaim	#cosm	1	Undirected
152	#urra	#pepi	1	Undirected
151	#urra	#reve	1	Undirected
150	#urra	#rita	1	Undirected
166	#bere	#bern	1	Undirected
167	#bere	#rafa	1	Undirected
149	#urra	#rina	1	Undirected
148	#urra	#mano	1	Undirected
169	#bere	#chic	1	Undirected
147	#urra	#illo	1	Undirected
191	#cosm	#reve	1	Undirected
183	#rlon	#rela	1	Undirected
224	#rela	#rina	1	Undirected
213	#chic	#illo	1	Undirected
214	#chic	#mano	1	Undirected
215	#chic	#rina	1	Undirected
216	#chic	#rita	1	Undirected
217	#lito	#rela	1	Undirected
218	#lito	#illo	1	Undirected
219	#lito	#mano	1	Undirected
220	#lito	#rina	1	Undirected
221	#lito	#rita	1	Undirected
222	#rela	#illo	1	Undirected
223	#rela	#mano	1	Undirected
225	#rela	#rita	1	Undirected
211	#chic	#lito	1	Undirected
226	#conc	#reve	1	Undirected
227	#conc	#pepi	1	Undirected
228	#conc	#emil	1	Undirected
229	#illo	#mano	1	Undirected
230	#illo	#rina	1	Undirected
231	#illo	#rita	1	Undirected
232	#mano	#rina	1	Undirected
233	#mano	#rita	1	Undirected
234	#rina	#rita	1	Undirected
235	#reve	#pepi	1	Undirected
236	#reve	#emil	1	Undirected
212	#chic	#rela	1	Undirected
210	#domi	#emil	1	Undirected
184	#rlon	#illo	1	Undirected
196	#bern	#conc	1	Undirected
185	#rlon	#mano	1	Undirected
186	#rlon	#rina	1	Undirected
187	#rlon	#rita	1	Undirected
188	#cosm	#bern	1	Undirected
189	#cosm	#domi	1	Undirected
190	#cosm	#conc	1	Undirected
139	#urra	#antu	1	Undirected
192	#cosm	#pepi	1	Undirected
193	#cosm	#emil	1	Undirected
194	#antu	#domi	1	Undirected
195	#bern	#domi	1	Undirected
197	#bern	#reve	1	Undirected
209	#domi	#pepi	1	Undirected
198	#bern	#pepi	1	Undirected
199	#bern	#emil	1	Undirected
200	#rafa	#chic	1	Undirected
201	#rafa	#lito	1	Undirected
202	#rafa	#rela	1	Undirected
203	#rafa	#illo	1	Undirected
204	#rafa	#mano	1	Undirected
205	#rafa	#rina	1	Undirected
206	#rafa	#rita	1	Undirected
207	#domi	#conc	1	Undirected
208	#domi	#reve	1	Undirected
140	#urra	#bern	1	Undirected
119	#lain	#cosm	1	Undirected
138	#urra	#cosm	1	Undirected
40	#nuno	#rela	1	Undirected
42	#nuno	#illo	1	Undirected
43	#nuno	#mano	1	Undirected
44	#nuno	#rina	1	Undirected
45	#nuno	#rita	1	Undirected
46	#nuno	#reve	1	Undirected
47	#nuno	#pepi	1	Undirected
48	#nuno	#emil	1	Undirected
55	#miss	#rlon	1	Undirected
56	#miss	#cosm	1	Undirected
57	#miss	#antu	1	Undirected
58	#miss	#bern	1	Undirected
59	#miss	#rafa	1	Undirected
61	#miss	#chic	1	Undirected
62	#miss	#lito	1	Undirected
63	#miss	#rela	1	Undirected
64	#miss	#conc	1	Undirected
65	#miss	#illo	1	Undirected
66	#miss	#mano	1	Undirected
67	#miss	#rina	1	Undirected
68	#miss	#rita	1	Undirected
69	#miss	#reve	1	Undirected
41	#nuno	#conc	1	Undirected
39	#nuno	#lito	1	Undirected
137	#urra	#rlon	1	Undirected
38	#nuno	#chic	1	Undirected
8	#meli	#rlon	1	Undirected
9	#meli	#cosm	1	Undirected
