	Source	Target	Weight	Type
0	#hora	#afri	3	Undirected
27	#ramo	#paco	3	Undirected
29	#ramo	#luis	3	Undirected
30	#ramo	#maru	3	Undirected
32	#ramo	#cons	3	Undirected
34	#ramo	#beni	3	Undirected
39	#paco	#timo	3	Undirected
40	#paco	#luis	3	Undirected
41	#paco	#maru	3	Undirected
43	#paco	#cons	3	Undirected
45	#paco	#beni	3	Undirected
50	#timo	#luis	3	Undirected
1	#hora	#ramo	3	Undirected
53	#timo	#cons	3	Undirected
55	#timo	#beni	3	Undirected
60	#luis	#maru	3	Undirected
62	#luis	#cons	3	Undirected
64	#luis	#beni	3	Undirected
70	#maru	#cons	3	Undirected
72	#maru	#beni	3	Undirected
85	#cons	#beni	3	Undirected
28	#ramo	#timo	3	Undirected
51	#timo	#maru	3	Undirected
15	#afri	#paco	3	Undirected
17	#afri	#luis	3	Undirected
9	#hora	#beni	3	Undirected
5	#hora	#maru	3	Undirected
4	#hora	#luis	3	Undirected
3	#hora	#timo	3	Undirected
14	#afri	#ramo	3	Undirected
16	#afri	#timo	3	Undirected
2	#hora	#paco	3	Undirected
7	#hora	#cons	3	Undirected
20	#afri	#cons	3	Undirected
22	#afri	#beni	3	Undirected
18	#afri	#maru	3	Undirected
86	#cons	#eulo	2	Undirected
71	#maru	#conde	2	Undirected
61	#luis	#niev	2	Undirected
24	#afri	#vict	2	Undirected
95	#beni	#vict	2	Undirected
63	#luis	#conde	2	Undirected
94	#beni	#eulo	2	Undirected
65	#luis	#eulo	2	Undirected
66	#luis	#vict	2	Undirected
69	#maru	#niev	2	Undirected
92	#conde	#vict	2	Undirected
73	#maru	#eulo	2	Undirected
74	#maru	#vict	2	Undirected
77	#niev	#cons	2	Undirected
57	#timo	#vict	2	Undirected
90	#conde	#beni	2	Undirected
79	#niev	#beni	2	Undirected
80	#niev	#eulo	2	Undirected
84	#cons	#conde	2	Undirected
87	#cons	#vict	2	Undirected
23	#afri	#eulo	2	Undirected
6	#hora	#niev	2	Undirected
35	#ramo	#eulo	2	Undirected
36	#ramo	#vict	2	Undirected
19	#afri	#niev	2	Undirected
44	#paco	#conde	2	Undirected
33	#ramo	#conde	2	Undirected
46	#paco	#eulo	2	Undirected
47	#paco	#vict	2	Undirected
42	#paco	#niev	2	Undirected
31	#ramo	#niev	2	Undirected
11	#hora	#vict	2	Undirected
10	#hora	#eulo	2	Undirected
52	#timo	#niev	2	Undirected
54	#timo	#conde	2	Undirected
8	#hora	#conde	2	Undirected
56	#timo	#eulo	2	Undirected
21	#afri	#conde	2	Undirected
88	#cons	#wist	1	Undirected
89	#cons	#jorg	1	Undirected
91	#conde	#eulo	1	Undirected
58	#timo	#wist	1	Undirected
93	#conde	#jorg	1	Undirected
26	#afri	#jorg	1	Undirected
25	#afri	#wist	1	Undirected
97	#beni	#jorg	1	Undirected
98	#eulo	#vict	1	Undirected
99	#eulo	#wist	1	Undirected
100	#eulo	#jorg	1	Undirected
96	#beni	#wist	1	Undirected
37	#ramo	#wist	1	Undirected
83	#niev	#jorg	1	Undirected
82	#niev	#wist	1	Undirected
81	#niev	#vict	1	Undirected
59	#timo	#jorg	1	Undirected
38	#ramo	#jorg	1	Undirected
78	#niev	#conde	1	Undirected
76	#maru	#jorg	1	Undirected
75	#maru	#wist	1	Undirected
13	#hora	#jorg	1	Undirected
12	#hora	#wist	1	Undirected
48	#paco	#wist	1	Undirected
68	#luis	#jorg	1	Undirected
67	#luis	#wist	1	Undirected
49	#paco	#jorg	1	Undirected
101	#vict	#jorg	1	Undirected
