	Source	Target	Weight	Type
0	#alge	#cans	1	Undirected
1	#alge	#jorg	1	Undirected
20	#jorg	#gome	1	Undirected
21	#memb	#mart	1	Undirected
22	#memb	#rami	1	Undirected
23	#memb	#gasc	1	Undirected
24	#memb	#parr	1	Undirected
25	#memb	#gome	1	Undirected
26	#mart	#rami	1	Undirected
27	#mart	#gasc	1	Undirected
28	#mart	#parr	1	Undirected
29	#mart	#gome	1	Undirected
30	#rami	#gasc	1	Undirected
31	#rami	#parr	1	Undirected
32	#rami	#gome	1	Undirected
33	#gasc	#parr	1	Undirected
34	#gasc	#gome	1	Undirected
19	#jorg	#parr	1	Undirected
18	#jorg	#gasc	1	Undirected
17	#jorg	#rami	1	Undirected
8	#cans	#jorg	1	Undirected
2	#alge	#memb	1	Undirected
3	#alge	#mart	1	Undirected
4	#alge	#rami	1	Undirected
5	#alge	#gasc	1	Undirected
6	#alge	#parr	1	Undirected
7	#alge	#gome	1	Undirected
9	#cans	#memb	1	Undirected
16	#jorg	#mart	1	Undirected
10	#cans	#mart	1	Undirected
11	#cans	#rami	1	Undirected
12	#cans	#gasc	1	Undirected
13	#cans	#parr	1	Undirected
14	#cans	#gome	1	Undirected
15	#jorg	#memb	1	Undirected
35	#parr	#gome	1	Undirected
