	Source	Target	Weight	Type
0	#zapa	#zapo	2	Undirected
21	#elni	#alca	2	Undirected
51	#vecn	#vecm	2	Undirected
46	#veca	#vecm	2	Undirected
45	#veca	#vecn	2	Undirected
40	#vecr	#vecm	2	Undirected
39	#vecr	#vecn	2	Undirected
38	#vecr	#veca	2	Undirected
1	#zapa	#elni	2	Undirected
32	#alca	#vecn	2	Undirected
31	#alca	#veca	2	Undirected
30	#alca	#vecr	2	Undirected
25	#elni	#vecm	2	Undirected
24	#elni	#vecn	2	Undirected
23	#elni	#veca	2	Undirected
22	#elni	#vecr	2	Undirected
33	#alca	#vecm	2	Undirected
4	#zapa	#veca	2	Undirected
6	#zapa	#vecm	2	Undirected
2	#zapa	#alca	2	Undirected
16	#zapo	#vecm	2	Undirected
15	#zapo	#vecn	2	Undirected
14	#zapo	#veca	2	Undirected
13	#zapo	#vecr	2	Undirected
12	#zapo	#alca	2	Undirected
3	#zapa	#vecr	2	Undirected
11	#zapo	#elni	2	Undirected
5	#zapa	#vecn	2	Undirected
52	#vecn	#vecv	1	Undirected
49	#veca	#beas	1	Undirected
50	#veca	#sacr	1	Undirected
54	#vecn	#beas	1	Undirected
48	#veca	#beap	1	Undirected
47	#veca	#vecv	1	Undirected
53	#vecn	#beap	1	Undirected
17	#zapo	#vecv	1	Undirected
55	#vecn	#sacr	1	Undirected
56	#vecm	#vecv	1	Undirected
57	#vecm	#beap	1	Undirected
59	#vecm	#sacr	1	Undirected
60	#vecv	#beap	1	Undirected
61	#vecv	#beas	1	Undirected
62	#vecv	#sacr	1	Undirected
63	#beap	#beas	1	Undirected
64	#beap	#sacr	1	Undirected
58	#vecm	#beas	1	Undirected
41	#vecr	#vecv	1	Undirected
44	#vecr	#sacr	1	Undirected
9	#zapa	#beas	1	Undirected
19	#zapo	#beas	1	Undirected
20	#zapo	#sacr	1	Undirected
26	#elni	#vecv	1	Undirected
27	#elni	#beap	1	Undirected
28	#elni	#beas	1	Undirected
29	#elni	#sacr	1	Undirected
10	#zapa	#sacr	1	Undirected
8	#zapa	#beap	1	Undirected
43	#vecr	#beas	1	Undirected
34	#alca	#vecv	1	Undirected
35	#alca	#beap	1	Undirected
36	#alca	#beas	1	Undirected
37	#alca	#sacr	1	Undirected
7	#zapa	#vecv	1	Undirected
18	#zapo	#beap	1	Undirected
42	#vecr	#beap	1	Undirected
65	#beas	#sacr	1	Undirected
