	Source	Target	Weight	Type
0	#madr	#novo	3	Undirected
1	#madr	#nova	3	Undirected
41	#nova	#muje	3	Undirected
23	#novo	#muje	3	Undirected
22	#novo	#leon	3	Undirected
68	#leon	#muje	3	Undirected
20	#novo	#nova	3	Undirected
40	#nova	#leon	3	Undirected
4	#madr	#muje	3	Undirected
3	#madr	#leon	3	Undirected
91	#muje	#moz1	2	Undirected
145	#muc2	#moz1	2	Undirected
42	#nova	#padr	2	Undirected
43	#nova	#sueg	2	Undirected
44	#nova	#veci	2	Undirected
45	#nova	#muc1	2	Undirected
47	#nova	#muc2	2	Undirected
49	#nova	#moz1	2	Undirected
57	#cria	#leon	2	Undirected
58	#cria	#muje	2	Undirected
59	#cria	#padr	2	Undirected
129	#muc1	#moz1	2	Undirected
89	#muje	#muc2	2	Undirected
127	#muc1	#muc2	2	Undirected
69	#leon	#padr	2	Undirected
70	#leon	#sueg	2	Undirected
39	#nova	#cria	2	Undirected
72	#leon	#muc1	2	Undirected
74	#leon	#muc2	2	Undirected
76	#leon	#moz1	2	Undirected
84	#muje	#padr	2	Undirected
85	#muje	#sueg	2	Undirected
86	#muje	#veci	2	Undirected
107	#sueg	#veci	2	Undirected
71	#leon	#veci	2	Undirected
87	#muje	#muc1	2	Undirected
6	#madr	#sueg	2	Undirected
29	#novo	#muc2	2	Undirected
25	#novo	#sueg	2	Undirected
26	#novo	#veci	2	Undirected
8	#madr	#muc1	2	Undirected
5	#madr	#padr	2	Undirected
10	#madr	#muc2	2	Undirected
12	#madr	#moz1	2	Undirected
27	#novo	#muc1	2	Undirected
21	#novo	#cria	2	Undirected
31	#novo	#moz1	2	Undirected
2	#madr	#cria	2	Undirected
7	#madr	#veci	2	Undirected
24	#novo	#padr	2	Undirected
134	#muc1	#conv	1	Undirected
133	#muc1	#muc3	1	Undirected
128	#muc1	#len2	1	Undirected
135	#muc1	#moz2	1	Undirected
132	#muc1	#luna	1	Undirected
131	#muc1	#muer	1	Undirected
