	Source	Target	Weight	Type
0	#bern	#ponc	3	Undirected
30	#mart	#amel	3	Undirected
31	#mart	#angu	3	Undirected
32	#mart	#magd	3	Undirected
33	#mart	#cria	3	Undirected
1	#bern	#mart	3	Undirected
56	#amel	#cria	3	Undirected
55	#amel	#magd	3	Undirected
54	#amel	#angu	3	Undirected
20	#ponc	#cria	3	Undirected
19	#ponc	#magd	3	Undirected
18	#ponc	#angu	3	Undirected
17	#ponc	#amel	3	Undirected
16	#ponc	#adel	3	Undirected
15	#ponc	#mart	3	Undirected
65	#angu	#magd	3	Undirected
66	#angu	#cria	3	Undirected
42	#adel	#amel	3	Undirected
43	#adel	#angu	3	Undirected
44	#adel	#magd	3	Undirected
45	#adel	#cria	3	Undirected
75	#magd	#cria	3	Undirected
6	#bern	#cria	3	Undirected
5	#bern	#magd	3	Undirected
4	#bern	#angu	3	Undirected
3	#bern	#amel	3	Undirected
2	#bern	#adel	3	Undirected
29	#mart	#adel	3	Undirected
85	#cria	#jose	2	Undirected
35	#mart	#jose	2	Undirected
47	#adel	#jose	2	Undirected
58	#amel	#jose	2	Undirected
8	#bern	#jose	2	Undirected
77	#magd	#jose	2	Undirected
22	#ponc	#jose	2	Undirected
68	#angu	#jose	2	Undirected
86	#cria	#mend	1	Undirected
88	#cria	#much	1	Undirected
76	#magd	#prud	1	Undirected
87	#cria	#muj1	1	Undirected
78	#magd	#mend	1	Undirected
84	#cria	#prud	1	Undirected
79	#magd	#muj1	1	Undirected
80	#magd	#much	1	Undirected
89	#cria	#muj2	1	Undirected
82	#magd	#muj3	1	Undirected
83	#magd	#muj4	1	Undirected
81	#magd	#muj2	1	Undirected
97	#jose	#muj3	1	Undirected
90	#cria	#muj3	1	Undirected
91	#cria	#muj4	1	Undirected
112	#muj2	#muj4	1	Undirected
111	#muj2	#muj3	1	Undirected
110	#much	#muj4	1	Undirected
109	#much	#muj3	1	Undirected
108	#much	#muj2	1	Undirected
107	#muj1	#muj4	1	Undirected
106	#muj1	#muj3	1	Undirected
105	#muj1	#muj2	1	Undirected
104	#muj1	#much	1	Undirected
103	#mend	#muj4	1	Undirected
102	#mend	#muj3	1	Undirected
101	#mend	#muj2	1	Undirected
100	#mend	#much	1	Undirected
99	#mend	#muj1	1	Undirected
98	#jose	#muj4	1	Undirected
73	#angu	#muj3	1	Undirected
96	#jose	#muj2	1	Undirected
95	#jose	#much	1	Undirected
94	#jose	#muj1	1	Undirected
93	#jose	#mend	1	Undirected
92	#prud	#jose	1	Undirected
74	#angu	#muj4	1	Undirected
57	#amel	#prud	1	Undirected
72	#angu	#muj2	1	Undirected
71	#angu	#much	1	Undirected
37	#mart	#muj1	1	Undirected
36	#mart	#mend	1	Undirected
34	#mart	#prud	1	Undirected
28	#ponc	#muj4	1	Undirected
27	#ponc	#muj3	1	Undirected
26	#ponc	#muj2	1	Undirected
25	#ponc	#much	1	Undirected
24	#ponc	#muj1	1	Undirected
23	#ponc	#mend	1	Undirected
21	#ponc	#prud	1	Undirected
14	#bern	#muj4	1	Undirected
13	#bern	#muj3	1	Undirected
12	#bern	#muj2	1	Undirected
11	#bern	#much	1	Undirected
10	#bern	#muj1	1	Undirected
9	#bern	#mend	1	Undirected
7	#bern	#prud	1	Undirected
38	#mart	#much	1	Undirected
39	#mart	#muj2	1	Undirected
40	#mart	#muj3	1	Undirected
60	#amel	#muj1	1	Undirected
70	#angu	#muj1	1	Undirected
69	#angu	#mend	1	Undirected
67	#angu	#prud	1	Undirected
64	#amel	#muj4	1	Undirected
63	#amel	#muj3	1	Undirected
62	#amel	#muj2	1	Undirected
61	#amel	#much	1	Undirected
59	#amel	#mend	1	Undirected
41	#mart	#muj4	1	Undirected
53	#adel	#muj4	1	Undirected
52	#adel	#muj3	1	Undirected
51	#adel	#muj2	1	Undirected
50	#adel	#much	1	Undirected
49	#adel	#muj1	1	Undirected
48	#adel	#mend	1	Undirected
46	#adel	#prud	1	Undirected
113	#muj3	#muj4	1	Undirected
