	Source	Target	Weight	Type
0	#caba	#gala	5	Undirected
70	#gala	#roja	5	Undirected
6	#caba	#roja	5	Undirected
184	#sabe	#roja	4	Undirected
1	#caba	#dona	4	Undirected
133	#dona	#roja	4	Undirected
65	#gala	#dona	4	Undirected
66	#gala	#sabe	4	Undirected
2	#caba	#sabe	4	Undirected
243	#libe	#roja	3	Undirected
67	#gala	#libe	3	Undirected
130	#dona	#libe	3	Undirected
129	#dona	#sabe	3	Undirected
3	#caba	#libe	3	Undirected
81	#gala	#manc	2	Undirected
136	#dona	#pedr	2	Undirected
276	#cara	#farr	2	Undirected
131	#dona	#cara	2	Undirected
106	#gala	#moza	2	Undirected
549	#sueg	#manc	2	Undirected
100	#gala	#zaga	2	Undirected
96	#gala	#vie1	2	Undirected
79	#gala	#rosa	2	Undirected
80	#gala	#sueg	2	Undirected
301	#farr	#roja	2	Undirected
528	#rosa	#manc	2	Undirected
77	#gala	#cape	2	Undirected
76	#gala	#pren	2	Undirected
527	#rosa	#sueg	2	Undirected
73	#gala	#pedr	2	Undirected
69	#gala	#farr	2	Undirected
68	#gala	#cara	2	Undirected
138	#dona	#pren	2	Undirected
139	#dona	#cape	2	Undirected
141	#dona	#rosa	2	Undirected
142	#dona	#sueg	2	Undirected
218	#sabe	#moza	2	Undirected
718	#vie1	#moza	2	Undirected
212	#sabe	#zaga	2	Undirected
208	#sabe	#vie1	2	Undirected
327	#roja	#pedr	2	Undirected
194	#sabe	#manc	2	Undirected
193	#sabe	#sueg	2	Undirected
192	#sabe	#rosa	2	Undirected
330	#roja	#pren	2	Undirected
190	#sabe	#cape	2	Undirected
189	#sabe	#pren	2	Undirected
331	#roja	#cape	2	Undirected
333	#roja	#rosa	2	Undirected
334	#roja	#sueg	2	Undirected
245	#libe	#pedr	2	Undirected
335	#roja	#manc	2	Undirected
181	#sabe	#libe	2	Undirected
350	#roja	#vie1	2	Undirected
354	#roja	#zaga	2	Undirected
277	#cara	#roja	2	Undirected
143	#dona	#manc	2	Undirected
360	#roja	#moza	2	Undirected
132	#dona	#farr	2	Undirected
12	#caba	#pren	2	Undirected
5	#caba	#farr	2	Undirected
456	#pren	#sueg	2	Undirected
32	#caba	#vie1	2	Undirected
457	#pren	#manc	2	Undirected
17	#caba	#manc	2	Undirected
36	#caba	#zaga	2	Undirected
16	#caba	#sueg	2	Undirected
15	#caba	#rosa	2	Undirected
9	#caba	#pedr	2	Undirected
42	#caba	#moza	2	Undirected
455	#pren	#rosa	2	Undirected
4	#caba	#cara	2	Undirected
