	id	label	sex	role	nature	importance	position	act_1	act_2	act_3	act_4	act_5	first act	middle act	last act
#caba	#caba	El Caballero don Juan Manuel Montenegro	M	protagonist	person	primary	1	22	75	40	34	26	22	49.666666666666664	26
#fray	#fray	Fray Jerónimo	M	other	person	minor	2	2	0	0	0	0	2	0.0	0
#vie1	#vie1	Una vieja	F	other	person	minor	3	1	4	0	0	0	1	1.3333333333333333	0
#moza	#moza	Una moza	F	other	person	minor	4	1	2	0	0	0	1	0.6666666666666666	0
#mona	#mona	un monago	M	other	person	minor	5	1	0	0	0	0	1	0.0	0
#voz_	#voz_	una voz en la sombra	F	other	oher	minor	6	1	0	0	0	0	1	0.0	0
#sabe	#sabe	Sabelita	F	lover	person	primary	7	27	16	34	0	9	27	16.666666666666668	9
#rosi	#rosi	Doña Rosita	F	other	person	minor	8	10	0	0	0	0	10	0.0	0
#rosm	#rosm	Rosita María	F	other	person	minor	9	6	0	0	0	0	6	0.0	0
#vie2	#vie2	otra vieja	F	other	person	minor	10	1	0	0	0	0	1	0.0	0
#roja	#roja	Micaela La Roja	F	other	person	secondary	11	19	15	12	7	5	19	11.333333333333334	5
#zaga	#zaga	El zagal de las ovejas	M	other	person	minor	12	3	0	0	0	1	3	0.0	1
#gala	#gala	Don Galán	M	other	person	secondary	13	1	47	24	52	13	1	41.0	13
#capi	#capi	El Capitán de los ladrones	M	other	person	minor	14	18	0	0	0	0	18	0.0	0
#veci	#veci	Un vecino	M	other	person	minor	15	1	0	0	0	0	1	0.0	0
#ladr	#ladr	Un ladrón	M	other	person	secondary	16	7	0	0	0	0	7	0.0	0
#otro	#otro	Otro ladrón	M	other	person	secondary	17	2	0	0	0	0	2	0.0	0
#enma	#enma	El Enmascarado	M	other	person	minor	18	4	0	0	0	0	4	0.0	0
#pedr	#pedr	Pedro Rey	M	other	person	secondary	21	0	13	0	10	0	0	7.666666666666667	0
#libe	#libe	Liberata	F	other	person	secondary	22	0	24	0	36	21	0	20.0	21
#dped	#dped	Don Pedrito	M	other	person	secondary	23	0	18	0	0	0	0	6.0	0
#cura	#cura	La Curandera	F	other	person	minor	24	0	10	0	0	0	0	3.3333333333333335	0
#mozo	#mozo	Un mozo	M	other	person	minor	25	0	4	0	0	0	0	1.3333333333333333	0
#viej	#viej	Un viejo	M	other	person	minor	26	0	4	0	0	0	0	1.3333333333333333	0
#mar1	#mar1	Un Marinero	M	other	person	minor	27	0	1	0	0	0	0	0.3333333333333333	0
#patr	#patr	El Patrón	M	other	person	minor	28	0	3	0	0	0	0	1.0	0
#mar2	#mar2	Otro marinero	M	other	person	minor	29	0	1	0	0	0	0	0.3333333333333333	0
#manu	#manu	Manuel Tovío	M	other	person	minor	30	0	3	0	0	0	0	1.0	0
