	Source	Target	Weight	Type
0	#caba	#farr	3	Undirected
45	#farr	#maur	3	Undirected
224	#maur	#rose	3	Undirected
452	#morc	#mago	3	Undirected
468	#gonz	#male	3	Undirected
475	#gonz	#mago	3	Undirected
163	#cape	#mago	3	Undirected
156	#cape	#male	3	Undirected
148	#cape	#gonz	3	Undirected
147	#cape	#morc	3	Undirected
146	#cape	#domi	3	Undirected
142	#cape	#pobr	3	Undirected
141	#cape	#rose	3	Undirected
138	#cape	#maur	3	Undirected
548	#male	#mago	3	Undirected
70	#farr	#mago	3	Undirected
63	#farr	#male	3	Undirected
55	#farr	#gonz	3	Undirected
54	#farr	#morc	3	Undirected
53	#farr	#domi	3	Undirected
49	#farr	#pobr	3	Undirected
225	#maur	#pobr	3	Undirected
229	#maur	#domi	3	Undirected
230	#maur	#morc	3	Undirected
312	#rose	#domi	3	Undirected
351	#pobr	#male	3	Undirected
343	#pobr	#gonz	3	Undirected
342	#pobr	#morc	3	Undirected
341	#pobr	#domi	3	Undirected
329	#rose	#mago	3	Undirected
322	#rose	#male	3	Undirected
314	#rose	#gonz	3	Undirected
313	#rose	#morc	3	Undirected
308	#rose	#pobr	3	Undirected
231	#maur	#gonz	3	Undirected
412	#domi	#morc	3	Undirected
413	#domi	#gonz	3	Undirected
421	#domi	#male	3	Undirected
428	#domi	#mago	3	Undirected
437	#morc	#gonz	3	Undirected
246	#maur	#mago	3	Undirected
239	#maur	#male	3	Undirected
445	#morc	#male	3	Undirected
48	#farr	#rose	3	Undirected
358	#pobr	#mago	3	Undirected
9	#caba	#rose	3	Undirected
31	#caba	#mago	3	Undirected
10	#caba	#pobr	3	Undirected
16	#caba	#gonz	3	Undirected
15	#caba	#morc	3	Undirected
6	#caba	#maur	3	Undirected
3	#caba	#cape	3	Undirected
14	#caba	#domi	3	Undirected
24	#caba	#male	3	Undirected
42	#farr	#cape	3	Undirected
174	#roja	#monc	2	Undirected
175	#roja	#gala	2	Undirected
1	#caba	#andr	2	Undirected
300	#gala	#mago	2	Undirected
126	#pedr	#male	2	Undirected
396	#beni	#gonz	2	Undirected
395	#beni	#morc	2	Undirected
417	#domi	#rebo	2	Undirected
394	#beni	#domi	2	Undirected
120	#pedr	#gonz	2	Undirected
119	#pedr	#morc	2	Undirected
118	#pedr	#domi	2	Undirected
117	#pedr	#beni	2	Undirected
257	#monc	#pobr	2	Undirected
115	#pedr	#pobr	2	Undirected
114	#pedr	#rose	2	Undirected
189	#roja	#male	2	Undirected
256	#monc	#rose	2	Undirected
111	#pedr	#maur	2	Undirected
255	#monc	#gala	2	Undirected
109	#pedr	#cape	2	Undirected
311	#rose	#beni	2	Undirected
274	#monc	#mago	2	Undirected
261	#monc	#domi	2	Undirected
131	#pedr	#mago	2	Undirected
183	#roja	#gonz	2	Undirected
512	#rebo	#mago	2	Undirected
282	#gala	#rose	2	Undirected
507	#rebo	#male	2	Undirected
283	#gala	#pobr	2	Undirected
152	#cape	#rebo	2	Undirected
176	#roja	#rose	2	Undirected
