	Source	Target	Weight	Type
0	#cara	#abad	3	Undirected
37	#abad	#caba	3	Undirected
129	#caba	#pich	3	Undirected
130	#caba	#sac1	3	Undirected
131	#caba	#fuso	3	Undirected
100	#sabe	#fuso	3	Undirected
99	#sabe	#sac1	3	Undirected
98	#sabe	#pich	3	Undirected
160	#pich	#sac1	3	Undirected
161	#pich	#fuso	3	Undirected
97	#sabe	#caba	3	Undirected
36	#abad	#sabe	3	Undirected
190	#sac1	#fuso	3	Undirected
38	#abad	#pich	3	Undirected
39	#abad	#sac1	3	Undirected
40	#abad	#fuso	3	Undirected
6	#cara	#fuso	3	Undirected
5	#cara	#sac1	3	Undirected
4	#cara	#pich	3	Undirected
3	#cara	#caba	3	Undirected
2	#cara	#sabe	3	Undirected
104	#sabe	#peab	2	Undirected
76	#jero	#peab	2	Undirected
77	#jero	#seba	2	Undirected
75	#jero	#viej	2	Undirected
73	#jero	#fuso	2	Undirected
72	#jero	#sac1	2	Undirected
71	#jero	#pich	2	Undirected
103	#sabe	#viej	2	Undirected
135	#caba	#peab	2	Undirected
105	#sabe	#seba	2	Undirected
195	#sac1	#seba	2	Undirected
290	#peab	#seba	2	Undirected
270	#viej	#seba	2	Undirected
269	#viej	#peab	2	Undirected
1	#cara	#jero	2	Undirected
222	#fuso	#peab	2	Undirected
221	#fuso	#viej	2	Undirected
194	#sac1	#peab	2	Undirected
134	#caba	#viej	2	Undirected
193	#sac1	#viej	2	Undirected
166	#pich	#seba	2	Undirected
165	#pich	#peab	2	Undirected
164	#pich	#viej	2	Undirected
136	#caba	#seba	2	Undirected
69	#jero	#sabe	2	Undirected
70	#jero	#caba	2	Undirected
223	#fuso	#seba	2	Undirected
35	#abad	#jero	2	Undirected
10	#cara	#peab	2	Undirected
11	#cara	#seba	2	Undirected
43	#abad	#viej	2	Undirected
44	#abad	#peab	2	Undirected
45	#abad	#seba	2	Undirected
9	#cara	#viej	2	Undirected
322	#seba	#mafo	1	Undirected
321	#seba	#mato	1	Undirected
320	#seba	#indi	1	Undirected
319	#seba	#coim	1	Undirected
318	#seba	#pedr	1	Undirected
317	#seba	#past	1	Undirected
316	#seba	#peni	1	Undirected
315	#seba	#diac	1	Undirected
48	#abad	#gala	1	Undirected
313	#seba	#rami	1	Undirected
312	#seba	#farr	1	Undirected
311	#seba	#viea	1	Undirected
310	#seba	#maur	1	Undirected
309	#peab	#chal	1	Undirected
308	#peab	#pre3	1	Undirected
307	#peab	#rose	1	Undirected
306	#peab	#pre2	1	Undirected
305	#peab	#pre1	1	Undirected
304	#peab	#cieg	1	Undirected
303	#peab	#mafo	1	Undirected
302	#peab	#mato	1	Undirected
301	#peab	#indi	1	Undirected
314	#seba	#mara	1	Undirected
324	#seba	#pre1	1	Undirected
323	#seba	#cieg	1	Undirected
299	#peab	#pedr	1	Undirected
345	#maur	#chal	1	Undirected
344	#maur	#pre3	1	Undirected
343	#maur	#rose	1	Undirected
342	#maur	#pre2	1	Undirected
341	#maur	#pre1	1	Undirected
340	#maur	#cieg	1	Undirected
339	#maur	#indi	1	Undirected
338	#maur	#coim	1	Undirected
337	#maur	#pedr	1	Undirected
336	#maur	#peni	1	Undirected
335	#maur	#diac	1	Undirected
334	#maur	#mara	1	Undirected
333	#maur	#farr	1	Undirected
332	#maur	#viea	1	Undirected
331	#biga	#vozl	1	Undirected
330	#biga	#conf	1	Undirected
329	#biga	#gala	1	Undirected
328	#seba	#chal	1	Undirected
327	#seba	#pre3	1	Undirected
326	#seba	#rose	1	Undirected
325	#seba	#pre2	1	Undirected
300	#peab	#coim	1	Undirected
295	#peab	#mara	1	Undirected
298	#peab	#past	1	Undirected
262	#ludo	#indi	1	Undirected
272	#viej	#viea	1	Undirected
271	#viej	#maur	1	Undirected
8	#cara	#ludo	1	Undirected
268	#ludo	#chal	1	Undirected
267	#ludo	#pre3	1	Undirected
266	#ludo	#rose	1	Undirected
265	#ludo	#pre2	1	Undirected
264	#ludo	#pre1	1	Undirected
263	#ludo	#cieg	1	Undirected
261	#ludo	#coim	1	Undirected
274	#viej	#rami	1	Undirected
260	#ludo	#pedr	1	Undirected
259	#ludo	#peni	1	Undirected
258	#ludo	#diac	1	Undirected
257	#ludo	#mara	1	Undirected
256	#ludo	#farr	1	Undirected
255	#ludo	#viea	1	Undirected
254	#ludo	#maur	1	Undirected
253	#ludo	#seba	1	Undirected
252	#ludo	#peab	1	Undirected
273	#viej	#farr	1	Undirected
275	#viej	#mara	1	Undirected
297	#peab	#peni	1	Undirected
287	#viej	#rose	1	Undirected
296	#peab	#diac	1	Undirected
347	#gala	#vozl	1	Undirected
294	#peab	#rami	1	Undirected
293	#peab	#farr	1	Undirected
292	#peab	#viea	1	Undirected
291	#peab	#maur	1	Undirected
7	#cara	#sac2	1	Undirected
289	#viej	#chal	1	Undirected
288	#viej	#pre3	1	Undirected
286	#viej	#pre2	1	Undirected
276	#viej	#diac	1	Undirected
285	#viej	#pre1	1	Undirected
284	#viej	#cieg	1	Undirected
283	#viej	#mafo	1	Undirected
282	#viej	#mato	1	Undirected
281	#viej	#indi	1	Undirected
280	#viej	#coim	1	Undirected
279	#viej	#pedr	1	Undirected
278	#viej	#past	1	Undirected
277	#viej	#peni	1	Undirected
346	#gala	#conf	1	Undirected
349	#viea	#mara	1	Undirected
348	#viea	#farr	1	Undirected
421	#coim	#pre3	1	Undirected
419	#coim	#pre2	1	Undirected
418	#coim	#pre1	1	Undirected
417	#coim	#cieg	1	Undirected
416	#coim	#indi	1	Undirected
415	#pedr	#chal	1	Undirected
414	#pedr	#pre3	1	Undirected
413	#pedr	#rose	1	Undirected
412	#pedr	#pre2	1	Undirected
411	#pedr	#pre1	1	Undirected
410	#pedr	#cieg	1	Undirected
409	#pedr	#indi	1	Undirected
408	#pedr	#coim	1	Undirected
407	#past	#mafo	1	Undirected
406	#past	#mato	1	Undirected
405	#peni	#chal	1	Undirected
404	#peni	#pre3	1	Undirected
403	#peni	#rose	1	Undirected
402	#peni	#pre2	1	Undirected
401	#peni	#pre1	1	Undirected
400	#peni	#cieg	1	Undirected
399	#peni	#indi	1	Undirected
420	#coim	#rose	1	Undirected
422	#coim	#chal	1	Undirected
250	#sac2	#vozl	1	Undirected
423	#indi	#cieg	1	Undirected
444	#pre3	#chal	1	Undirected
443	#rose	#chal	1	Undirected
442	#rose	#pre3	1	Undirected
441	#pre2	#chal	1	Undirected
440	#pre2	#pre3	1	Undirected
439	#pre2	#rose	1	Undirected
438	#pre1	#chal	1	Undirected
437	#pre1	#pre3	1	Undirected
436	#pre1	#rose	1	Undirected
435	#pre1	#pre2	1	Undirected
434	#cieg	#chal	1	Undirected
433	#cieg	#pre3	1	Undirected
432	#cieg	#rose	1	Undirected
431	#cieg	#pre2	1	Undirected
430	#cieg	#pre1	1	Undirected
429	#mato	#mafo	1	Undirected
428	#indi	#chal	1	Undirected
427	#indi	#pre3	1	Undirected
426	#indi	#rose	1	Undirected
425	#indi	#pre2	1	Undirected
424	#indi	#pre1	1	Undirected
398	#peni	#coim	1	Undirected
397	#peni	#pedr	1	Undirected
396	#diac	#chal	1	Undirected
395	#diac	#pre3	1	Undirected
370	#farr	#rose	1	Undirected
369	#farr	#pre2	1	Undirected
368	#farr	#pre1	1	Undirected
367	#farr	#cieg	1	Undirected
366	#farr	#indi	1	Undirected
365	#farr	#coim	1	Undirected
364	#farr	#pedr	1	Undirected
363	#farr	#peni	1	Undirected
362	#farr	#diac	1	Undirected
361	#farr	#mara	1	Undirected
360	#viea	#chal	1	Undirected
359	#viea	#pre3	1	Undirected
358	#viea	#rose	1	Undirected
357	#viea	#pre2	1	Undirected
356	#viea	#pre1	1	Undirected
355	#viea	#cieg	1	Undirected
354	#viea	#indi	1	Undirected
353	#viea	#coim	1	Undirected
352	#viea	#pedr	1	Undirected
351	#viea	#peni	1	Undirected
350	#viea	#diac	1	Undirected
371	#farr	#pre3	1	Undirected
372	#farr	#chal	1	Undirected
373	#rami	#past	1	Undirected
385	#mara	#pre3	1	Undirected
394	#diac	#rose	1	Undirected
393	#diac	#pre2	1	Undirected
392	#diac	#pre1	1	Undirected
391	#diac	#cieg	1	Undirected
390	#diac	#indi	1	Undirected
389	#diac	#coim	1	Undirected
388	#diac	#pedr	1	Undirected
387	#diac	#peni	1	Undirected
386	#mara	#chal	1	Undirected
384	#mara	#rose	1	Undirected
374	#rami	#mato	1	Undirected
383	#mara	#pre2	1	Undirected
382	#mara	#pre1	1	Undirected
381	#mara	#cieg	1	Undirected
380	#mara	#indi	1	Undirected
379	#mara	#coim	1	Undirected
378	#mara	#pedr	1	Undirected
377	#mara	#peni	1	Undirected
376	#mara	#diac	1	Undirected
375	#rami	#mafo	1	Undirected
251	#ludo	#viej	1	Undirected
247	#sac2	#biga	1	Undirected
249	#sac2	#conf	1	Undirected
101	#sabe	#sac2	1	Undirected
123	#sabe	#pre2	1	Undirected
122	#sabe	#pre1	1	Undirected
121	#sabe	#cieg	1	Undirected
120	#sabe	#mafo	1	Undirected
119	#sabe	#mato	1	Undirected
118	#sabe	#indi	1	Undirected
117	#sabe	#coim	1	Undirected
116	#sabe	#pedr	1	Undirected
115	#sabe	#past	1	Undirected
114	#sabe	#peni	1	Undirected
113	#sabe	#diac	1	Undirected
112	#sabe	#mara	1	Undirected
111	#sabe	#rami	1	Undirected
110	#sabe	#farr	1	Undirected
109	#sabe	#viea	1	Undirected
108	#sabe	#gala	1	Undirected
107	#sabe	#maur	1	Undirected
106	#sabe	#biga	1	Undirected
28	#cara	#pre1	1	Undirected
29	#cara	#pre2	1	Undirected
30	#cara	#rose	1	Undirected
124	#sabe	#rose	1	Undirected
125	#sabe	#pre3	1	Undirected
126	#sabe	#chal	1	Undirected
138	#caba	#maur	1	Undirected
147	#caba	#pedr	1	Undirected
146	#caba	#past	1	Undirected
145	#caba	#peni	1	Undirected
144	#caba	#diac	1	Undirected
143	#caba	#mara	1	Undirected
142	#caba	#rami	1	Undirected
141	#caba	#farr	1	Undirected
140	#caba	#viea	1	Undirected
139	#caba	#gala	1	Undirected
137	#caba	#biga	1	Undirected
127	#sabe	#conf	1	Undirected
22	#cara	#pedr	1	Undirected
23	#cara	#coim	1	Undirected
24	#cara	#indi	1	Undirected
133	#caba	#ludo	1	Undirected
132	#caba	#sac2	1	Undirected
25	#cara	#mato	1	Undirected
26	#cara	#mafo	1	Undirected
27	#cara	#cieg	1	Undirected
128	#sabe	#vozl	1	Undirected
102	#sabe	#ludo	1	Undirected
31	#cara	#pre3	1	Undirected
149	#caba	#indi	1	Undirected
32	#cara	#chal	1	Undirected
46	#abad	#biga	1	Undirected
47	#abad	#maur	1	Undirected
68	#abad	#vozl	1	Undirected
67	#abad	#conf	1	Undirected
66	#abad	#chal	1	Undirected
65	#abad	#pre3	1	Undirected
64	#abad	#rose	1	Undirected
63	#abad	#pre2	1	Undirected
62	#abad	#pre1	1	Undirected
61	#abad	#cieg	1	Undirected
60	#abad	#mafo	1	Undirected
59	#abad	#mato	1	Undirected
58	#abad	#indi	1	Undirected
57	#abad	#coim	1	Undirected
56	#abad	#pedr	1	Undirected
55	#abad	#past	1	Undirected
54	#abad	#peni	1	Undirected
53	#abad	#diac	1	Undirected
52	#abad	#mara	1	Undirected
51	#abad	#rami	1	Undirected
50	#abad	#farr	1	Undirected
74	#jero	#ludo	1	Undirected
42	#abad	#ludo	1	Undirected
41	#abad	#sac2	1	Undirected
89	#jero	#mato	1	Undirected
33	#cara	#conf	1	Undirected
34	#cara	#vozl	1	Undirected
96	#jero	#chal	1	Undirected
95	#jero	#pre3	1	Undirected
94	#jero	#rose	1	Undirected
93	#jero	#pre2	1	Undirected
92	#jero	#pre1	1	Undirected
91	#jero	#cieg	1	Undirected
90	#jero	#mafo	1	Undirected
88	#jero	#indi	1	Undirected
78	#jero	#maur	1	Undirected
87	#jero	#coim	1	Undirected
86	#jero	#pedr	1	Undirected
85	#jero	#past	1	Undirected
84	#jero	#peni	1	Undirected
83	#jero	#diac	1	Undirected
82	#jero	#mara	1	Undirected
81	#jero	#rami	1	Undirected
80	#jero	#farr	1	Undirected
79	#jero	#viea	1	Undirected
148	#caba	#coim	1	Undirected
150	#caba	#mato	1	Undirected
248	#sac2	#gala	1	Undirected
199	#sac1	#viea	1	Undirected
