	Source	Target	Weight	Type
0	#casa	#amar	3	Undirected
46	#prod	#celc	3	Undirected
53	#prod	#flor	3	Undirected
52	#prod	#amil	3	Undirected
51	#prod	#eulo	3	Undirected
50	#prod	#cefe	3	Undirected
49	#prod	#puli	3	Undirected
47	#prod	#ever	3	Undirected
1	#casa	#juan	3	Undirected
55	#celc	#ever	3	Undirected
44	#vale	#flor	3	Undirected
43	#vale	#amil	3	Undirected
42	#vale	#eulo	3	Undirected
41	#vale	#cefe	3	Undirected
81	#cefe	#amil	3	Undirected
38	#vale	#ever	3	Undirected
85	#eulo	#flor	3	Undirected
57	#celc	#puli	3	Undirected
36	#vale	#prod	3	Undirected
67	#ever	#amil	3	Undirected
82	#cefe	#flor	3	Undirected
78	#puli	#flor	3	Undirected
77	#puli	#amil	3	Undirected
76	#puli	#eulo	3	Undirected
75	#puli	#cefe	3	Undirected
68	#ever	#flor	3	Undirected
66	#ever	#eulo	3	Undirected
58	#celc	#cefe	3	Undirected
65	#ever	#cefe	3	Undirected
64	#ever	#puli	3	Undirected
84	#eulo	#amil	3	Undirected
61	#celc	#flor	3	Undirected
60	#celc	#amil	3	Undirected
59	#celc	#eulo	3	Undirected
37	#vale	#celc	3	Undirected
40	#vale	#puli	3	Undirected
16	#amar	#celc	3	Undirected
10	#casa	#amil	3	Undirected
17	#amar	#ever	3	Undirected
34	#juan	#flor	3	Undirected
15	#amar	#prod	3	Undirected
14	#amar	#vale	3	Undirected
13	#amar	#juan	3	Undirected
11	#casa	#flor	3	Undirected
9	#casa	#eulo	3	Undirected
20	#amar	#cefe	3	Undirected
8	#casa	#cefe	3	Undirected
7	#casa	#puli	3	Undirected
5	#casa	#ever	3	Undirected
4	#casa	#celc	3	Undirected
3	#casa	#prod	3	Undirected
2	#casa	#vale	3	Undirected
19	#amar	#puli	3	Undirected
80	#cefe	#eulo	3	Undirected
21	#amar	#eulo	3	Undirected
25	#juan	#vale	3	Undirected
30	#juan	#puli	3	Undirected
28	#juan	#ever	3	Undirected
27	#juan	#celc	3	Undirected
26	#juan	#prod	3	Undirected
31	#juan	#cefe	3	Undirected
32	#juan	#eulo	3	Undirected
87	#amil	#flor	3	Undirected
23	#amar	#flor	3	Undirected
22	#amar	#amil	3	Undirected
33	#juan	#amil	3	Undirected
72	#aten	#eulo	2	Undirected
39	#vale	#aten	2	Undirected
6	#casa	#aten	2	Undirected
74	#aten	#flor	2	Undirected
73	#aten	#amil	2	Undirected
29	#juan	#aten	2	Undirected
71	#aten	#cefe	2	Undirected
70	#aten	#puli	2	Undirected
18	#amar	#aten	2	Undirected
63	#ever	#aten	2	Undirected
48	#prod	#aten	2	Undirected
56	#celc	#aten	2	Undirected
83	#cefe	#frai	1	Undirected
88	#amil	#frai	1	Undirected
86	#eulo	#frai	1	Undirected
45	#vale	#frai	1	Undirected
79	#puli	#frai	1	Undirected
69	#ever	#frai	1	Undirected
62	#celc	#frai	1	Undirected
54	#prod	#frai	1	Undirected
35	#juan	#frai	1	Undirected
24	#amar	#frai	1	Undirected
12	#casa	#frai	1	Undirected
89	#flor	#frai	1	Undirected
