	Source	Target	Weight	Type
0	#ange	#eufe	3	Undirected
11	#eufe	#joaq	3	Undirected
38	#euse	#nico	3	Undirected
25	#joaq	#ramo	3	Undirected
23	#joaq	#nico	3	Undirected
22	#joaq	#euse	3	Undirected
40	#euse	#ramo	3	Undirected
46	#nico	#ramo	3	Undirected
16	#eufe	#ramo	3	Undirected
1	#ange	#joaq	3	Undirected
13	#eufe	#euse	3	Undirected
14	#eufe	#nico	3	Undirected
6	#ange	#ramo	3	Undirected
3	#ange	#euse	3	Undirected
4	#ange	#nico	3	Undirected
48	#nico	#pepe	2	Undirected
33	#feli	#ramo	2	Undirected
58	#mart	#pepe	2	Undirected
39	#euse	#teod	2	Undirected
55	#ramo	#pepe	2	Undirected
41	#euse	#mart	2	Undirected
51	#teod	#ramo	2	Undirected
42	#euse	#pepe	2	Undirected
45	#nico	#teod	2	Undirected
54	#ramo	#mart	2	Undirected
53	#teod	#pepe	2	Undirected
47	#nico	#mart	2	Undirected
52	#teod	#mart	2	Undirected
31	#feli	#nico	2	Undirected
30	#feli	#euse	2	Undirected
18	#eufe	#pepe	2	Undirected
7	#ange	#mart	2	Undirected
17	#eufe	#mart	2	Undirected
8	#ange	#pepe	2	Undirected
21	#joaq	#feli	2	Undirected
12	#eufe	#feli	2	Undirected
26	#joaq	#mart	2	Undirected
24	#joaq	#teod	2	Undirected
5	#ange	#teod	2	Undirected
27	#joaq	#pepe	2	Undirected
2	#ange	#feli	2	Undirected
15	#eufe	#teod	2	Undirected
56	#ramo	#hima	1	Undirected
57	#ramo	#hime	1	Undirected
9	#ange	#hima	1	Undirected
10	#ange	#hime	1	Undirected
50	#nico	#hime	1	Undirected
49	#nico	#hima	1	Undirected
29	#joaq	#hime	1	Undirected
28	#joaq	#hima	1	Undirected
44	#euse	#hime	1	Undirected
43	#euse	#hima	1	Undirected
19	#eufe	#hima	1	Undirected
20	#eufe	#hime	1	Undirected
37	#feli	#hime	1	Undirected
36	#feli	#hima	1	Undirected
35	#feli	#pepe	1	Undirected
34	#feli	#mart	1	Undirected
32	#feli	#teod	1	Undirected
59	#hima	#hime	1	Undirected
