	Source	Target	Weight	Type
408	scene_23	scene_24	5	Undirected
418	scene_23	scene_34	5	Undirected
153	scene_7	scene_14	5	Undirected
173	scene_7	scene_34	5	Undirected
428	scene_24	scene_34	5	Undirected
162	scene_7	scene_23	5	Undirected
163	scene_7	scene_24	5	Undirected
303	scene_14	scene_34	4	Undirected
34	scene_2	scene_23	4	Undirected
292	scene_14	scene_23	4	Undirected
148	scene_7	scene_9	4	Undirected
293	scene_14	scene_24	4	Undirected
156	scene_7	scene_17	4	Undirected
42	scene_2	scene_34	4	Undirected
35	scene_2	scene_24	4	Undirected
20	scene_2	scene_7	4	Undirected
92	scene_5	scene_7	4	Undirected
193	scene_9	scene_17	4	Undirected
110	scene_5	scene_25	3	Undirected
286	scene_14	scene_17	3	Undirected
119	scene_5	scene_34	3	Undirected
289	scene_14	scene_20	3	Undirected
290	scene_14	scene_21	3	Undirected
291	scene_14	scene_22	3	Undirected
332	scene_17	scene_25	3	Undirected
83	scene_4	scene_25	3	Undirected
331	scene_17	scene_24	3	Undirected
330	scene_17	scene_23	3	Undirected
99	scene_5	scene_14	3	Undirected
102	scene_5	scene_17	3	Undirected
109	scene_5	scene_24	3	Undirected
320	scene_16	scene_24	3	Undirected
108	scene_5	scene_23	3	Undirected
297	scene_14	scene_28	3	Undirected
319	scene_16	scene_23	3	Undirected
298	scene_14	scene_29	3	Undirected
299	scene_14	scene_30	3	Undirected
315	scene_16	scene_17	3	Undirected
190	scene_9	scene_14	3	Undirected
302	scene_14	scene_33	3	Undirected
324	scene_16	scene_34	3	Undirected
94	scene_5	scene_9	3	Undirected
262	scene_12	scene_34	3	Undirected
219	scene_10	scene_24	3	Undirected
192	scene_9	scene_16	3	Undirected
199	scene_9	scene_23	3	Undirected
200	scene_9	scene_24	3	Undirected
201	scene_9	scene_25	3	Undirected
208	scene_9	scene_34	3	Undirected
213	scene_10	scene_16	3	Undirected
172	scene_7	scene_33	3	Undirected
214	scene_10	scene_17	3	Undirected
218	scene_10	scene_23	3	Undirected
169	scene_7	scene_30	3	Undirected
168	scene_7	scene_29	3	Undirected
167	scene_7	scene_28	3	Undirected
164	scene_7	scene_25	3	Undirected
252	scene_12	scene_24	3	Undirected
161	scene_7	scene_22	3	Undirected
160	scene_7	scene_21	3	Undirected
159	scene_7	scene_20	3	Undirected
223	scene_10	scene_34	3	Undirected
155	scene_7	scene_16	3	Undirected
151	scene_7	scene_12	3	Undirected
149	scene_7	scene_10	3	Undirected
242	scene_12	scene_14	3	Undirected
75	scene_4	scene_17	3	Undirected
249	scene_12	scene_21	3	Undirected
250	scene_12	scene_22	3	Undirected
251	scene_12	scene_23	3	Undirected
339	scene_17	scene_34	3	Undirected
187	scene_9	scene_10	3	Undirected
384	scene_21	scene_23	3	Undirected
26	scene_2	scene_14	3	Undirected
376	scene_20	scene_28	3	Undirected
450	scene_28	scene_30	3	Undirected
29	scene_2	scene_17	3	Undirected
28	scene_2	scene_16	3	Undirected
378	scene_20	scene_30	3	Undirected
381	scene_20	scene_33	3	Undirected
383	scene_21	scene_22	3	Undirected
64	scene_4	scene_5	3	Undirected
397	scene_22	scene_24	3	Undirected
385	scene_21	scene_24	3	Undirected
396	scene_22	scene_23	3	Undirected
395	scene_21	scene_34	3	Undirected
21	scene_2	scene_9	3	Undirected
22	scene_2	scene_10	3	Undirected
453	scene_28	scene_33	3	Undirected
10	scene_1	scene_16	3	Undirected
66	scene_4	scene_7	3	Undirected
460	scene_30	scene_33	3	Undirected
68	scene_4	scene_9	3	Undirected
