	Source	Target	Weight	Type
551	scene_17	scene_32	4	Undirected
241	scene_7	scene_31	4	Undirected
161	scene_5	scene_16	4	Undirected
447	scene_14	scene_17	4	Undirected
85	scene_3	scene_16	3	Undirected
519	scene_16	scene_32	3	Undirected
228	scene_7	scene_17	3	Undirected
443	scene_13	scene_50	3	Undirected
531	scene_16	scene_46	3	Undirected
240	scene_7	scene_30	3	Undirected
856	scene_32	scene_51	3	Undirected
811	scene_30	scene_31	3	Undirected
540	scene_17	scene_21	3	Undirected
543	scene_17	scene_24	3	Undirected
699	scene_24	scene_32	3	Undirected
549	scene_17	scene_30	3	Undirected
550	scene_17	scene_31	3	Undirected
427	scene_13	scene_32	3	Undirected
242	scene_7	scene_32	3	Undirected
812	scene_30	scene_32	3	Undirected
452	scene_14	scene_24	3	Undirected
715	scene_24	scene_50	3	Undirected
508	scene_16	scene_21	3	Undirected
506	scene_16	scene_17	3	Undirected
459	scene_14	scene_32	3	Undirected
824	scene_31	scene_32	3	Undirected
638	scene_21	scene_46	3	Undirected
187	scene_5	scene_46	3	Undirected
175	scene_5	scene_32	3	Undirected
844	scene_32	scene_39	3	Undirected
846	scene_32	scene_41	3	Undirected
164	scene_5	scene_21	3	Undirected
475	scene_14	scene_50	3	Undirected
162	scene_5	scene_17	3	Undirected
855	scene_32	scene_50	3	Undirected
944	scene_42	scene_50	3	Undirected
77	scene_3	scene_5	3	Undirected
567	scene_17	scene_50	3	Undirected
412	scene_13	scene_14	3	Undirected
568	scene_17	scene_51	3	Undirected
280	scene_9	scene_17	3	Undirected
564	scene_17	scene_47	3	Undirected
563	scene_17	scene_46	3	Undirected
415	scene_13	scene_17	3	Undirected
420	scene_13	scene_24	3	Undirected
394	scene_12	scene_32	2	Undirected
464	scene_14	scene_39	2	Undirected
318	scene_10	scene_17	2	Undirected
426	scene_13	scene_31	2	Undirected
193	scene_6	scene_7	2	Undirected
191	scene_5	scene_50	2	Undirected
189	scene_5	scene_48	2	Undirected
188	scene_5	scene_47	2	Undirected
467	scene_14	scene_42	2	Undirected
831	scene_31	scene_41	2	Undirected
823	scene_30	scene_51	2	Undirected
199	scene_6	scene_17	2	Undirected
411	scene_12	scene_51	2	Undirected
469	scene_14	scene_44	2	Undirected
822	scene_30	scene_50	2	Undirected
458	scene_14	scene_31	2	Undirected
457	scene_14	scene_30	2	Undirected
639	scene_21	scene_47	2	Undirected
762	scene_26	scene_50	2	Undirected
208	scene_6	scene_30	2	Undirected
209	scene_6	scene_31	2	Undirected
210	scene_6	scene_32	2	Undirected
732	scene_25	scene_44	2	Undirected
689	scene_23	scene_48	2	Undirected
