	Source	Target	Weight	Type
2	#plac	#blan	14	Undirected
1	#plac	#jose	13	Undirected
22	#jose	#blan	9	Undirected
0	#plac	#marq	8	Undirected
5	#plac	#javi	8	Undirected
12	#marq	#jose	8	Undirected
3	#plac	#clau	7	Undirected
4	#plac	#toma	5	Undirected
33	#blan	#javi	5	Undirected
13	#marq	#blan	5	Undirected
7	#plac	#basi	4	Undirected
23	#jose	#clau	4	Undirected
16	#marq	#javi	3	Undirected
31	#blan	#clau	3	Undirected
24	#jose	#toma	3	Undirected
17	#marq	#romu	3	Undirected
39	#clau	#javi	3	Undirected
6	#plac	#romu	3	Undirected
15	#marq	#toma	2	Undirected
9	#plac	#anse	2	Undirected
36	#blan	#anse	2	Undirected
32	#blan	#toma	2	Undirected
28	#jose	#anse	2	Undirected
27	#jose	#basi	2	Undirected
14	#marq	#clau	2	Undirected
19	#marq	#deme	2	Undirected
49	#anse	#pad1	1	Undirected
44	#javi	#pad1	1	Undirected
48	#romu	#pad2	1	Undirected
47	#romu	#pad1	1	Undirected
43	#javi	#anse	1	Undirected
42	#javi	#romu	1	Undirected
50	#anse	#pad2	1	Undirected
45	#javi	#pad2	1	Undirected
46	#romu	#anse	1	Undirected
41	#toma	#lesm	1	Undirected
40	#toma	#javi	1	Undirected
38	#blan	#pad2	1	Undirected
26	#jose	#romu	1	Undirected
37	#blan	#pad1	1	Undirected
35	#blan	#basi	1	Undirected
34	#blan	#romu	1	Undirected
30	#jose	#pad2	1	Undirected
29	#jose	#pad1	1	Undirected
25	#jose	#javi	1	Undirected
21	#marq	#pad2	1	Undirected
20	#marq	#pad1	1	Undirected
18	#marq	#anse	1	Undirected
11	#plac	#pad2	1	Undirected
10	#plac	#pad1	1	Undirected
8	#plac	#lesm	1	Undirected
51	#pad1	#pad2	1	Undirected
