	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	scene_28	scene_29	scene_30	scene_31	scene_32	scene_33	scene_34	scene_35	scene_36	scene_37	scene_38	scene_39	scene_40	scene_41	scene_42	scene_43	scene_44	scene_45	scene_46	scene_47	scene_48	scene_49	scene_50	scene_51
#plac	1	15	33	17	13	0	0	0	22	26	9	23	4	8	14	19	9	0	0	12	22	6	14	6	32	6	29	3	0	0	0	6	0	0	20	1	10	22	3	0	0	3	43	12	23	4	1	22	5	7	5
#marq	0	0	0	0	0	22	10	25	24	0	0	0	0	0	0	0	11	11	15	13	0	0	0	0	0	0	0	2	6	13	4	4	0	0	0	0	0	0	0	0	4	0	0	0	22	0	3	0	0	0	3
#jose	0	0	0	0	0	23	5	0	0	0	0	23	6	14	0	0	4	0	0	0	0	0	0	14	32	5	0	0	0	12	4	2	0	0	0	0	0	0	2	19	3	2	0	11	0	0	0	0	0	3	3
#blan	0	0	0	17	30	0	10	0	0	0	0	0	9	5	14	3	3	0	0	0	19	0	13	12	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	23	0	9	0
#clau	0	0	30	0	11	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	4	0	0	0	0	0	22	1	19	7	0	0	0	0	0	0	0	0	0	0
#toma	0	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	0	0	0	6	0	0	0	0	4	0	3	15	20	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#javi	0	0	32	0	19	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	6	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0
#romu	0	0	0	0	0	0	0	23	4	27	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#basi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	43	0	0	0	0	0	5	1	0
#lesm	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#anse	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#deme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pad1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pad2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#cri1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#cri2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
