	id	label	description
0	#blan	Blanca	 
1	#jose	Josefina	Hija del Marqués
2	#plac	Plácido	
3	#marq	de Retamosa del Valle	Don Cipriano. De unos cuarenta y cinco o cincuenta años.
4	#clau	Claudio	
5	#romu	Don Romualdo	
6	#anse	Don Anselmo	
7	#javi	Javier	
8	#basi	Basilio	
9	#toma	Tomás	Criado de confianza del Marqués, de poco más de cuarenta años.
10	#pad1	Padrino 1º 	
11	#pad2	Padrino 2º	
12	#lesm	Tío Lesmes	
13	#deme	Demetrio	Mayordomo de la casa ya viejo.
14	#cri1	Criado 1º 	
15	#cri2	Criado 2º	
