	id	type
0	scene_1	scene
1	scene_2	scene
2	scene_3	scene
3	scene_4	scene
4	scene_5	scene
5	scene_6	scene
6	scene_7	scene
7	scene_8	scene
8	scene_9	scene
9	scene_10	scene
10	scene_11	scene
11	scene_12	scene
12	scene_13	scene
13	scene_14	scene
14	scene_15	scene
15	scene_16	scene
16	scene_17	scene
17	scene_18	scene
18	scene_19	scene
19	scene_20	scene
20	scene_21	scene
21	scene_22	scene
22	scene_23	scene
23	scene_24	scene
24	scene_25	scene
25	scene_26	scene
26	scene_27	scene
27	scene_28	scene
28	scene_29	scene
29	scene_30	scene
30	scene_31	scene
31	scene_32	scene
32	scene_33	scene
33	scene_34	scene
34	scene_35	scene
35	scene_36	scene
36	scene_37	scene
37	scene_38	scene
