	Source	Target	Weight	Type
93	scene_7	scene_26	4	Undirected
78	scene_7	scene_10	4	Undirected
131	scene_11	scene_12	4	Undirected
153	scene_12	scene_26	3	Undirected
96	scene_8	scene_11	3	Undirected
97	scene_8	scene_12	3	Undirected
185	scene_17	scene_26	3	Undirected
175	scene_16	scene_19	3	Undirected
106	scene_9	scene_10	3	Undirected
77	scene_7	scene_9	3	Undirected
111	scene_9	scene_21	3	Undirected
95	scene_8	scene_10	3	Undirected
127	scene_10	scene_26	3	Undirected
116	scene_9	scene_26	3	Undirected
117	scene_10	scene_11	3	Undirected
118	scene_10	scene_12	3	Undirected
141	scene_11	scene_26	3	Undirected
58	scene_6	scene_7	3	Undirected
122	scene_10	scene_21	3	Undirected
92	scene_7	scene_25	3	Undirected
76	scene_7	scene_8	3	Undirected
75	scene_6	scene_26	3	Undirected
74	scene_6	scene_25	3	Undirected
213	scene_25	scene_26	3	Undirected
79	scene_7	scene_11	3	Undirected
80	scene_7	scene_12	3	Undirected
88	scene_7	scene_21	3	Undirected
203	scene_21	scene_26	3	Undirected
84	scene_7	scene_17	2	Undirected
115	scene_9	scene_25	2	Undirected
114	scene_9	scene_24	2	Undirected
113	scene_9	scene_23	2	Undirected
94	scene_8	scene_9	2	Undirected
112	scene_9	scene_22	2	Undirected
108	scene_9	scene_12	2	Undirected
107	scene_9	scene_11	2	Undirected
89	scene_7	scene_22	2	Undirected
105	scene_8	scene_26	2	Undirected
90	scene_7	scene_23	2	Undirected
100	scene_8	scene_21	2	Undirected
91	scene_7	scene_24	2	Undirected
121	scene_10	scene_20	2	Undirected
99	scene_8	scene_20	2	Undirected
87	scene_7	scene_20	2	Undirected
0	scene_1	scene_2	2	Undirected
123	scene_10	scene_22	2	Undirected
200	scene_21	scene_23	2	Undirected
219	scene_28	scene_30	2	Undirected
217	scene_27	scene_30	2	Undirected
216	scene_27	scene_28	2	Undirected
212	scene_24	scene_26	2	Undirected
211	scene_24	scene_25	2	Undirected
210	scene_23	scene_26	2	Undirected
209	scene_23	scene_25	2	Undirected
208	scene_23	scene_24	2	Undirected
207	scene_22	scene_26	2	Undirected
206	scene_22	scene_25	2	Undirected
205	scene_22	scene_24	2	Undirected
204	scene_22	scene_23	2	Undirected
202	scene_21	scene_25	2	Undirected
201	scene_21	scene_24	2	Undirected
199	scene_21	scene_22	2	Undirected
124	scene_10	scene_23	2	Undirected
198	scene_20	scene_26	2	Undirected
193	scene_20	scene_21	2	Undirected
188	scene_18	scene_19	2	Undirected
184	scene_17	scene_25	2	Undirected
165	scene_14	scene_29	2	Undirected
160	scene_13	scene_29	2	Undirected
156	scene_13	scene_14	2	Undirected
148	scene_12	scene_21	2	Undirected
147	scene_12	scene_20	2	Undirected
145	scene_12	scene_14	2	Undirected
136	scene_11	scene_21	2	Undirected
135	scene_11	scene_20	2	Undirected
133	scene_11	scene_14	2	Undirected
125	scene_10	scene_24	2	Undirected
126	scene_10	scene_25	2	Undirected
110	scene_9	scene_20	2	Undirected
73	scene_6	scene_24	2	Undirected
72	scene_6	scene_23	2	Undirected
71	scene_6	scene_22	2	Undirected
60	scene_6	scene_9	2	Undirected
70	scene_6	scene_21	2	Undirected
61	scene_6	scene_10	2	Undirected
9	scene_1	scene_28	2	Undirected
66	scene_6	scene_17	2	Undirected
176	scene_16	scene_25	1	Undirected
172	scene_15	scene_26	1	Undirected
173	scene_16	scene_17	1	Undirected
174	scene_16	scene_18	1	Undirected
25	scene_4	scene_5	1	Undirected
178	scene_17	scene_18	1	Undirected
177	scene_16	scene_26	1	Undirected
170	scene_15	scene_19	1	Undirected
179	scene_17	scene_19	1	Undirected
180	scene_17	scene_21	1	Undirected
181	scene_17	scene_22	1	Undirected
182	scene_17	scene_23	1	Undirected
183	scene_17	scene_24	1	Undirected
24	scene_3	scene_29	1	Undirected
171	scene_15	scene_25	1	Undirected
166	scene_14	scene_30	1	Undirected
169	scene_15	scene_18	1	Undirected
168	scene_15	scene_17	1	Undirected
167	scene_15	scene_16	1	Undirected
186	scene_17	scene_29	1	Undirected
26	scene_4	scene_6	1	Undirected
164	scene_14	scene_28	1	Undirected
163	scene_14	scene_26	1	Undirected
162	scene_14	scene_17	1	Undirected
161	scene_13	scene_30	1	Undirected
27	scene_4	scene_7	1	Undirected
159	scene_13	scene_28	1	Undirected
158	scene_13	scene_26	1	Undirected
157	scene_13	scene_17	1	Undirected
28	scene_4	scene_8	1	Undirected
155	scene_12	scene_30	1	Undirected
23	scene_3	scene_28	1	Undirected
189	scene_18	scene_25	1	Undirected
187	scene_17	scene_30	1	Undirected
14	scene_2	scene_13	1	Undirected
2	scene_1	scene_4	1	Undirected
218	scene_28	scene_29	1	Undirected
3	scene_1	scene_12	1	Undirected
4	scene_1	scene_13	1	Undirected
215	scene_26	scene_30	1	Undirected
214	scene_26	scene_29	1	Undirected
5	scene_1	scene_14	1	Undirected
6	scene_1	scene_18	1	Undirected
7	scene_1	scene_19	1	Undirected
8	scene_1	scene_27	1	Undirected
10	scene_1	scene_29	1	Undirected
11	scene_1	scene_30	1	Undirected
12	scene_2	scene_3	1	Undirected
13	scene_2	scene_4	1	Undirected
15	scene_2	scene_14	1	Undirected
22	scene_3	scene_14	1	Undirected
16	scene_2	scene_18	1	Undirected
17	scene_2	scene_19	1	Undirected
18	scene_2	scene_28	1	Undirected
19	scene_2	scene_29	1	Undirected
20	scene_3	scene_4	1	Undirected
197	scene_20	scene_25	1	Undirected
196	scene_20	scene_24	1	Undirected
195	scene_20	scene_23	1	Undirected
194	scene_20	scene_22	1	Undirected
21	scene_3	scene_13	1	Undirected
192	scene_19	scene_26	1	Undirected
191	scene_19	scene_25	1	Undirected
190	scene_18	scene_26	1	Undirected
29	scene_4	scene_9	1	Undirected
154	scene_12	scene_29	1	Undirected
150	scene_12	scene_23	1	Undirected
152	scene_12	scene_25	1	Undirected
101	scene_8	scene_22	1	Undirected
48	scene_5	scene_10	1	Undirected
49	scene_5	scene_11	1	Undirected
50	scene_5	scene_12	1	Undirected
51	scene_5	scene_20	1	Undirected
52	scene_5	scene_21	1	Undirected
1	scene_1	scene_3	1	Undirected
109	scene_9	scene_17	1	Undirected
53	scene_5	scene_22	1	Undirected
54	scene_5	scene_23	1	Undirected
55	scene_5	scene_24	1	Undirected
56	scene_5	scene_25	1	Undirected
104	scene_8	scene_25	1	Undirected
103	scene_8	scene_24	1	Undirected
102	scene_8	scene_23	1	Undirected
57	scene_5	scene_26	1	Undirected
46	scene_5	scene_8	1	Undirected
59	scene_6	scene_8	1	Undirected
98	scene_8	scene_14	1	Undirected
62	scene_6	scene_11	1	Undirected
63	scene_6	scene_12	1	Undirected
64	scene_6	scene_15	1	Undirected
65	scene_6	scene_16	1	Undirected
67	scene_6	scene_18	1	Undirected
68	scene_6	scene_19	1	Undirected
69	scene_6	scene_20	1	Undirected
86	scene_7	scene_19	1	Undirected
85	scene_7	scene_18	1	Undirected
83	scene_7	scene_16	1	Undirected
82	scene_7	scene_15	1	Undirected
81	scene_7	scene_14	1	Undirected
47	scene_5	scene_9	1	Undirected
45	scene_5	scene_7	1	Undirected
151	scene_12	scene_24	1	Undirected
35	scene_4	scene_20	1	Undirected
149	scene_12	scene_22	1	Undirected
30	scene_4	scene_10	1	Undirected
31	scene_4	scene_11	1	Undirected
146	scene_12	scene_17	1	Undirected
32	scene_4	scene_12	1	Undirected
144	scene_12	scene_13	1	Undirected
143	scene_11	scene_30	1	Undirected
142	scene_11	scene_29	1	Undirected
33	scene_4	scene_13	1	Undirected
140	scene_11	scene_25	1	Undirected
139	scene_11	scene_24	1	Undirected
138	scene_11	scene_23	1	Undirected
137	scene_11	scene_22	1	Undirected
34	scene_4	scene_14	1	Undirected
134	scene_11	scene_17	1	Undirected
119	scene_10	scene_14	1	Undirected
36	scene_4	scene_21	1	Undirected
