	Source	Target	Weight	Type
2	#isma	#rosa	10	Undirected
4	#isma	#zeno	9	Undirected
23	#rosa	#zeno	5	Undirected
33	#zeno	#roge	5	Undirected
5	#isma	#roge	5	Undirected
22	#rosa	#alfo	5	Undirected
3	#isma	#alfo	4	Undirected
9	#juan	#casa	3	Undirected
42	#mart	#cebr	3	Undirected
1	#isma	#casa	3	Undirected
18	#casa	#roge	3	Undirected
17	#casa	#zeno	3	Undirected
30	#alfo	#mari	2	Undirected
28	#alfo	#insu	2	Undirected
27	#alfo	#zeno	2	Undirected
24	#rosa	#roge	2	Undirected
16	#casa	#alfo	2	Undirected
15	#casa	#rosa	2	Undirected
12	#juan	#mart	2	Undirected
10	#juan	#insu	2	Undirected
44	#mari	#beat	2	Undirected
31	#alfo	#beat	2	Undirected
40	#roge	#cebr	1	Undirected
39	#insu	#beat	1	Undirected
38	#insu	#mari	1	Undirected
37	#insu	#pepa	1	Undirected
41	#roge	#pepa	1	Undirected
36	#insu	#mart	1	Undirected
35	#zeno	#pepa	1	Undirected
43	#mart	#pepa	1	Undirected
34	#zeno	#cebr	1	Undirected
45	#mari	#inst	1	Undirected
0	#isma	#juan	1	Undirected
32	#alfo	#inst	1	Undirected
29	#alfo	#roge	1	Undirected
26	#rosa	#seve	1	Undirected
25	#rosa	#cebr	1	Undirected
21	#casa	#pepa	1	Undirected
20	#casa	#cebr	1	Undirected
19	#casa	#mart	1	Undirected
14	#juan	#pepa	1	Undirected
13	#juan	#cebr	1	Undirected
11	#juan	#roge	1	Undirected
8	#isma	#seve	1	Undirected
7	#isma	#pepa	1	Undirected
6	#isma	#cebr	1	Undirected
46	#beat	#inst	1	Undirected
