	id	label	description
0	#casa	Casandra	(25 años) 
1	#juan	Dña. Juana	(70 años).
2	#rosa	Rosaura	(37 años).
3	#mari	María Juana	(17 años).
4	#beat	Beatriz	(16 años).
5	#pepa	Pepa	criada joven, (servicio de Dña. Juana)
6	#mart	Martina	criada madura, (ídem éd.).
7	#seve	Severiana	criada de Rosaura.
8	#inst	La Institutriz	
9	#alfo	Alfonso de la Cerda	(40 años).
10	#isma	Ismael	(40 años).
11	#zeno	Zenón de Guillarte	(40 años).
12	#roge	Rogelio	(26 años).
13	#insu	Insúa	(60 años).
14	#cebr	Cebrián	(60 años).
15	#nino	Dos niños pequeños	hijos de Rosaura 
