	Source	Target	Weight	Type
215	scene_7	scene_54	6	Undirected
907	scene_29	scene_31	5	Undirected
208	scene_7	scene_47	5	Undirected
175	scene_7	scene_14	5	Undirected
190	scene_7	scene_29	5	Undirected
192	scene_7	scene_31	5	Undirected
981	scene_31	scene_54	5	Undirected
974	scene_31	scene_47	5	Undirected
490	scene_14	scene_54	5	Undirected
1294	scene_47	scene_54	5	Undirected
928	scene_29	scene_54	5	Undirected
921	scene_29	scene_47	5	Undirected
1209	scene_41	scene_64	4	Undirected
146	scene_6	scene_30	4	Undirected
145	scene_6	scene_29	4	Undirected
143	scene_6	scene_27	4	Undirected
133	scene_6	scene_14	4	Undirected
467	scene_14	scene_30	4	Undirected
127	scene_6	scene_7	4	Undirected
953	scene_30	scene_54	4	Undirected
444	scene_13	scene_54	4	Undirected
464	scene_14	scene_27	4	Undirected
925	scene_29	scene_51	4	Undirected
457	scene_14	scene_17	4	Undirected
147	scene_6	scene_31	4	Undirected
939	scene_30	scene_31	4	Undirected
946	scene_30	scene_47	4	Undirected
1201	scene_41	scene_54	4	Undirected
466	scene_14	scene_29	4	Undirected
872	scene_28	scene_29	4	Undirected
154	scene_6	scene_47	4	Undirected
161	scene_6	scene_54	4	Undirected
591	scene_17	scene_54	4	Undirected
594	scene_17	scene_57	4	Undirected
225	scene_7	scene_64	4	Undirected
219	scene_7	scene_58	4	Undirected
218	scene_7	scene_57	4	Undirected
608	scene_18	scene_29	4	Undirected
202	scene_7	scene_41	4	Undirected
610	scene_18	scene_31	4	Undirected
494	scene_14	scene_58	4	Undirected
493	scene_14	scene_57	4	Undirected
191	scene_7	scene_30	4	Undirected
189	scene_7	scene_28	4	Undirected
188	scene_7	scene_27	4	Undirected
624	scene_18	scene_47	4	Undirected
179	scene_7	scene_18	4	Undirected
178	scene_7	scene_17	4	Undirected
174	scene_7	scene_13	4	Undirected
630	scene_18	scene_54	4	Undirected
906	scene_29	scene_30	4	Undirected
483	scene_14	scene_47	4	Undirected
468	scene_14	scene_31	4	Undirected
874	scene_28	scene_31	4	Undirected
864	scene_27	scene_54	4	Undirected
1370	scene_54	scene_64	4	Undirected
1364	scene_54	scene_58	4	Undirected
1363	scene_54	scene_57	4	Undirected
895	scene_28	scene_54	4	Undirected
848	scene_27	scene_29	4	Undirected
849	scene_27	scene_30	4	Undirected
850	scene_27	scene_31	4	Undirected
857	scene_27	scene_47	4	Undirected
1169	scene_40	scene_42	4	Undirected
888	scene_28	scene_47	4	Undirected
410	scene_13	scene_18	3	Undirected
305	scene_10	scene_28	3	Undirected
165	scene_6	scene_58	3	Undirected
212	scene_7	scene_51	3	Undirected
164	scene_6	scene_57	3	Undirected
497	scene_14	scene_64	3	Undirected
306	scene_10	scene_29	3	Undirected
1274	scene_46	scene_47	3	Undirected
409	scene_13	scene_17	3	Undirected
1171	scene_40	scene_44	3	Undirected
308	scene_10	scene_31	3	Undirected
158	scene_6	scene_51	3	Undirected
1180	scene_40	scene_54	3	Undirected
508	scene_15	scene_29	3	Undirected
478	scene_14	scene_41	3	Undirected
1297	scene_47	scene_57	3	Undirected
609	scene_18	scene_30	3	Undirected
1298	scene_47	scene_58	3	Undirected
1211	scene_42	scene_44	3	Undirected
1028	scene_33	scene_42	3	Undirected
604	scene_18	scene_25	3	Undirected
585	scene_17	scene_47	3	Undirected
144	scene_6	scene_28	3	Undirected
833	scene_26	scene_47	3	Undirected
142	scene_6	scene_26	3	Undirected
1126	scene_38	scene_40	3	Undirected
1026	scene_33	scene_40	3	Undirected
316	scene_10	scene_41	3	Undirected
1024	scene_33	scene_38	3	Undirected
137	scene_6	scene_18	3	Undirected
136	scene_6	scene_17	3	Undirected
1291	scene_47	scene_51	3	Undirected
205	scene_7	scene_44	3	Undirected
840	scene_26	scene_54	3	Undirected
633	scene_18	scene_57	3	Undirected
203	scene_7	scene_42	3	Undirected
873	scene_28	scene_30	3	Undirected
201	scene_7	scene_40	3	Undirected
207	scene_7	scene_46	3	Undirected
1228	scene_42	scene_64	3	Undirected
1387	scene_58	scene_64	3	Undirected
1278	scene_46	scene_54	3	Undirected
861	scene_27	scene_51	3	Undirected
607	scene_18	scene_28	3	Undirected
210	scene_7	scene_49	3	Undirected
847	scene_27	scene_28	3	Undirected
595	scene_17	scene_58	3	Undirected
187	scene_7	scene_26	3	Undirected
186	scene_7	scene_25	3	Undirected
487	scene_14	scene_51	3	Undirected
1220	scene_42	scene_54	3	Undirected
623	scene_18	scene_46	3	Undirected
882	scene_28	scene_41	3	Undirected
1289	scene_47	scene_49	3	Undirected
626	scene_18	scene_49	3	Undirected
606	scene_18	scene_27	3	Undirected
1379	scene_57	scene_58	3	Undirected
1168	scene_40	scene_41	3	Undirected
177	scene_7	scene_16	3	Undirected
867	scene_27	scene_57	3	Undirected
1304	scene_47	scene_64	3	Undirected
406	scene_13	scene_14	3	Undirected
1275	scene_46	scene_49	3	Undirected
171	scene_7	scene_10	3	Undirected
868	scene_27	scene_58	3	Undirected
810	scene_25	scene_47	3	Undirected
1128	scene_38	scene_42	3	Undirected
556	scene_16	scene_57	3	Undirected
448	scene_13	scene_58	3	Undirected
968	scene_31	scene_41	3	Undirected
447	scene_13	scene_57	3	Undirected
418	scene_13	scene_28	3	Undirected
957	scene_30	scene_58	3	Undirected
956	scene_30	scene_57	3	Undirected
566	scene_17	scene_27	3	Undirected
1259	scene_44	scene_64	3	Undirected
419	scene_13	scene_29	3	Undirected
950	scene_30	scene_51	3	Undirected
1194	scene_41	scene_47	3	Undirected
437	scene_13	scene_47	3	Undirected
553	scene_16	scene_54	3	Undirected
1340	scene_51	scene_54	3	Undirected
434	scene_13	scene_44	3	Undirected
560	scene_17	scene_18	3	Undirected
938	scene_29	scene_64	3	Undirected
1191	scene_41	scene_44	3	Undirected
932	scene_29	scene_58	3	Undirected
931	scene_29	scene_57	3	Undirected
915	scene_29	scene_41	3	Undirected
421	scene_13	scene_31	3	Undirected
816	scene_25	scene_54	3	Undirected
432	scene_13	scene_42	3	Undirected
923	scene_29	scene_49	3	Undirected
430	scene_13	scene_40	3	Undirected
1189	scene_41	scene_42	3	Undirected
431	scene_13	scene_41	3	Undirected
1188	scene_40	scene_64	3	Undirected
522	scene_16	scene_17	3	Undirected
973	scene_31	scene_46	3	Undirected
568	scene_17	scene_29	3	Undirected
465	scene_14	scene_28	3	Undirected
458	scene_14	scene_18	3	Undirected
796	scene_25	scene_31	3	Undirected
242	scene_8	scene_30	3	Undirected
328	scene_10	scene_54	3	Undirected
463	scene_14	scene_26	3	Undirected
899	scene_28	scene_58	3	Undirected
828	scene_26	scene_29	3	Undirected
976	scene_31	scene_49	3	Undirected
829	scene_26	scene_30	3	Undirected
830	scene_26	scene_31	3	Undirected
322	scene_10	scene_47	3	Undirected
532	scene_16	scene_30	3	Undirected
905	scene_28	scene_64	3	Undirected
1251	scene_44	scene_54	3	Undirected
826	scene_26	scene_27	3	Undirected
920	scene_29	scene_46	3	Undirected
456	scene_14	scene_16	3	Undirected
991	scene_31	scene_64	3	Undirected
570	scene_17	scene_31	3	Undirected
1317	scene_49	scene_51	3	Undirected
794	scene_25	scene_29	3	Undirected
454	scene_13	scene_64	3	Undirected
1319	scene_49	scene_54	3	Undirected
985	scene_31	scene_58	3	Undirected
984	scene_31	scene_57	3	Undirected
1203	scene_41	scene_58	3	Undirected
569	scene_17	scene_30	3	Undirected
978	scene_31	scene_51	3	Undirected
336	scene_10	scene_64	3	Undirected
531	scene_16	scene_29	2	Undirected
1108	scene_37	scene_44	2	Undirected
529	scene_16	scene_27	2	Undirected
517	scene_15	scene_54	2	Undirected
500	scene_15	scene_18	2	Undirected
509	scene_15	scene_30	2	Undirected
519	scene_15	scene_56	2	Undirected
499	scene_15	scene_17	2	Undirected
512	scene_15	scene_47	2	Undirected
520	scene_15	scene_57	2	Undirected
1116	scene_37	scene_54	2	Undirected
510	scene_15	scene_31	2	Undirected
515	scene_15	scene_51	2	Undirected
