	Source	Target	Weight	Type
2	#elec	#marq	17	Undirected
35	#evar	#urba	17	Undirected
29	#marq	#urba	17	Undirected
28	#marq	#evar	15	Undirected
22	#pant	#evar	15	Undirected
21	#pant	#marq	15	Undirected
0	#elec	#maxi	14	Undirected
12	#maxi	#marq	13	Undirected
1	#elec	#pant	12	Undirected
23	#pant	#urba	11	Undirected
3	#elec	#evar	10	Undirected
4	#elec	#urba	9	Undirected
13	#maxi	#evar	9	Undirected
11	#maxi	#pant	7	Undirected
14	#maxi	#urba	6	Undirected
18	#maxi	#mari	4	Undirected
8	#elec	#mari	4	Undirected
5	#elec	#patr	4	Undirected
6	#elec	#doro	3	Undirected
43	#urba	#balb	3	Undirected
42	#urba	#jose	3	Undirected
38	#evar	#jose	3	Undirected
34	#marq	#mari	2	Undirected
33	#marq	#balb	2	Undirected
32	#marq	#jose	2	Undirected
37	#evar	#doro	2	Undirected
30	#marq	#patr	2	Undirected
27	#pant	#balb	2	Undirected
19	#maxi	#gil_	2	Undirected
26	#pant	#jose	2	Undirected
39	#evar	#balb	2	Undirected
40	#urba	#patr	2	Undirected
20	#maxi	#oper	2	Undirected
44	#patr	#balb	1	Undirected
36	#evar	#patr	1	Undirected
41	#urba	#doro	1	Undirected
10	#elec	#oper	1	Undirected
31	#marq	#doro	1	Undirected
25	#pant	#doro	1	Undirected
24	#pant	#patr	1	Undirected
7	#elec	#balb	1	Undirected
17	#maxi	#jose	1	Undirected
16	#maxi	#doro	1	Undirected
15	#maxi	#patr	1	Undirected
9	#elec	#gil_	1	Undirected
45	#mari	#gil_	1	Undirected
