	id	label	description
0	#elec	Electra	(18 años.) 
1	#evar	Evarista	(50 años), esposa de don Urbano. 
2	#maxi	Máximo	(35 años.) 
3	#pant	Don Salvador Pantoja	(50 años.) 
4	#marq	El Marqués de Ronda	(58 años.) 
5	#cuest	Don Leonardo Cuesta,	agente de Bolsa (50 años.). 
6	#urba	Don Urbano García Yuste	(55 años.) 
7	#mari	Mariano,	auxiliar de laboratorio. 
8	#gil_	Gil,	calculista. 
9	#balb	Balbina,	criada vieja. 
10	#patr	Patros,	criada joven. 
11	#jose	José,	criado viejo. 
12	#doro	Sor Dorotea. 	
13	#oper	Un operario. 	
14	#eleu	La sombra de Eleuteria.	
