	Source	Target	Weight	Type
65	scene_3	scene_14	3	Undirected
406	scene_35	scene_36	2	Undirected
79	scene_3	scene_32	2	Undirected
292	scene_15	scene_36	2	Undirected
135	scene_7	scene_8	2	Undirected
130	scene_6	scene_21	2	Undirected
315	scene_18	scene_24	2	Undirected
224	scene_11	scene_29	2	Undirected
93	scene_4	scene_14	2	Undirected
91	scene_4	scene_12	2	Undirected
90	scene_4	scene_11	2	Undirected
83	scene_3	scene_36	2	Undirected
81	scene_3	scene_34	2	Undirected
350	scene_24	scene_30	2	Undirected
288	scene_15	scene_32	2	Undirected
351	scene_24	scene_31	2	Undirected
353	scene_24	scene_33	2	Undirected
356	scene_24	scene_36	2	Undirected
68	scene_3	scene_17	2	Undirected
66	scene_3	scene_15	2	Undirected
64	scene_3	scene_13	2	Undirected
63	scene_3	scene_12	2	Undirected
62	scene_3	scene_11	2	Undirected
60	scene_3	scene_9	2	Undirected
290	scene_15	scene_34	2	Undirected
150	scene_8	scene_9	2	Undirected
55	scene_3	scene_4	2	Undirected
262	scene_14	scene_15	2	Undirected
219	scene_11	scene_23	2	Undirected
230	scene_11	scene_35	2	Undirected
231	scene_11	scene_36	2	Undirected
213	scene_11	scene_14	2	Undirected
233	scene_12	scene_14	2	Undirected
211	scene_11	scene_12	2	Undirected
200	scene_10	scene_23	2	Undirected
246	scene_13	scene_14	2	Undirected
249	scene_13	scene_17	2	Undirected
192	scene_10	scene_11	2	Undirected
179	scene_9	scene_17	2	Undirected
154	scene_8	scene_13	2	Undirected
264	scene_14	scene_17	2	Undirected
176	scene_9	scene_14	2	Undirected
175	scene_9	scene_13	2	Undirected
165	scene_8	scene_24	2	Undirected
275	scene_14	scene_32	2	Undirected
277	scene_14	scene_34	2	Undirected
159	scene_8	scene_18	2	Undirected
158	scene_8	scene_17	2	Undirected
279	scene_14	scene_36	2	Undirected
155	scene_8	scene_14	2	Undirected
59	scene_3	scene_8	2	Undirected
223	scene_11	scene_27	2	Undirected
28	scene_2	scene_3	2	Undirected
400	scene_32	scene_36	2	Undirected
8	scene_1	scene_10	2	Undirected
38	scene_2	scene_13	2	Undirected
396	scene_31	scene_36	2	Undirected
380	scene_27	scene_36	2	Undirected
39	scene_2	scene_14	2	Undirected
398	scene_32	scene_34	2	Undirected
34	scene_2	scene_9	2	Undirected
387	scene_29	scene_36	2	Undirected
42	scene_2	scene_17	2	Undirected
373	scene_27	scene_29	2	Undirected
9	scene_1	scene_11	2	Undirected
386	scene_29	scene_35	2	Undirected
17	scene_1	scene_23	2	Undirected
405	scene_34	scene_36	2	Undirected
379	scene_27	scene_35	2	Undirected
403	scene_33	scene_36	2	Undirected
33	scene_2	scene_8	2	Undirected
393	scene_31	scene_33	2	Undirected
273	scene_14	scene_29	1	Undirected
395	scene_31	scene_35	1	Undirected
394	scene_31	scene_34	1	Undirected
272	scene_14	scene_27	1	Undirected
269	scene_14	scene_22	1	Undirected
265	scene_14	scene_18	1	Undirected
271	scene_14	scene_24	1	Undirected
270	scene_14	scene_23	1	Undirected
267	scene_14	scene_20	1	Undirected
268	scene_14	scene_21	1	Undirected
266	scene_14	scene_19	1	Undirected
391	scene_30	scene_36	1	Undirected
274	scene_14	scene_31	1	Undirected
283	scene_15	scene_19	1	Undirected
289	scene_15	scene_33	1	Undirected
384	scene_29	scene_33	1	Undirected
287	scene_15	scene_31	1	Undirected
286	scene_15	scene_29	1	Undirected
285	scene_15	scene_27	1	Undirected
284	scene_15	scene_24	1	Undirected
385	scene_29	scene_34	1	Undirected
282	scene_15	scene_18	1	Undirected
392	scene_31	scene_32	1	Undirected
281	scene_15	scene_17	1	Undirected
280	scene_15	scene_16	1	Undirected
388	scene_30	scene_31	1	Undirected
389	scene_30	scene_33	1	Undirected
390	scene_30	scene_35	1	Undirected
278	scene_14	scene_35	1	Undirected
276	scene_14	scene_33	1	Undirected
263	scene_14	scene_16	1	Undirected
364	scene_25	scene_36	1	Undirected
397	scene_32	scene_33	1	Undirected
401	scene_33	scene_34	1	Undirected
240	scene_12	scene_27	1	Undirected
239	scene_12	scene_23	1	Undirected
238	scene_12	scene_22	1	Undirected
237	scene_12	scene_21	1	Undirected
236	scene_12	scene_20	1	Undirected
235	scene_12	scene_17	1	Undirected
234	scene_12	scene_15	1	Undirected
402	scene_33	scene_35	1	Undirected
261	scene_13	scene_36	1	Undirected
232	scene_12	scene_13	1	Undirected
404	scene_34	scene_35	1	Undirected
229	scene_11	scene_34	1	Undirected
228	scene_11	scene_33	1	Undirected
227	scene_11	scene_32	1	Undirected
226	scene_11	scene_31	1	Undirected
225	scene_11	scene_30	1	Undirected
241	scene_12	scene_29	1	Undirected
242	scene_12	scene_32	1	Undirected
243	scene_12	scene_34	1	Undirected
244	scene_12	scene_35	1	Undirected
260	scene_13	scene_34	1	Undirected
259	scene_13	scene_33	1	Undirected
258	scene_13	scene_32	1	Undirected
383	scene_29	scene_32	1	Undirected
256	scene_13	scene_24	1	Undirected
255	scene_13	scene_23	1	Undirected
254	scene_13	scene_22	1	Undirected
253	scene_13	scene_21	1	Undirected
252	scene_13	scene_20	1	Undirected
251	scene_13	scene_19	1	Undirected
250	scene_13	scene_18	1	Undirected
399	scene_32	scene_35	1	Undirected
248	scene_13	scene_16	1	Undirected
247	scene_13	scene_15	1	Undirected
245	scene_12	scene_36	1	Undirected
257	scene_13	scene_31	1	Undirected
295	scene_16	scene_19	1	Undirected
291	scene_15	scene_35	1	Undirected
333	scene_21	scene_26	1	Undirected
348	scene_24	scene_27	1	Undirected
347	scene_24	scene_26	1	Undirected
346	scene_24	scene_25	1	Undirected
376	scene_27	scene_32	1	Undirected
345	scene_23	scene_36	1	Undirected
377	scene_27	scene_33	1	Undirected
344	scene_23	scene_35	1	Undirected
343	scene_23	scene_33	1	Undirected
342	scene_23	scene_31	1	Undirected
341	scene_23	scene_30	1	Undirected
340	scene_23	scene_29	1	Undirected
339	scene_23	scene_27	1	Undirected
378	scene_27	scene_34	1	Undirected
338	scene_23	scene_26	1	Undirected
337	scene_23	scene_25	1	Undirected
336	scene_23	scene_24	1	Undirected
335	scene_22	scene_23	1	Undirected
349	scene_24	scene_29	1	Undirected
375	scene_27	scene_31	1	Undirected
352	scene_24	scene_32	1	Undirected
358	scene_25	scene_27	1	Undirected
362	scene_25	scene_33	1	Undirected
365	scene_26	scene_27	1	Undirected
361	scene_25	scene_31	1	Undirected
360	scene_25	scene_30	1	Undirected
359	scene_25	scene_29	1	Undirected
366	scene_26	scene_28	1	Undirected
367	scene_26	scene_29	1	Undirected
368	scene_26	scene_30	1	Undirected
374	scene_27	scene_30	1	Undirected
369	scene_26	scene_31	1	Undirected
370	scene_26	scene_33	1	Undirected
371	scene_26	scene_35	1	Undirected
372	scene_26	scene_36	1	Undirected
357	scene_25	scene_26	1	Undirected
355	scene_24	scene_35	1	Undirected
354	scene_24	scene_34	1	Undirected
334	scene_21	scene_28	1	Undirected
332	scene_21	scene_23	1	Undirected
293	scene_16	scene_17	1	Undirected
331	scene_21	scene_22	1	Undirected
308	scene_17	scene_24	1	Undirected
307	scene_17	scene_23	1	Undirected
306	scene_17	scene_22	1	Undirected
305	scene_17	scene_21	1	Undirected
304	scene_17	scene_20	1	Undirected
303	scene_17	scene_19	1	Undirected
302	scene_17	scene_18	1	Undirected
381	scene_29	scene_30	1	Undirected
301	scene_16	scene_36	1	Undirected
300	scene_16	scene_34	1	Undirected
299	scene_16	scene_33	1	Undirected
298	scene_16	scene_32	1	Undirected
382	scene_29	scene_31	1	Undirected
297	scene_16	scene_31	1	Undirected
296	scene_16	scene_24	1	Undirected
363	scene_25	scene_35	1	Undirected
294	scene_16	scene_18	1	Undirected
309	scene_17	scene_31	1	Undirected
310	scene_17	scene_32	1	Undirected
311	scene_17	scene_33	1	Undirected
323	scene_19	scene_31	1	Undirected
330	scene_20	scene_23	1	Undirected
329	scene_20	scene_22	1	Undirected
328	scene_20	scene_21	1	Undirected
327	scene_19	scene_36	1	Undirected
326	scene_19	scene_34	1	Undirected
325	scene_19	scene_33	1	Undirected
324	scene_19	scene_32	1	Undirected
322	scene_19	scene_24	1	Undirected
312	scene_17	scene_34	1	Undirected
321	scene_18	scene_36	1	Undirected
320	scene_18	scene_34	1	Undirected
318	scene_18	scene_32	1	Undirected
317	scene_18	scene_31	1	Undirected
316	scene_18	scene_30	1	Undirected
314	scene_18	scene_19	1	Undirected
313	scene_17	scene_36	1	Undirected
319	scene_18	scene_33	1	Undirected
0	scene_1	scene_2	1	Undirected
222	scene_11	scene_26	1	Undirected
89	scene_4	scene_10	1	Undirected
87	scene_4	scene_8	1	Undirected
86	scene_4	scene_7	1	Undirected
85	scene_4	scene_6	1	Undirected
84	scene_4	scene_5	1	Undirected
82	scene_3	scene_35	1	Undirected
80	scene_3	scene_33	1	Undirected
78	scene_3	scene_31	1	Undirected
77	scene_3	scene_29	1	Undirected
76	scene_3	scene_27	1	Undirected
75	scene_3	scene_24	1	Undirected
74	scene_3	scene_23	1	Undirected
73	scene_3	scene_22	1	Undirected
72	scene_3	scene_21	1	Undirected
71	scene_3	scene_20	1	Undirected
70	scene_3	scene_19	1	Undirected
69	scene_3	scene_18	1	Undirected
67	scene_3	scene_16	1	Undirected
61	scene_3	scene_10	1	Undirected
58	scene_3	scene_7	1	Undirected
88	scene_4	scene_9	1	Undirected
92	scene_4	scene_13	1	Undirected
56	scene_3	scene_5	1	Undirected
94	scene_4	scene_15	1	Undirected
113	scene_5	scene_13	1	Undirected
112	scene_5	scene_12	1	Undirected
111	scene_5	scene_11	1	Undirected
110	scene_5	scene_10	1	Undirected
109	scene_5	scene_9	1	Undirected
108	scene_5	scene_8	1	Undirected
107	scene_5	scene_7	1	Undirected
106	scene_5	scene_6	1	Undirected
105	scene_4	scene_36	1	Undirected
104	scene_4	scene_35	1	Undirected
103	scene_4	scene_34	1	Undirected
102	scene_4	scene_32	1	Undirected
101	scene_4	scene_29	1	Undirected
100	scene_4	scene_27	1	Undirected
99	scene_4	scene_23	1	Undirected
98	scene_4	scene_22	1	Undirected
97	scene_4	scene_21	1	Undirected
96	scene_4	scene_20	1	Undirected
