	Source	Target	Weight	Type
2	#pedr	#mar	5	Undirected
27	#tatu	#migu	4	Undirected
1	#pedr	#tatu	4	Undirected
16	#luce	#tatu	3	Undirected
26	#tatu	#mar	3	Undirected
62	#migu	#cieg	2	Undirected
29	#tatu	#cieg	2	Undirected
34	#tatu	#idio	2	Undirected
39	#tatu	#vend	2	Undirected
50	#mar	#peda	2	Undirected
53	#mar	#sere	2	Undirected
0	#pedr	#luce	2	Undirected
69	#migu	#vend	2	Undirected
78	#grit	#quin	2	Undirected
79	#grit	#milo	2	Undirected
81	#cieg	#vend	2	Undirected
97	#sere	#quin	2	Undirected
98	#sere	#milo	2	Undirected
99	#sere	#viej	2	Undirected
102	#quin	#milo	2	Undirected
77	#grit	#sere	2	Undirected
56	#mar	#viej	2	Undirected
19	#luce	#rein	2	Undirected
17	#luce	#migu	2	Undirected
4	#pedr	#peda	2	Undirected
22	#luce	#vend	1	Undirected
7	#pedr	#poca	1	Undirected
88	#rein	#poca	1	Undirected
87	#peda	#sapo	1	Undirected
86	#peda	#viej	1	Undirected
85	#peda	#idio	1	Undirected
84	#cieg	#vent	1	Undirected
83	#cieg	#par	1	Undirected
82	#cieg	#pere	1	Undirected
80	#grit	#viej	1	Undirected
90	#ludo	#idio	1	Undirected
8	#pedr	#idio	1	Undirected
9	#pedr	#sere	1	Undirected
10	#pedr	#quin	1	Undirected
76	#migu	#vent	1	Undirected
75	#migu	#chal	1	Undirected
74	#migu	#matr	1	Undirected
73	#migu	#par	1	Undirected
72	#migu	#pere	1	Undirected
71	#migu	#sold	1	Undirected
89	#rein	#chal	1	Undirected
92	#ludo	#matr	1	Undirected
91	#ludo	#sold	1	Undirected
103	#quin	#viej	1	Undirected
111	#pere	#par	1	Undirected
110	#sold	#matr	1	Undirected
109	#viej	#rapa	1	Undirected
108	#viej	#muje	1	Undirected
107	#vend	#vent	1	Undirected
106	#vend	#par	1	Undirected
105	#vend	#pere	1	Undirected
104	#milo	#viej	1	Undirected
3	#pedr	#grit	1	Undirected
11	#pedr	#milo	1	Undirected
101	#sere	#rapa	1	Undirected
100	#sere	#muje	1	Undirected
5	#pedr	#rein	1	Undirected
6	#pedr	#beni	1	Undirected
96	#idio	#sapo	1	Undirected
95	#idio	#matr	1	Undirected
94	#idio	#sold	1	Undirected
93	#beni	#beat	1	Undirected
70	#migu	#viej	1	Undirected
67	#migu	#quin	1	Undirected
68	#migu	#milo	1	Undirected
23	#luce	#beat	1	Undirected
44	#tatu	#beat	1	Undirected
43	#tatu	#matr	1	Undirected
42	#tatu	#par	1	Undirected
41	#tatu	#pere	1	Undirected
40	#tatu	#sold	1	Undirected
38	#tatu	#milo	1	Undirected
37	#tatu	#mujs	1	Undirected
36	#tatu	#quin	1	Undirected
35	#tatu	#sere	1	Undirected
18	#luce	#cieg	1	Undirected
33	#tatu	#beni	1	Undirected
32	#tatu	#ludo	1	Undirected
31	#tatu	#rein	1	Undirected
30	#tatu	#peda	1	Undirected
28	#tatu	#grit	1	Undirected
20	#luce	#beni	1	Undirected
21	#luce	#poca	1	Undirected
25	#luce	#vent	1	Undirected
24	#luce	#chal	1	Undirected
45	#tatu	#trop	1	Undirected
46	#tatu	#chal	1	Undirected
47	#tatu	#sapo	1	Undirected
58	#mar	#trop	1	Undirected
66	#migu	#sere	1	Undirected
65	#migu	#idio	1	Undirected
64	#migu	#ludo	1	Undirected
63	#migu	#rein	1	Undirected
12	#pedr	#viej	1	Undirected
61	#migu	#grit	1	Undirected
60	#mar	#sapo	1	Undirected
59	#mar	#rapa	1	Undirected
57	#mar	#muje	1	Undirected
48	#tatu	#vent	1	Undirected
13	#pedr	#beat	1	Undirected
55	#mar	#milo	1	Undirected
54	#mar	#quin	1	Undirected
14	#pedr	#trop	1	Undirected
52	#mar	#idio	1	Undirected
51	#mar	#veci	1	Undirected
15	#pedr	#sapo	1	Undirected
49	#mar	#grit	1	Undirected
112	#muje	#rapa	1	Undirected
