	id	label	description
0	#luce	Lucero	Lucero, que otras veces se llama Séptimo miau y compadre miau. Feriante 
1	#poca	Poca pena	Manceba de Lucero , madre de su hijo 
2	#rein	Juana La Reina	Hermana de Pedro Gailo, hermana de Rosa de Tatula, madre del idiota. 
3	#idio	El hijo idiota	Hijo de Juana La Reina  
4	#pedr	Pedro Gailo	Sacristán de San Clemente; Mari-Gaila, su mujer, y Simoniña, nacida de los dos.
5	#tatu	La Tatula	 Vieja mendiga 
6	#migu	Miguelín El padronés	  Mozo leñador  
7	#chal	Un chalán	 Tratante de ganado   
8	#mujs	Mujerucas que llenan los cántaros en la fuente	 Aldeanas   
9	#mar	Marica del Reino con otras mujerucas	 Hermana de Pedro Gailo, tía de Simoniña, cuñada de Mari-Gaila   
10	#peda	Un alcalde pedáneo	  Alcalde  
11	#rapa	Una rapaza.	 Rapaza   
12	#cieg	El ciego de Gondar.	    
13	#vend	El vendedor de agua de limón.	    
14	#pere	Un peregrino.	    
15	#par	La pareja de civiles.	    
16	#matr	Un matrimonio de labriegos con una hija enferma.	    
17	#vent	La ventera	    
18	#sere	Serenín de Bretal.	    
19	#viej	Una vieja en un ventano.	   La vieja del ventano 
20	#muje	Una mujer en preñez.	    
21	#veci	Otra vecina.	    
22	#sold	Un soldado con el canuto de la licencia.	    
23	#ludo	Ludovina la tabernera.	    
24	#trop	Tropas de rapaces con burlas y canciones.	    
25	#beat	Beaterío de viejas y mozas.	    
26	#beni	Benita la costurera.	    
27	#quin	Quintín pintado.	    
28	#milo	Milón de La Arnoya	    
29	#coim	Coimbra, perro sabio.	    
30	#colo	Colorín, pájaro adivino	    
31	#tras	El trasgo cabrío	    
32	#sapo	Un sapo anónimo que canta en la noche.	    
33	#grit	Final de gritos y aturujos moceriles.	    
