	Source	Target	Weight	Type
0	#max	#lati	9	Undirected
20	#max	#guar	3	Undirected
69	#lati	#clar	3	Undirected
68	#lati	#pere	3	Undirected
115	#dori	#pere	3	Undirected
46	#lati	#dori	3	Undirected
45	#lati	#pisa	3	Undirected
116	#dori	#clar	3	Undirected
242	#pere	#clar	3	Undirected
57	#lati	#port	3	Undirected
63	#lati	#guar	3	Undirected
35	#max	#voz	2	Undirected
67	#lati	#otro	2	Undirected
125	#coll	#clau	2	Undirected
58	#lati	#sere	2	Undirected
61	#lati	#grup	2	Undirected
60	#lati	#borr	2	Undirected
23	#max	#otro	2	Undirected
48	#lati	#coll	2	Undirected
54	#lati	#chic	2	Undirected
51	#lati	#clau	2	Undirected
53	#lati	#pica	2	Undirected
189	#sere	#guar	2	Undirected
91	#pisa	#pica	2	Undirected
208	#grup	#otro	2	Undirected
150	#pica	#borr	2	Undirected
207	#grup	#guar	2	Undirected
18	#max	#grup	2	Undirected
157	#chic	#borr	2	Undirected
148	#pica	#chic	2	Undirected
95	#pisa	#borr	2	Undirected
215	#guar	#otro	2	Undirected
16	#max	#sere	2	Undirected
15	#max	#port	2	Undirected
1	#max	#pisa	2	Undirected
92	#pisa	#chic	2	Undirected
191	#sere	#otro	1	Undirected
200	#sere	#veja	1	Undirected
190	#sere	#madr	1	Undirected
206	#borr	#peri	1	Undirected
205	#borr	#voz	1	Undirected
192	#sere	#pere	1	Undirected
199	#sere	#veno	1	Undirected
204	#borr	#rey	1	Undirected
193	#sere	#clar	1	Undirected
194	#sere	#empe	1	Undirected
195	#sere	#capi	1	Undirected
196	#sere	#tabe	1	Undirected
203	#poll	#peri	1	Undirected
202	#poll	#borr	1	Undirected
201	#sere	#trap	1	Undirected
198	#sere	#alba	1	Undirected
197	#sere	#reti	1	Undirected
186	#port	#trap	1	Undirected
188	#sere	#grup	1	Undirected
171	#gay	#pelo	1	Undirected
156	#chic	#poll	1	Undirected
158	#chic	#rey	1	Undirected
159	#chic	#voz	1	Undirected
160	#chic	#peri	1	Undirected
161	#dieg	#ujie	1	Undirected
162	#zara	#gay	1	Undirected
163	#zara	#chica	1	Undirected
164	#zara	#can	1	Undirected
165	#zara	#gato	1	Undirected
166	#zara	#pelo	1	Undirected
167	#zara	#loro	1	Undirected
168	#gay	#chica	1	Undirected
