	id	label	description
0	#max	Max Estrella	 
1	#coll	Madame Collet	Su mujer
2	#clau	Claudinita	Su hija
3	#lati	Don Latino de Hispalis	
4	#zara	Zaratustra	
5	#gay	Don Gay	
6	#pelo	Un pelón	
7	#chica	La chica de la portera	
8	#pica	Pica lagartos	
9	#chic	Un chico de taberna	
10	#pisa	Enriqueta la pisa bien	
11	#rey	El rey de Portugal	
12	#borr	Un borracho	
13	#dori	Dorio de Gadex	Jovenes modernistas
14	#rafa	Rafael de los Vélez	Jovenes modernistas
15	#luci	Lucio Vero	Jovenes modernistas
16	#ming	Mínguez	Jovenes modernistas
17	#galv	Gálvez	Jovenes modernistas
18	#clar	Clarinito	Jovenes modernistas
19	#pere	Pérez	Jovenes modernistas
20	#grup	Grupo de los modernistas	
21	#capi	El capitán Pitito	Capitán de los équites municipales
22	#sere	Un sereno	
23	#voz	La voz de un vecino	
24	#guar	Un guardia del orden	
25	#otro	Otro guardia del orden	
26	#sera	Serafín el bonito	
27	#cela	Un celador	
28	#pres	Un preso	
29	#cons	El conserje de la redacción	
30	#fili	Don Filiberto	Redactor jefe
31	#mini	El ministro de la gobernación	
32	#dieg	Dieguito	Secretario de su excelencia
33	#ujie	ujier	
34	#viej	Una vieja pintada	
35	#luna	La lunares	
36	#jove	Un joven desconocido	
37	#madr	La madre del niño muerto	
38	#empe	El empeñista	
39	#port	La portera	
40	#alba	Un albañil	
41	#veja	Una vieja	
42	#trap	La trapera	
43	#reti	El retirado	
44	#otra	Otra portera	
45	#veci	Una vecina	
46	#basi	Basilio Soulinake	
47	#coch	Un cochero de la funeraria	
48	#sepu	Un sepulturero	
49	#osep	Otro sepulturero	
50	#rube	Rubén Darío	
51	#marq	El marqués de Bradomín	
52	#poll	El pollo del pay-pay	
53	#peri	La periodista	
54	#veno	Un vecino	
55	#guin	Un guindilla	
56	#tabe	Un tabernero	
57	#llav	El llavero	
58	#can	can	
59	#gato	gato	
60	#loro	Un loro	
