	Source	Target	Weight	Type
50	scene_8	scene_10	3	Undirected
58	scene_11	scene_12	2	Undirected
15	scene_2	scene_8	2	Undirected
34	scene_4	scene_12	2	Undirected
33	scene_4	scene_11	2	Undirected
32	scene_4	scene_10	2	Undirected
38	scene_5	scene_10	2	Undirected
1	scene_1	scene_3	2	Undirected
24	scene_3	scene_10	2	Undirected
23	scene_3	scene_8	2	Undirected
21	scene_3	scene_6	2	Undirected
20	scene_3	scene_5	2	Undirected
47	scene_7	scene_10	2	Undirected
16	scene_2	scene_10	2	Undirected
46	scene_7	scene_8	2	Undirected
37	scene_5	scene_8	2	Undirected
12	scene_2	scene_5	2	Undirected
57	scene_10	scene_12	2	Undirected
56	scene_10	scene_11	2	Undirected
10	scene_2	scene_3	2	Undirected
4	scene_1	scene_6	2	Undirected
55	scene_9	scene_12	2	Undirected
41	scene_6	scene_7	1	Undirected
39	scene_5	scene_11	1	Undirected
54	scene_9	scene_11	1	Undirected
40	scene_5	scene_12	1	Undirected
48	scene_7	scene_11	1	Undirected
42	scene_6	scene_8	1	Undirected
49	scene_7	scene_12	1	Undirected
53	scene_9	scene_10	1	Undirected
52	scene_8	scene_12	1	Undirected
44	scene_6	scene_11	1	Undirected
51	scene_8	scene_11	1	Undirected
45	scene_6	scene_12	1	Undirected
36	scene_5	scene_7	1	Undirected
43	scene_6	scene_10	1	Undirected
0	scene_1	scene_2	1	Undirected
35	scene_5	scene_6	1	Undirected
31	scene_4	scene_9	1	Undirected
2	scene_1	scene_4	1	Undirected
3	scene_1	scene_5	1	Undirected
5	scene_1	scene_7	1	Undirected
6	scene_1	scene_8	1	Undirected
7	scene_1	scene_10	1	Undirected
8	scene_1	scene_11	1	Undirected
9	scene_1	scene_12	1	Undirected
11	scene_2	scene_4	1	Undirected
13	scene_2	scene_6	1	Undirected
14	scene_2	scene_7	1	Undirected
17	scene_2	scene_11	1	Undirected
18	scene_2	scene_12	1	Undirected
19	scene_3	scene_4	1	Undirected
22	scene_3	scene_7	1	Undirected
25	scene_3	scene_11	1	Undirected
26	scene_3	scene_12	1	Undirected
27	scene_4	scene_5	1	Undirected
28	scene_4	scene_6	1	Undirected
30	scene_4	scene_8	1	Undirected
29	scene_4	scene_7	1	Undirected
