	Source	Target	Weight	Type
17	#cuel	#laur	4	Undirected
15	#iren	#fern	3	Undirected
14	#iren	#laur	3	Undirected
21	#laur	#fern	3	Undirected
7	#padr	#iren	3	Undirected
10	#padr	#bria	2	Undirected
20	#cuel	#garc	2	Undirected
12	#padr	#cipr	2	Undirected
11	#padr	#fern	2	Undirected
22	#laur	#juan	2	Undirected
19	#cuel	#fern	2	Undirected
24	#bria	#cipr	2	Undirected
5	#rive	#cipr	2	Undirected
3	#rive	#laur	2	Undirected
2	#rive	#cuel	2	Undirected
23	#laur	#escu	1	Undirected
25	#bria	#garc	1	Undirected
0	#rive	#padr	1	Undirected
13	#padr	#escu	1	Undirected
18	#cuel	#bria	1	Undirected
16	#iren	#escu	1	Undirected
1	#rive	#iren	1	Undirected
9	#padr	#laur	1	Undirected
8	#padr	#cuel	1	Undirected
6	#rive	#juan	1	Undirected
4	#rive	#bria	1	Undirected
26	#fern	#pere	1	Undirected
