	id	label	description
0	#juan	Juanilla	Criada de Laura 
1	#laur	Laura	 
2	#cuel	Francisco de Cuéllar	Amigo de Rivera y pretendiente de Laura
3	#rive	Bartolomé Rivera	 Hermano de Laura
4	#padr	El Padre Antonio	Conferor de Laura
5	#cipr	Cipriano	Criado indio de Rivera
6	#bria	Doña Brianda	Tía de los dos hermanos y amante, además, de su sobrino Rivera
7	#iren	Doña Irene	Madre de don Fernando
8	#escu	Escudero	 
9	#fern	Don Fernando	Comunero poscrito, seductor misterioso de Laura 
10	#pere	Pérez	Escudero de don Fernando
11	#garc	Garcés	Criado de Cuéllar
