	id	label	description
0	#elvi	Elvira	Elegantísima y guapísima muchacha como de veinticinco años.
1	#miss	Miss Plain	Inglesa, 35 años, de aspecto varonil.
2	#urra	Urraca	 
3	#bere	Berenguela	 
4	#chic	Chicharita	 
5	#bern	Bernarda	 
6	#rela	Rafaela	Hortelana, 45 años. 
7	#conc	Concha	 
8	#mano	Manolita	 
9	#rina	Rafaelina	 
10	#emil	Emilita	 
11	#rita	Rafaelita	Hija de Rafaela y Rafaelón, 16 años.
12	#meli	Melitón	Señor como de cincuenta y ocho años; un gran señor, pero un señor rarísimo 
13	#gonz	Gonzalo	Muchacho como de treinta años muy elegante y muy simpático
14	#nuno	Nuño	 
15	#lain	Laín	 
16	#jaim	Jaime	 
17	#antu	Antúnez	 
18	#rlon	Rafaelón	Hortelano, marido de Rafaela, 49 años.
19	#cosm	Don Cosme	 
20	#domi	Domingo	 
21	#illo	Faelillo	 
22	#rafa	Rafael	Hijo de Rafaela y Rafaelón, 20 años. 
23	#lito	Faelito	 
24	#reve	Revenga	 
25	#pepi	Pepito	 
