	Source	Target	Weight	Type
0	#zapa	#zapo	12	Undirected
1	#zapa	#elni	8	Undirected
2	#zapa	#alca	6	Undirected
3	#zapa	#vecr	5	Undirected
17	#elni	#alca	4	Undirected
9	#zapo	#elni	4	Undirected
31	#vecr	#vecn	3	Undirected
27	#alca	#vecm	3	Undirected
24	#alca	#vecr	3	Undirected
21	#elni	#vecm	3	Undirected
18	#elni	#vecr	3	Undirected
32	#vecr	#vecm	3	Undirected
11	#zapo	#vecr	3	Undirected
10	#zapo	#alca	3	Undirected
5	#zapa	#vecn	3	Undirected
6	#zapa	#vecm	3	Undirected
39	#vecn	#vecm	2	Undirected
4	#zapa	#veca	2	Undirected
30	#vecr	#veca	2	Undirected
35	#veca	#vecn	2	Undirected
20	#elni	#vecn	2	Undirected
13	#zapo	#vecn	2	Undirected
26	#alca	#vecn	2	Undirected
36	#veca	#vecm	1	Undirected
34	#vecr	#sacr	1	Undirected
42	#vecm	#vecv	1	Undirected
44	#vecv	#sacr	1	Undirected
43	#vecm	#sacr	1	Undirected
38	#veca	#sacr	1	Undirected
33	#vecr	#vecv	1	Undirected
40	#vecn	#vecv	1	Undirected
41	#vecn	#sacr	1	Undirected
37	#veca	#vecv	1	Undirected
23	#elni	#sacr	1	Undirected
29	#alca	#sacr	1	Undirected
28	#alca	#vecv	1	Undirected
25	#alca	#veca	1	Undirected
22	#elni	#vecv	1	Undirected
19	#elni	#veca	1	Undirected
16	#zapo	#beas	1	Undirected
15	#zapo	#beap	1	Undirected
14	#zapo	#vecm	1	Undirected
12	#zapo	#veca	1	Undirected
8	#zapa	#sacr	1	Undirected
7	#zapa	#vecv	1	Undirected
45	#beap	#beas	1	Undirected
