	Source	Target	Weight	Type
0	#madr	#novo	4	Undirected
1	#madr	#nova	4	Undirected
17	#novo	#nova	4	Undirected
84	#muje	#muc2	3	Undirected
83	#muje	#muc1	3	Undirected
108	#muc1	#muc2	3	Undirected
65	#leon	#muje	3	Undirected
57	#cria	#padr	3	Undirected
47	#nova	#moz1	3	Undirected
19	#novo	#leon	3	Undirected
41	#nova	#muc1	3	Undirected
38	#nova	#padr	3	Undirected
37	#nova	#muje	3	Undirected
36	#nova	#leon	3	Undirected
35	#nova	#cria	3	Undirected
29	#novo	#moz1	3	Undirected
21	#novo	#padr	3	Undirected
43	#nova	#muc2	3	Undirected
74	#leon	#moz1	3	Undirected
18	#novo	#cria	3	Undirected
4	#madr	#muje	3	Undirected
5	#madr	#padr	3	Undirected
8	#madr	#muc1	3	Undirected
2	#madr	#cria	3	Undirected
9	#madr	#muc2	3	Undirected
64	#cria	#moz2	2	Undirected
70	#leon	#muc2	2	Undirected
68	#leon	#muc1	2	Undirected
66	#leon	#padr	2	Undirected
60	#cria	#moz1	2	Undirected
80	#muje	#padr	2	Undirected
59	#cria	#muc2	2	Undirected
58	#cria	#muc1	2	Undirected
7	#madr	#veci	2	Undirected
56	#cria	#muje	2	Undirected
79	#leon	#moz2	2	Undirected
81	#muje	#sueg	2	Undirected
53	#nova	#moz2	2	Undirected
20	#novo	#muje	2	Undirected
85	#muje	#moz1	2	Undirected
90	#muje	#moz2	2	Undirected
92	#padr	#muc1	2	Undirected
93	#padr	#muc2	2	Undirected
94	#padr	#moz1	2	Undirected
98	#padr	#moz2	2	Undirected
109	#muc1	#moz1	2	Undirected
114	#muc1	#moz2	2	Undirected
121	#muc2	#moz1	2	Undirected
126	#muc2	#moz2	2	Undirected
141	#moz1	#moz2	2	Undirected
55	#cria	#leon	2	Undirected
3	#madr	#leon	2	Undirected
10	#madr	#moz1	2	Undirected
23	#novo	#muc1	2	Undirected
34	#novo	#moz2	2	Undirected
25	#novo	#muc2	2	Undirected
15	#madr	#moz2	2	Undirected
52	#nova	#conv	1	Undirected
122	#muc2	#voce	1	Undirected
120	#len1	#luna	1	Undirected
119	#len1	#moz1	1	Undirected
118	#len1	#len3	1	Undirected
117	#len1	#mend	1	Undirected
116	#len1	#len2	1	Undirected
115	#muc1	#nina	1	Undirected
113	#muc1	#conv	1	Undirected
24	#novo	#len1	1	Undirected
124	#muc2	#muc3	1	Undirected
112	#muc1	#muc3	1	Undirected
111	#muc1	#muer	1	Undirected
110	#muc1	#voce	1	Undirected
26	#novo	#len2	1	Undirected
107	#veci	#nina	1	Undirected
106	#veci	#muer	1	Undirected
105	#veci	#muc2	1	Undirected
104	#veci	#muc1	1	Undirected
123	#muc2	#muer	1	Undirected
125	#muc2	#conv	1	Undirected
102	#sueg	#muer	1	Undirected
22	#novo	#veci	1	Undirected
147	#muc3	#moz2	1	Undirected
146	#muc3	#conv	1	Undirected
145	#muer	#nina	1	Undirected
144	#voce	#moz2	1	Undirected
143	#voce	#conv	1	Undirected
142	#voce	#muc3	1	Undirected
16	#madr	#nina	1	Undirected
140	#moz1	#conv	1	Undirected
139	#moz1	#muc3	1	Undirected
138	#moz1	#luna	1	Undirected
137	#moz1	#voce	1	Undirected
136	#len3	#luna	1	Undirected
135	#len3	#moz1	1	Undirected
134	#mend	#luna	1	Undirected
133	#mend	#moz1	1	Undirected
132	#mend	#len3	1	Undirected
131	#len2	#luna	1	Undirected
130	#len2	#moz1	1	Undirected
129	#len2	#len3	1	Undirected
128	#len2	#mend	1	Undirected
127	#muc2	#nina	1	Undirected
103	#sueg	#nina	1	Undirected
100	#sueg	#muc1	1	Undirected
101	#sueg	#muc2	1	Undirected
42	#nova	#len1	1	Undirected
11	#madr	#voce	1	Undirected
73	#leon	#len3	1	Undirected
72	#leon	#mend	1	Undirected
71	#leon	#len2	1	Undirected
39	#nova	#sueg	1	Undirected
69	#leon	#len1	1	Undirected
40	#nova	#veci	1	Undirected
67	#leon	#sueg	1	Undirected
6	#madr	#sueg	1	Undirected
63	#cria	#conv	1	Undirected
51	#nova	#muc3	1	Undirected
62	#cria	#muc3	1	Undirected
61	#cria	#voce	1	Undirected
44	#nova	#len2	1	Undirected
45	#nova	#mend	1	Undirected
46	#nova	#len3	1	Undirected
48	#nova	#voce	1	Undirected
49	#nova	#muer	1	Undirected
50	#nova	#luna	1	Undirected
54	#nova	#nina	1	Undirected
75	#leon	#voce	1	Undirected
76	#leon	#luna	1	Undirected
77	#leon	#muc3	1	Undirected
78	#leon	#conv	1	Undirected
99	#sueg	#veci	1	Undirected
27	#novo	#mend	1	Undirected
97	#padr	#conv	1	Undirected
96	#padr	#muc3	1	Undirected
95	#padr	#voce	1	Undirected
28	#novo	#len3	1	Undirected
30	#novo	#voce	1	Undirected
91	#muje	#nina	1	Undirected
31	#novo	#luna	1	Undirected
89	#muje	#conv	1	Undirected
88	#muje	#muc3	1	Undirected
87	#muje	#muer	1	Undirected
86	#muje	#voce	1	Undirected
32	#novo	#muc3	1	Undirected
33	#novo	#conv	1	Undirected
82	#muje	#veci	1	Undirected
14	#madr	#conv	1	Undirected
13	#madr	#muc3	1	Undirected
12	#madr	#muer	1	Undirected
148	#conv	#moz2	1	Undirected
