	id	label	description
0	#bern	Bernarda	(60 años) 
1	#jose	María Josefa	(madre de Bernarda, 80 años)
2	#angu	Angustias	(hija de Bernarda, 39 años)
3	#magd	Magdalena	(hija de Bernarda, 30 años)
4	#amel	Amelia	(hija de Bernarda, 27 años)
5	#mart	Martirio	(hija de Bernarda, 24 años)
6	#adel	Adela	(hija de Bernarda, 20 años)
7	#ponc	La Poncia	(criada, 60 años)
8	#cria	Criada	(50 años)
9	#prud	Prudencia	(50 años)
10	#mend	Mendiga	
11	#muj1	Mujer 1ª	
12	#muj2	Mujer 2ª	
13	#muj3	Mujer 3ª	
14	#muj4	Mujer 4ª	
15	#much	Muchacha	
16	#muje	Mujeres de luto	
