	id	label	description
0	#caba	El Caballero don Juan Manuel Montenegro	El mayorazgo
1	#fray	Fray Jerónimo	
2	#vie1	Una vieja	
3	#moza	Una moza	
4	#mona	un monago	
5	#voz_	una voz en la sombra	
6	#sabe	Sabelita	
7	#rosi	Doña Rosita	
8	#rosm	Rosita María	
9	#vie2	otra vieja	
10	#roja	La Roja	Vieja criada
11	#zaga	El zagal de las ovejas	
12	#gala	Don Galán	El bufón, criado de don Juan Manuel
13	#capi	El Capitán de los ladrones	
14	#veci	Un vecino	
15	#ladr	Un ladrón	
16	#otro	Otro ladrón	
17	#enma	El Enmascarado	
18	#voce	voces de los ladrones	
19	#voz2	voces de los criados	
20	#pedr	Pedro Rey	El  molinero
21	#libe	Liberata	La molinera
22	#dped	Don Pedrito	
23	#cura	La Curandera	
24	#mozo	Un mozo	
25	#viej	Un viejo	
26	#mar1	Un Marinero	
27	#patr	El Patrón	
28	#mar2	Otro marinero	
29	#manu	Manuel Tovío	
30	#peab	Pedro Abuín	
31	#fons	Manuel Fonseca	
32	#lana	Un Lañador	
33	#crib	Una Cribera	
34	#cint	Una Cintera	
35	#mend	El Mendicante	
36	#dona	Doña María	
37	#cape	El Capellán	
38	#manc	La Manchada	
39	#rosa	Rosalva	
40	#biei	Bieito	
41	#andr	Andreíña	
42	#algu	El Alguacil	
43	#escr	El Escribano	
44	#maur	Don Mauro	
45	#farr	Don Farruquiño	
46	#rose	Don Rosendo	
47	#cara	Cara de Plata	
48	#gine	El señor Ginero	
49	#borr	La voz de un borracho	
50	#una_	una señora	
51	#otra	la otra señora	
52	#cria	Un criado	
53	#chan	El chantre	
54	#dean	El Deán	
55	#abue	El abuelo	
56	#rapa	El Rapaz	
57	#pren	La Preñada	
58	#mari	El marido	
59	#sueg	La suegra	
60	#nino	El niño Jesús	
61	#pich	La Pichona	
62	#gazu	La Gazula	
63	#viso	La Visoja	
64	#barq	El barquero	
65	#pere	El peregrino	
66	#espo	El Espolique	
67	#cieg	Una vieja ciega	
68	#eco_	Un eco	
