	Source	Target	Weight	Type
72	scene_9	scene_17	10	Undirected
98	scene_17	scene_18	8	Undirected
52	scene_6	scene_17	6	Undirected
73	scene_9	scene_18	6	Undirected
46	scene_6	scene_9	6	Undirected
58	scene_8	scene_9	4	Undirected
45	scene_6	scene_8	4	Undirected
36	scene_4	scene_9	4	Undirected
64	scene_8	scene_17	4	Undirected
41	scene_4	scene_17	4	Undirected
69	scene_9	scene_14	4	Undirected
42	scene_4	scene_18	4	Undirected
24	scene_3	scene_6	3	Undirected
86	scene_12	scene_18	3	Undirected
22	scene_2	scene_17	3	Undirected
2	scene_1	scene_6	3	Undirected
66	scene_9	scene_10	3	Undirected
91	scene_14	scene_17	3	Undirected
39	scene_4	scene_12	3	Undirected
75	scene_10	scene_14	3	Undirected
68	scene_9	scene_12	3	Undirected
94	scene_15	scene_17	3	Undirected
67	scene_9	scene_11	3	Undirected
85	scene_12	scene_17	3	Undirected
74	scene_10	scene_11	2	Undirected
37	scene_4	scene_10	2	Undirected
65	scene_8	scene_18	2	Undirected
78	scene_10	scene_17	2	Undirected
70	scene_9	scene_15	2	Undirected
50	scene_6	scene_15	2	Undirected
53	scene_6	scene_18	2	Undirected
34	scene_4	scene_7	2	Undirected
80	scene_11	scene_14	2	Undirected
20	scene_2	scene_15	2	Undirected
11	scene_1	scene_18	2	Undirected
13	scene_2	scene_6	2	Undirected
10	scene_1	scene_17	2	Undirected
79	scene_10	scene_18	2	Undirected
93	scene_15	scene_16	2	Undirected
6	scene_1	scene_11	2	Undirected
19	scene_2	scene_14	2	Undirected
12	scene_2	scene_3	2	Undirected
87	scene_13	scene_15	2	Undirected
84	scene_11	scene_18	2	Undirected
83	scene_11	scene_17	2	Undirected
4	scene_1	scene_9	2	Undirected
95	scene_15	scene_18	1	Undirected
96	scene_16	scene_17	1	Undirected
97	scene_16	scene_18	1	Undirected
63	scene_8	scene_16	1	Undirected
77	scene_10	scene_16	1	Undirected
71	scene_9	scene_16	1	Undirected
92	scene_14	scene_18	1	Undirected
90	scene_14	scene_16	1	Undirected
89	scene_14	scene_15	1	Undirected
88	scene_13	scene_17	1	Undirected
82	scene_11	scene_16	1	Undirected
81	scene_11	scene_15	1	Undirected
61	scene_8	scene_14	1	Undirected
76	scene_10	scene_15	1	Undirected
62	scene_8	scene_15	1	Undirected
0	scene_1	scene_2	1	Undirected
60	scene_8	scene_11	1	Undirected
29	scene_3	scene_14	1	Undirected
27	scene_3	scene_10	1	Undirected
26	scene_3	scene_9	1	Undirected
25	scene_3	scene_8	1	Undirected
23	scene_2	scene_18	1	Undirected
21	scene_2	scene_16	1	Undirected
18	scene_2	scene_13	1	Undirected
17	scene_2	scene_11	1	Undirected
16	scene_2	scene_10	1	Undirected
15	scene_2	scene_9	1	Undirected
14	scene_2	scene_8	1	Undirected
9	scene_1	scene_16	1	Undirected
8	scene_1	scene_15	1	Undirected
7	scene_1	scene_14	1	Undirected
5	scene_1	scene_10	1	Undirected
3	scene_1	scene_8	1	Undirected
28	scene_3	scene_11	1	Undirected
30	scene_3	scene_15	1	Undirected
59	scene_8	scene_10	1	Undirected
31	scene_3	scene_16	1	Undirected
57	scene_7	scene_18	1	Undirected
56	scene_7	scene_17	1	Undirected
55	scene_7	scene_10	1	Undirected
54	scene_7	scene_8	1	Undirected
51	scene_6	scene_16	1	Undirected
1	scene_1	scene_3	1	Undirected
48	scene_6	scene_11	1	Undirected
47	scene_6	scene_10	1	Undirected
44	scene_5	scene_14	1	Undirected
43	scene_5	scene_9	1	Undirected
40	scene_4	scene_14	1	Undirected
38	scene_4	scene_11	1	Undirected
35	scene_4	scene_8	1	Undirected
33	scene_3	scene_18	1	Undirected
32	scene_3	scene_17	1	Undirected
49	scene_6	scene_14	1	Undirected
