	id	label	description
0	#caba	EL CABALLERO, DON JUAN MANUEL DE MONTENEGRO	
1	#pedr	DON PEDRITO,	
2	#rose	DON ROSENDO,	
3	#maur	DON MAURO,	
4	#gonz	DON GONZALITO,	y
5	#farr	DON FARRUQUIÑO.	
6	#gala	DON GALÁN,	
7	#roja	LA ROJA,	
8	#zaga	EL ZAGAL DE LAS VACAS,	
9	#andr	ANDREÍÑA,	
10	#rebo	LA REBOLA	y
11	#reco	LA RECOGIDA.	
12	#cape	DON MANUELITO,	su capellán
13	#patr	ABELARDO	(patrón de la barca),
14	#maru		
15	#mard		
16	#mart		y
17	#rapa	EL RAPAZ	
18	#monc	DOÑA MONCHA	y
19	#beni	BENITA LA COSTURERA.	
20	#pobr	EL POBRE DE SAN LÁZARO,	
21	#domi	DOMINGA DE GÓMEZ,	
22	#male	EL MANCO LEONÉS,	
23	#mago	EL MANCO DE GONDAR,	
24	#tull	EL TULLIDO DE CELTIGOS,	
25	#paul	PAULA LA REINA	(que da el pecho a un niño),
26	#anso	ANDREÍÑA LA SORDA,	
27	#morc	EL MORCEGO	con su 
28	#coi	coima	y
29	#adeg	ADEGA la inocente.	
30	#arte	ARTEMISA	la del Casal, bastarda del Caballero, con un hijo pequeño, a quien llaman
31	#flor	Floriano	
32	#cieg	EL CIEGO DE GONDAR	con su lazarillo
33	#fuso	FUSO NEGRO,	loco.
34	#mato	MANUEL TOVÍO,	
35	#mafo	MANUEL FONSECA,	
36	#peab	PEDRO ABUÍN,	
37	#seba	SEBASTIÁN DE XOGAS	y
38	#rami	RAMIRO DE BEALO	(con sus dos hijos). 
39	#oliv		
40	#sabe	DOÑA SABELITA,	que fue barragana del Caballero
41	#viud	Una Viuda	con sus cuatro huérfanos.
42	#unav		
43	#otra		
44	#much		
45	#mari		
46	#voz_		
