	Source	Target	Weight	Type
4	#cara	#pich	5	Undirected
0	#cara	#abad	4	Undirected
6	#cara	#fuso	4	Undirected
64	#sabe	#caba	4	Undirected
9	#cara	#viej	3	Undirected
35	#abad	#sac1	3	Undirected
32	#abad	#jero	3	Undirected
56	#jero	#sac1	3	Undirected
80	#pich	#fuso	3	Undirected
38	#abad	#viej	3	Undirected
3	#cara	#caba	3	Undirected
2	#cara	#sabe	3	Undirected
123	#peab	#rami	2	Undirected
11	#cara	#maur	2	Undirected
145	#seba	#mato	2	Undirected
54	#jero	#sabe	2	Undirected
39	#abad	#seba	2	Undirected
120	#peab	#seba	2	Undirected
141	#seba	#rami	2	Undirected
147	#maur	#farr	2	Undirected
119	#peab	#viej	2	Undirected
59	#jero	#seba	2	Undirected
33	#abad	#sabe	2	Undirected
34	#abad	#caba	2	Undirected
175	#rami	#mato	2	Undirected
94	#sac1	#fuso	2	Undirected
74	#caba	#fuso	2	Undirected
37	#abad	#peab	2	Undirected
66	#sabe	#sac1	2	Undirected
67	#sabe	#fuso	2	Undirected
129	#viej	#seba	2	Undirected
13	#cara	#farr	2	Undirected
127	#peab	#mato	2	Undirected
155	#maur	#cieg	1	Undirected
158	#maur	#chal	1	Undirected
156	#maur	#pre3	1	Undirected
157	#maur	#rose	1	Undirected
162	#farr	#mara	1	Undirected
159	#gala	#voza	1	Undirected
160	#gala	#vocs	1	Undirected
161	#gala	#conf	1	Undirected
153	#maur	#pre2	1	Undirected
163	#farr	#peni	1	Undirected
164	#farr	#pedr	1	Undirected
165	#farr	#coim	1	Undirected
166	#farr	#indi	1	Undirected
154	#maur	#pre1	1	Undirected
146	#biga	#vozl	1	Undirected
152	#maur	#indi	1	Undirected
151	#maur	#coim	1	Undirected
125	#peab	#mafo	1	Undirected
126	#peab	#indi	1	Undirected
128	#peab	#chal	1	Undirected
130	#viej	#maur	1	Undirected
131	#viej	#farr	1	Undirected
132	#viej	#rami	1	Undirected
133	#viej	#diac	1	Undirected
134	#viej	#past	1	Undirected
135	#viej	#mafo	1	Undirected
136	#viej	#indi	1	Undirected
137	#viej	#mato	1	Undirected
138	#viej	#cvaq	1	Undirected
