	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17
#cara	0	34	26	0	0	11	14	7	11	45	0	21	0	0	0	27	6
#abad	0	0	17	17	0	0	17	24	0	0	20	0	19	23	0	0	5
#jero	0	0	0	18	67	0	0	13	0	0	22	0	0	0	0	0	0
#sabe	0	30	0	0	38	0	0	3	25	0	0	0	22	0	0	0	0
#caba	0	24	0	0	25	0	0	0	1	0	0	0	33	0	0	0	25
#pich	0	3	0	0	0	4	0	0	0	40	0	23	0	0	0	22	0
#sac1	0	0	0	0	16	0	0	9	0	0	5	0	0	23	32	0	0
#fuso	0	1	0	0	0	3	0	0	12	0	0	0	0	1	4	33	0
#sac2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
#ludo	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
#peab	14	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0
#viej	8	0	8	0	0	0	1	5	0	0	0	0	0	0	0	0	0
#seba	4	0	0	7	0	0	0	5	0	0	0	0	0	0	0	0	0
#biga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
#maur	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0
#viea	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
#gala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
#farr	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0
#rami	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
#mara	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
#diac	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
#past	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#peni	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
#pedr	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
#coim	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
#mafo	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#indi	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
#clam	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#mato	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
#pre2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
#pre1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
#voza	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
#cieg	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
#vocs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
#pre3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
#rose	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
#cvaq	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#vore	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#chal	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
#conf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
#vozl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
#ming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#gabi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#celo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#gonz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#mari	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
