	id	label	description
0	#caba	El Caballero, don Juan Manuel Montenegro	
1	#cara	Cara de Plata	
2	#pedr	Don Pedrito	
3	#rose	Don Rosendo	
4	#maur	Don Mauro	
5	#gonz	Don Gonzalito	
6	#farr	Don Farruquiño	
7	#sabe	Sabelita	Ahijada del Caballero
8	#abad	El Abad de Lantañón	
9	#jero	Doña Jeromita	Hermana del Abad de Lantañón
10	#sac1	El Sacristán	
11	#sac2	La Sacristana	
12	#biga	Bigardona	
13	#celo	Celonio	
14	#gabi	Gabino	
15	#ming	Mingote	
16	#fuso	Fuso Negro	Loco
17	#gala	Don Galán	Criado del Caballero
18	#peab	Pedro Abuín	
19	#rami	Ramiro de Bealo	
20	#mato	Manuel Tovío	
21	#mafo	Manuel Fonseca	
22	#seba	Sebastián de Xogas	
23	#viej	El viejo de Cures	
24	#past	Pastor	
25	#pich	Pichona la Bisbisera	
26	#ludo	Ludovina la ventorrillera	
27	#coim	La Coima de otro mesón	
28	#mara	Un maragato	
29	#peni	Un Penitente	
30	#cieg	El Ciego de Gondar	
31	#indi	Un Indiano	
32	#diac	El Diácono de Lesón	
33	#viea	Una vieja cotillona	
34	#voza	Otras viejas	
35	#pre1		
36	#pre2		
37	#pre3		
38	#clam	Clamor de mujerucas	
39	#mari		
40	#cvaq		
41	#vore		
42	#chal		
43	#conf		
44	#vozl		
45	#vocs		
