	Source	Target	Weight	Type
0	#ange	#eufe	13	Undirected
2	#ange	#feli	7	Undirected
10	#eufe	#euse	6	Undirected
1	#ange	#joaq	6	Undirected
6	#ange	#ramo	5	Undirected
3	#ange	#euse	4	Undirected
4	#ange	#nico	4	Undirected
17	#joaq	#nico	4	Undirected
13	#eufe	#ramo	4	Undirected
15	#joaq	#feli	3	Undirected
9	#eufe	#feli	3	Undirected
28	#nico	#teod	2	Undirected
24	#euse	#nico	2	Undirected
22	#feli	#nico	2	Undirected
18	#joaq	#teod	2	Undirected
16	#joaq	#euse	2	Undirected
11	#eufe	#nico	2	Undirected
8	#eufe	#joaq	2	Undirected
7	#ange	#pepe	2	Undirected
5	#ange	#teod	2	Undirected
14	#eufe	#pepe	1	Undirected
12	#eufe	#teod	1	Undirected
19	#joaq	#ramo	1	Undirected
20	#joaq	#pepe	1	Undirected
21	#feli	#euse	1	Undirected
23	#feli	#ramo	1	Undirected
25	#euse	#teod	1	Undirected
26	#euse	#ramo	1	Undirected
27	#euse	#pepe	1	Undirected
29	#nico	#ramo	1	Undirected
30	#nico	#pepe	1	Undirected
31	#teod	#pepe	1	Undirected
