	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	scene_28	scene_29	scene_30
#ange	12	0	8	7	3	21	9	25	1	11	1	22	3	3	21	5	0	0	13	6	8	48	7	13	0	4	20	14	16	23
#eufe	3	9	2	6	3	2	6	26	0	0	0	0	0	6	21	3	16	1	13	0	8	0	0	0	0	0	0	0	0	16
#joaq	6	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	16	11	6
#feli	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	20	4	12	3
#euse	5	9	7	0	0	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0	0	0	0	0	0	0	0	3
#nico	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	11	4
#teod	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
#ramo	0	0	0	0	0	0	11	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1
#pepe	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
#marti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#hima	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#hime	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
