	Source	Target	Weight	Type
9	#rosa	#isid	11	Undirected
12	#rosa	#tonu	11	Undirected
0	#juan	#rosa	9	Undirected
2	#juan	#andr	9	Undirected
23	#andr	#tabe	8	Undirected
17	#isid	#tonu	6	Undirected
22	#andr	#tonu	6	Undirected
6	#juan	#tabe	6	Undirected
10	#rosa	#andr	5	Undirected
11	#rosa	#paco	5	Undirected
5	#juan	#tonu	5	Undirected
16	#isid	#paco	5	Undirected
18	#isid	#tabe	5	Undirected
31	#tonu	#tabe	4	Undirected
29	#paco	#tabe	4	Undirected
15	#isid	#andr	4	Undirected
24	#andr	#igna	4	Undirected
25	#andr	#peri	3	Undirected
1	#juan	#isid	3	Undirected
28	#paco	#tonu	3	Undirected
38	#igna	#peri	3	Undirected
3	#juan	#cano	3	Undirected
33	#tabe	#igna	3	Undirected
34	#tabe	#peri	3	Undirected
13	#rosa	#tabe	3	Undirected
21	#andr	#paco	2	Undirected
4	#juan	#paco	2	Undirected
39	#igna	#beb1	1	Undirected
41	#peri	#beb1	1	Undirected
37	#tabe	#muj1	1	Undirected
42	#peri	#beb2	1	Undirected
36	#tabe	#beb2	1	Undirected
35	#tabe	#beb1	1	Undirected
40	#igna	#beb2	1	Undirected
7	#juan	#igna	1	Undirected
32	#tonu	#igna	1	Undirected
30	#paco	#muj1	1	Undirected
27	#andr	#beb2	1	Undirected
26	#andr	#beb1	1	Undirected
8	#juan	#peri	1	Undirected
20	#isid	#muj1	1	Undirected
19	#isid	#igna	1	Undirected
14	#rosa	#igna	1	Undirected
43	#beb1	#beb2	1	Undirected
