	Source	Target	Weight	Type
8	#just	#conc	14	Undirected
3	#mati	#fern	13	Undirected
0	#mati	#just	11	Undirected
10	#just	#lore	10	Undirected
18	#conc	#lore	10	Undirected
7	#just	#enri	10	Undirected
9	#just	#fern	10	Undirected
1	#mati	#enri	9	Undirected
14	#enri	#fern	7	Undirected
21	#fern	#lore	6	Undirected
13	#enri	#conc	6	Undirected
17	#conc	#fern	5	Undirected
4	#mati	#lore	5	Undirected
2	#mati	#conc	5	Undirected
15	#enri	#lore	4	Undirected
6	#mati	#dolo	2	Undirected
16	#enri	#juli	2	Undirected
11	#just	#juli	1	Undirected
12	#just	#dolo	1	Undirected
5	#mati	#juli	1	Undirected
19	#conc	#juli	1	Undirected
20	#conc	#dolo	1	Undirected
22	#fern	#juli	1	Undirected
23	#fern	#dolo	1	Undirected
24	#lore	#juli	1	Undirected
25	#lore	#dolo	1	Undirected
