	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#pepe	0.16271285097827914	0.05560090702947845	0.8333333333333334	1413.644287364848	0.1591149061443707	12	1200	2	0.32784774300693464	primary	Pepe Rey	0.055351473922902496	person	25795	54	21	291	5	antagonist	M	1	0	0	1	1	0	1	0	0.75	0.0034750566893424033	0.3125	bette004_Galdos_Perfecta	16
#cris	0.1396923581777678	0.029705215419501132	0.75	1062.6769608518089	0.13028101169928816	10	1000	2	0.28410549044562144	secondary	Cristóbal Ramos (Caballuco)	0.029705215419501132	person	5290	43	2	30	7	other	M	2	0	0	0	0	0	0	0	0.625	0.0018565759637188207	0.4375	bette004_Galdos_Perfecta	16
#licu	0.12933623374634898	0.027482993197278913	0.7142857142857143	836.7941016799856	0.12150583505822302	9	900	2	0.2519319548741363	secondary	El tío Licurgo	0.027551020408163266	person	2270	20	3	29	13	other	M	2	0	0	0	0	0	0	0	0.5625	0.001717687074829932	0.8125	bette004_Galdos_Perfecta	16
#rosa	0.09321441366214224	0.015362811791383222	0.75	1167.832055452362	0.10729460297231964	10	1000	2	0.2979232052638523	primary	Rosarito	0.015668934240362812	person	11002	21	12	122	2	antagonist	F	1	0	0	1	1	0	1	0	0.625	0.0009601757369614514	0.125	bette004_Galdos_Perfecta	16
#jaci	0.09531370102854762	0.01026077097505669	0.7142857142857143	987.5950398663254	0.09484238203462018	9	900	2	0.2738924156958099	secondary	Jacintito	0.010566893424036283	person	2664	21	8	38	8	other	M	2	0	0	0	0	0	0	0	0.5625	0.0006412981859410432	0.5	bette004_Galdos_Perfecta	16
#juan	0.1565275255620881	0.044149659863945576	0.7894736842105263	1214.8468996972813	0.14721782886838392	11	1100	2	0.30381695343889226	secondary	Don Juan Tafetán	0.043900226757369605	person	6054	25	7	56	10	other	M	2	0	0	0	0	0	0	0	0.6875	0.0027593537414965985	0.625	bette004_Galdos_Perfecta	16
#pinz	0.0691996172803104	0.0	0.6	316.4325716190567	0.060720311869277274	5	500	2	0.15445726694675185	minor	Pinzón	0.0	person	1953	7	4	21	12	other	M	3	0	0	0	0	1	0	0	0.3125	0.0	0.75	bette004_Galdos_Perfecta	16
#libr	0.05157716813748455	0.0	0.6	475.7711038140604	0.059183164046793225	6	600	3	0.18968795769045135	secondary	Librada	0.0	person	513	24	5	11	4	other	F	2	0	0	0	0	0	0	0	0.375	0.0	0.25	bette004_Galdos_Perfecta	16
#cabo	0.023848272069238848	0.0	0.5	35.6742272842023	0.02154609835371945	2	200	3	0.050413374876040466	minor	Cabo Cartero.	0.0	person	84	1	1	1	16	other	M	3	0	0	0	0	1	0	0	0.125	0.0	1.0	bette004_Galdos_Perfecta	16
#este	0.04929261413904306	0.0	0.6	271.5704326426881	0.05906635892822322	5	500	2	0.1426186592880929	minor	Esteban Romero	0.0	person	935	7	1	10	15	other	M	3	0	0	0	0	1	0	0	0.3125	0.0	0.9375	bette004_Galdos_Perfecta	16
#reme	0.28460143358483697	0.17248299319727897	0.8823529411764706	1338.281044084218	0.24525887443276037	13	1300	2	0.3188387614071755	secondary	María Remedios	0.17170068027210889	person	10625	19	16	114	3	other	F	2	0	0	0	0	0	0	0	0.8125	0.010780187074829936	0.1875	bette004_Galdos_Perfecta	16
#paso	0.061991026837455776	0.0	0.6	271.5704326426881	0.059066358928223296	5	500	2	0.1426186592880929	minor	Pasolargo	0.0	person	976	8	1	13	14	other	M	3	0	0	0	0	1	0	0	0.3125	0.0	0.875	bette004_Galdos_Perfecta	16
#perf	0.2240453005917198	0.1302040816326531	0.9375	1657.4755593652153	0.20838671505943215	14	1400	2	0.35505529583842477	primary	Doña Perfecta	0.1299546485260771	person	27491	53	22	279	1	protagonist	F	1	1	0	0	1	0	0	0	0.875	0.008137755102040818	0.0625	bette004_Galdos_Perfecta	16
#varg	0.12698023593622823	0.025476190476190482	0.625	337.08049348568807	0.11696213755954754	6	600	2	0.15926600016522352	minor	Vargas	0.026258503401360548	person	2527	9	5	32	11	other	M	3	0	0	0	0	1	0	0	0.375	0.0015922619047619051	0.6875	bette004_Galdos_Perfecta	16
#caye	0.07241857332290019	0.006689342403628119	0.6521739130434783	762.1105261484449	0.085568335108034	8	800	3	0.24041045224215188	minor	Don Cayetano	0.006689342403628118	person	2729	12	7	42	9	other	M	3	0	0	0	0	1	0	0	0.5	0.0004180839002267574	0.5625	bette004_Galdos_Perfecta	16
#inoc	0.07335156697878817	0.006394557823129252	0.7142857142857143	1030.222864821564	0.091499675886012	9	900	2	0.2798297354631441	secondary	Don Inocencio	0.006462585034013603	person	7036	35	8	72	6	other	M	2	0	0	0	0	0	0	0	0.5625	0.00039965986394557823	0.375	bette004_Galdos_Perfecta	16
