	Source	Target	Weight	Type
0	#pepe	#perf	13	Undirected
13	#perf	#reme	9	Undirected
1	#pepe	#rosa	8	Undirected
17	#perf	#jaci	7	Undirected
14	#perf	#inoc	7	Undirected
12	#perf	#rosa	7	Undirected
3	#pepe	#inoc	6	Undirected
5	#pepe	#caye	6	Undirected
6	#pepe	#jaci	5	Undirected
16	#perf	#caye	5	Undirected
4	#pepe	#juan	4	Undirected
26	#rosa	#inoc	4	Undirected
2	#pepe	#reme	4	Undirected
59	#varg	#pinz	4	Undirected
23	#perf	#libr	4	Undirected
11	#pepe	#libr	4	Undirected
54	#caye	#jaci	4	Undirected
25	#rosa	#reme	3	Undirected
50	#juan	#varg	3	Undirected
45	#inoc	#jaci	3	Undirected
44	#inoc	#caye	3	Undirected
36	#reme	#varg	3	Undirected
52	#juan	#pinz	3	Undirected
49	#juan	#jaci	3	Undirected
33	#reme	#inoc	3	Undirected
15	#perf	#juan	3	Undirected
38	#reme	#licu	2	Undirected
34	#reme	#juan	2	Undirected
48	#juan	#caye	2	Undirected
19	#perf	#cris	2	Undirected
7	#pepe	#varg	2	Undirected
39	#reme	#pinz	2	Undirected
20	#perf	#licu	2	Undirected
35	#reme	#jaci	2	Undirected
10	#pepe	#pinz	2	Undirected
29	#rosa	#jaci	2	Undirected
28	#rosa	#caye	2	Undirected
61	#cris	#licu	1	Undirected
62	#cris	#paso	1	Undirected
60	#varg	#cabo	1	Undirected
9	#pepe	#licu	1	Undirected
63	#cris	#este	1	Undirected
64	#licu	#paso	1	Undirected
58	#jaci	#libr	1	Undirected
57	#jaci	#cris	1	Undirected
56	#caye	#libr	1	Undirected
55	#caye	#licu	1	Undirected
8	#pepe	#cris	1	Undirected
53	#juan	#libr	1	Undirected
65	#licu	#este	1	Undirected
24	#perf	#este	1	Undirected
46	#inoc	#cris	1	Undirected
51	#juan	#cris	1	Undirected
47	#inoc	#licu	1	Undirected
22	#perf	#paso	1	Undirected
18	#perf	#varg	1	Undirected
43	#inoc	#juan	1	Undirected
42	#reme	#cabo	1	Undirected
41	#reme	#este	1	Undirected
40	#reme	#paso	1	Undirected
37	#reme	#cris	1	Undirected
21	#perf	#pinz	1	Undirected
32	#rosa	#libr	1	Undirected
31	#rosa	#licu	1	Undirected
30	#rosa	#cris	1	Undirected
27	#rosa	#juan	1	Undirected
66	#paso	#este	1	Undirected
