	Source	Target	Weight	Type
154	scene_11	scene_12	4	Undirected
240	scene_25	scene_26	4	Undirected
135	scene_9	scene_26	4	Undirected
108	scene_7	scene_26	4	Undirected
210	scene_17	scene_26	4	Undirected
199	scene_16	scene_19	4	Undirected
93	scene_7	scene_10	4	Undirected
121	scene_9	scene_10	4	Undirected
150	scene_10	scene_26	4	Undirected
92	scene_7	scene_9	3	Undirected
91	scene_7	scene_8	3	Undirected
94	scene_7	scene_11	3	Undirected
90	scene_6	scene_26	3	Undirected
164	scene_11	scene_26	3	Undirected
103	scene_7	scene_21	3	Undirected
209	scene_17	scene_25	3	Undirected
89	scene_6	scene_25	3	Undirected
107	scene_7	scene_25	3	Undirected
176	scene_12	scene_26	3	Undirected
110	scene_8	scene_10	3	Undirected
213	scene_18	scene_19	3	Undirected
111	scene_8	scene_11	3	Undirected
112	scene_8	scene_12	3	Undirected
95	scene_7	scene_12	3	Undirected
73	scene_6	scene_7	3	Undirected
134	scene_9	scene_25	3	Undirected
136	scene_10	scene_11	3	Undirected
130	scene_9	scene_21	3	Undirected
238	scene_24	scene_25	3	Undirected
239	scene_24	scene_26	3	Undirected
149	scene_10	scene_25	3	Undirected
145	scene_10	scene_21	3	Undirected
133	scene_9	scene_24	3	Undirected
137	scene_10	scene_12	3	Undirected
230	scene_21	scene_26	3	Undirected
148	scene_10	scene_24	3	Undirected
156	scene_11	scene_14	2	Undirected
144	scene_10	scene_20	2	Undirected
146	scene_10	scene_22	2	Undirected
147	scene_10	scene_23	2	Undirected
129	scene_9	scene_20	2	Undirected
171	scene_12	scene_21	2	Undirected
88	scene_6	scene_24	2	Undirected
87	scene_6	scene_23	2	Undirected
86	scene_6	scene_22	2	Undirected
85	scene_6	scene_21	2	Undirected
81	scene_6	scene_17	2	Undirected
179	scene_13	scene_14	2	Undirected
75	scene_6	scene_9	2	Undirected
99	scene_7	scene_17	2	Undirected
141	scene_10	scene_17	2	Undirected
170	scene_12	scene_20	2	Undirected
102	scene_7	scene_20	2	Undirected
123	scene_9	scene_12	2	Undirected
122	scene_9	scene_11	2	Undirected
131	scene_9	scene_22	2	Undirected
120	scene_8	scene_26	2	Undirected
168	scene_12	scene_14	2	Undirected
115	scene_8	scene_21	2	Undirected
183	scene_13	scene_29	2	Undirected
132	scene_9	scene_23	2	Undirected
109	scene_8	scene_9	2	Undirected
159	scene_11	scene_21	2	Undirected
158	scene_11	scene_20	2	Undirected
106	scene_7	scene_24	2	Undirected
105	scene_7	scene_23	2	Undirected
104	scene_7	scene_22	2	Undirected
126	scene_9	scene_17	2	Undirected
114	scene_8	scene_20	2	Undirected
0	scene_1	scene_2	2	Undirected
76	scene_6	scene_10	2	Undirected
54	scene_4	scene_24	2	Undirected
233	scene_22	scene_25	2	Undirected
201	scene_16	scene_25	2	Undirected
202	scene_16	scene_26	2	Undirected
203	scene_17	scene_18	2	Undirected
204	scene_17	scene_19	2	Undirected
232	scene_22	scene_24	2	Undirected
231	scene_22	scene_23	2	Undirected
20	scene_3	scene_4	2	Undirected
208	scene_17	scene_24	2	Undirected
229	scene_21	scene_25	2	Undirected
40	scene_4	scene_10	2	Undirected
39	scene_4	scene_9	2	Undirected
228	scene_21	scene_24	2	Undirected
227	scene_21	scene_23	2	Undirected
215	scene_18	scene_25	2	Undirected
226	scene_21	scene_22	2	Undirected
